X,H9_00hb4s_001,H9_00hb4s_002,H9_00hb4s_003,H9_00hb4s_004,H9_00hb4s_005,H9_00hb4s_006,H9_00hb4s_007,H9_00hb4s_008,H9_00hb4s_009,H9_00hb4s_010,H9_00hb4s_011,H9_00hb4s_012,H9_00hb4s_013,H9_00hb4s_015,H9_00hb4s_016,H9_00hb4s_017,H9_00hb4s_018,H9_00hb4s_019,H9_00hb4s_020,H9_00hb4s_021,H9_00hb4s_022,H9_00hb4s_023,H9_00hb4s_024,H9_00hb4s_025,H9_00hb4s_026,H9_00hb4s_027,H9_00hb4s_028,H9_00hb4s_029,H9_00hb4s_030,H9_00hb4s_031,H9_00hb4s_032,H9_00hb4s_033,H9_00hb4s_034,H9_00hb4s_035,H9_00hb4s_036,H9_00hb4s_037,H9_00hb4s_038,H9_00hb4s_039,H9_00hb4s_040,H9_00hb4s_041,H9_00hb4s_043,H9_00hb4s_044,H9_00hb4s_045,H9_00hb4s_046,H9_00hb4s_047,H9_00hb4s_048,H9_00hb4s_050,H9_00hb4s_051,H9_00hb4s_052,H9_00hb4s_053,H9_00hb4s_054,H9_00hb4s_055,H9_00hb4s_056,H9_00hb4s_057,H9_00hb4s_058,H9_00hb4s_059,H9_00hb4s_060,H9_00hb4s_061,H9_00hb4s_062,H9_00hb4s_063,H9_00hb4s_064,H9_00hb4s_065,H9_00hb4s_066,H9_00hb4s_067,H9_00hb4s_068,H9_00hb4s_069,H9_00hb4s_070,H9_00hb4s_071,H9_00hb4s_072,H9_00hb4s_073,H9_00hb4s_074,H9_00hb4s_075,H9_00hb4s_076,H9_00hb4s_077,H9_00hb4s_078,H9_00hb4s_079,H9_00hb4s_080,H9_00hb4s_081,H9_00hb4s_082,H9_00hb4s_083,H9_00hb4s_084,H9_00hb4s_085,H9_00hb4s_086,H9_00hb4s_087,H9_00hb4s_088,H9_00hb4s_089,H9_00hb4s_090,H9_00hb4s_091,H9_00hb4s_092,H9_00hb4s_094,H9_00hb4s_095,H9_00hb4s_096
ABCA1,6.806841999,0,4.557093465,6.599059924,2.983012928,2.126014514,0,7.66239034,6.989348716,5.225350381,6.696549954,7.21166043,9.654711509,7.773584789,7.521191628,8.301902687,5.300908146,6.183465249,6.545862735,7.839578446,4.404882595,1.446131746,8.330136101,0,0,7.040673999,9.056084646,8.553702838,8.359254704,6.537386482,7.31845912,8.07516379,0,5.955668814,8.867954638,0,6.235329664,8.739406992,0,6.788878627,2.822441057,8.171038559,8.489544542,4.619499678,0,8.202272647,6.874721223,0,0,0,0,0,6.846463824,5.999160955,1.190186617,9.511129698,7.885929919,7.256443361,6.466057592,7.088309376,7.239079071,3.95731638,5.988812667,0.748728258,2.078482391,6.687438333,1.045373105,7.656273379,7.96176547,0,0,0.81014476,6.747518041,0,8.429325191,9.655841236,8.70057298,0,8.843616182,0,1.434535285,6.663270807,0,8.125052974,8.56862724,0,2.258047436,9.101548195,6.158015654,9.311040812,4.910872502,2.863844484
ABLIM1,8.299260504,5.858701112,6.94803846,4.104884463,6.341874239,6.858051112,5.75668215,7.232560905,7.544327039,6.081489299,7.338682948,6.108556188,8.186322174,5.273057066,6.605031235,2.340407358,3.817440527,6.980220913,5.957105601,4.883006595,8.081919942,4.748003514,5.758356735,1.721702574,9.012501041,5.382749785,5.503357911,5.764196805,6.956328636,6.698674835,7.048657434,8.167565926,2.230522649,8.319030536,5.731967941,7.409676702,7.748603446,3.932859169,3.862109047,1.976377892,7.351718265,7.445664216,6.411706989,2.725662051,5.828544382,9.201275403,7.057113643,7.327331671,8.727270525,6.347317701,6.915435733,7.828652768,6.577255945,5.10153417,0,0.869564339,8.068800837,6.817054345,7.642893845,6.508638075,6.005441797,8.941947843,7.909223817,7.636558671,7.434017387,6.234972842,3.540895265,5.859876276,4.125478915,5.312365889,6.615262156,6.210984436,3.303168593,7.408148971,6.548027965,7.624049542,6.936494619,6.483644882,2.732346493,8.618980616,5.36897351,4.477946673,6.541763531,8.345444058,1.612512236,7.491794577,0,6.601731061,6.938490418,4.442361459,4.045345846,5.57735575
ACOX3,0,0,0,2.289706928,2.705996662,4.577892596,2.51422241,0,5.426918491,0,0,0,0,4.765726618,4.696459124,0,3.725195811,0,0,0,1.816789046,0,0,0,4.266083882,0,0,0,0,0.836206037,0,0,0,5.955668814,2.670901316,0,2.453719779,0,0,0,0,0,0,0,0,5.285781466,0,6.204166076,7.017463867,0,4.797826662,0.766142432,0,0,0,0,0,0,4.600184473,0,0,2.615767258,0,0,0,0,4.083936724,0,5.63267086,1.828762784,0,4.006095778,0,5.446279662,0,0,5.839061813,1.05598622,0,0,0,3.250001072,0,5.279106768,0,4.115129694,0,4.416065971,0,0,0,5.467897511
ACTC1,0,0,3.005892161,0,0.837801662,3.65104958,3.862905368,0,0,4.116038485,2.526532891,0,0.645849687,4.956246525,5.040379703,0,0,0.803847361,5.865635747,0,0,0,0.795661158,0,0,0,0,0,0,0,1.771778733,0,7.774057882,0,0,0,1.494762075,2.66724884,0,1.563984253,0,5.650710644,1.674550215,0,0,6.245073302,1.704561193,0,0,0,1.543696797,0.766142432,6.883965262,3.269325175,6.862501377,0,0.880652751,5.918722905,0.862288099,5.880377813,4.358895065,0,0,0,0,0.993450839,1.045373105,5.996714431,3.083903154,3.962227521,0,2.959860332,0,4.852203632,0,0,0,0,0,0,1.940449223,4.609552629,0,0,0.765250513,4.88328957,0,1.277626726,0,0,0,3.833575946
ADAMTS3,0.666384796,6.167088966,0,0,0,6.329416885,0.668220873,0,0,0.916895228,3.996915124,7.316961537,0,3.541665952,1.595130518,0,0,0,0,1.420567515,0,0,0,0,0,0,0,0,0,2.86449148,0,0,0,0,0,0,3.315643826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.167342194,0,0,4.054438223,0,0,0,0,3.447501851,4.893619528,0,0,6.42041583,3.996749202,0,0,0,0,0,5.62556727,0,0,0,5.687085206,0,2.885161463,0,0,6.131031767,2.258047436,0,0,0,5.337122623,0.763602868
AEBP1,0,0,0,1.199450967,0,3.38159879,0,0,2.778878148,1.473057166,2.345279528,0.731364791,0,0,2.820414973,1.392747401,0,3.042696131,0,2.122280386,1.816789046,0,0,0.792379018,4.516566897,0,5.466114224,1.110879911,0,2.050117018,4.135189569,1.08058985,0,0.904837082,2.670901316,2.301617424,0,0,0,0,0,2.838904445,2.428784607,0,0,0,0,5.143409328,1.217362539,0,0,3.69066021,0,1.15999369,6.05252352,3.449605329,0,0,0,2.893822829,0.83249611,0,0,0,0,2.311435119,1.045373105,3.408656418,0,0,2.053220241,0.81014476,0,5.283675804,0,2.488153467,1.087386343,0,5.418717351,0,0,3.54127693,0,4.266003502,0.753558485,2.733875139,1.675541883,0,1.486627779,0,0,0
AES,3.915538354,2.909913918,2.956474879,2.289706928,4.13547368,3.38159879,3.114109937,1.485362208,3.42921078,3.018702132,3.996915124,4.705311042,0,3.640652319,3.558247048,4.109178721,2.99742145,3.004157433,3.515510844,2.122280386,3.099107822,4.652297661,3.188507898,5.08943682,3.052459484,3.734282226,0,0,1.032782132,4.784118981,2.790458818,4.147592345,4.533453578,2.422681146,4.838358912,0.726846001,1.480940859,4.16579369,4.477649933,1.563984253,1.45170396,2.838904445,1.674550215,2.951879579,2.339211308,4.340818346,3.155027451,5.686681358,4.635395943,3.516545043,0.969161905,4.67146462,3.180481484,3.269325175,0,0.869564339,2.596278991,2.167342194,3.295825498,5.499227295,4.120686879,3.379075648,4.753624168,2.964049194,1.65493251,3.158261414,4.729748587,2.072630848,4.455580295,1.433786686,3.015819543,2.959860332,0,4.772676585,4.11153859,3.89061998,2.129171547,3.268001952,0,1.677639065,3.7536373,2.394193628,3.876598038,2.518226283,3.810749244,3.196068647,0,3.339388609,3.85971998,4.165051379,3.65914437,1.62908859
AFF1,6.398605416,4.360869946,2.461572195,7.191903394,2.544596476,6.353365395,0.668220873,6.153706228,5.252987127,4.421229866,4.852540952,1.214384602,4.524218397,6.485047047,1.909041313,1.392747401,6.736860924,4.505947283,1.316642429,6.618542016,3.099107822,1.681538792,6.496977242,4.375877552,5.532106069,4.247124632,7.799992766,8.013851245,3.380409947,7.039882089,4.400735498,6.421769378,1.509199147,6.16307554,1.341297637,3.945829887,4.432961521,3.654935198,7.09880295,3.556038092,2.414026345,5.428194761,6.360087074,2.951879579,3.479055672,7.2141227,6.402483777,3.713866171,4.781582607,4.967546189,5.983009411,5.742914788,2.487794479,5.425432216,0,8.106739709,6.353252433,6.961284154,6.128495854,5.277619901,5.350891188,3.493004465,5.893527877,0,5.145080422,5.379503203,7.154805012,7.590591028,3.611887487,5.280193891,5.307112908,5.685854774,5.189162078,5.739364994,7.778578515,6.981945687,6.643713135,2.677101153,2.732346493,1.975282926,6.960307577,4.841440208,5.625428811,2.823719113,7.50850624,7.196787383,2.258047436,4.268403833,6.608483256,3.379997951,4.7812426,1.922540544
AFF4,2.898788862,0,0,4.94579586,4.486051675,5.394178431,3.114109937,5.100039082,6.306987524,5.532642172,5.483306951,5.714143698,5.215054204,4.368259425,3.638487629,0.858292372,5.894947645,1.291638426,4.546145048,4.79859631,6.598016286,5.002061934,5.565596583,6.15512373,5.735787416,5.72995141,8.294341023,5.733077708,2.863105029,0,3.542666158,3.602766362,2.230522649,8.182963233,6.666231381,4.833432178,6.221023509,7.219910205,7.06084429,3.803546172,6.172881098,4.893470852,2.921549537,4.804789748,1.599379518,4.705246268,3.153196673,5.896937534,5.251944326,6.843504148,6.295979038,6.165356012,4.192548644,5.383380421,0,6.189007391,7.931382631,3.626303714,6.327437486,6.288883994,4.706063784,0,0.857393029,6.438392434,2.896708517,6.741881421,2.659810472,6.933181435,6.539040174,5.315143247,6.848179837,6.639431088,3.303168593,4.599124345,1.836524404,7.453369443,4.864046607,4.273915909,6.649015638,7.219833539,5.084222334,4.944756515,6.209361295,2.955199449,7.88019851,4.115129694,7.571159695,6.632869908,6.359396958,0,4.349691555,6.130823495
AGL,8.122538208,7.377963038,6.689090982,4.049480125,5.064360086,4.731984519,0,6.078852309,5.80020247,5.738627759,6.244680092,4.630377554,7.298392257,7.079949153,5.441137775,0,5.328132486,7.168940013,4.72106598,7.131171273,8.892745939,1.446131746,8.513610727,0,7.56595107,6.4139033,4.799953278,8.149669362,3.867655069,6.882850707,7.074227645,6.082841905,0,7.927880521,7.856958149,0.674519798,5.459148639,4.840607385,7.419847416,3.671310985,6.273396675,4.779009245,0,1.086055075,1.87163465,8.080459131,6.681848435,6.281138353,6.354698269,6.762551959,4.111110693,8.080954697,7.010167114,6.34423718,3.317992544,8.038123884,7.100136829,6.593834175,7.451279583,7.43517824,4.457549225,0.891353198,8.163599554,0,1.052793069,0,7.218026565,2.277341118,5.344792331,2.798137724,8.101833076,6.583862152,5.503159606,8.894224368,8.140445516,3.137687899,4.483677736,3.802158895,7.477507472,10.16575999,5.718530853,6.747129559,0,1.888365786,7.748294903,1.812366058,3.626475279,6.167299256,1.888888437,6.783513658,7.875849295,8.021568617
