X,H9_12h_001,H9_12h_002,H9_12h_003,H9_12h_004,H9_12h_005,H9_12h_006,H9_12h_007,H9_12h_008,H9_12h_009,H9_12h_010,H9_12h_011,H9_12h_012,H9_12h_013,H9_12h_014,H9_12h_015,H9_12h_016,H9_12h_017,H9_12h_018,H9_12h_019,H9_12h_021,H9_12h_022,H9_12h_023,H9_12h_024,H9_12h_025,H9_12h_026,H9_12h_027,H9_12h_029,H9_12h_030,H9_12h_031,H9_12h_032,H9_12h_033,H9_12h_034,H9_12h_038,H9_12h_039,H9_12h_040,H9_12h_041,H9_12h_042,H9_12h_043,H9_12h_044,H9_12h_045,H9_12h_046,H9_12h_048,H9_12h_051,H9_12h_052,H9_12h_053,H9_12h_054,H9_12h_055,H9_12h_056,H9_12h_057,H9_12h_058,H9_12h_059,H9_12h_060,H9_12h_061,H9_12h_062,H9_12h_063,H9_12h_064,H9_12h_065,H9_12h_066,H9_12h_067,H9_12h_068,H9_12h_069,H9_12h_070,H9_12h_071,H9_12h_072,H9_12h_073,H9_12h_074,H9_12h_075,H9_12h_076,H9_12h_077,H9_12h_078,H9_12h_079,H9_12h_080,H9_12h_081,H9_12h_082,H9_12h_083,H9_12h_084,H9_12h_085,H9_12h_086,H9_12h_087,H9_12h_088,H9_12h_089,H9_12h_090,H9_12h_091,H9_12h_092,H9_12h_093,H9_12h_094,H9_12h_095,H9_12h_096,H9_12h_097,H9_12h_098,H9_12h_099,H9_12h_100,H9_12h_101,H9_12h_102,H9_12h_103,H9_12h_104,H9_12h_105,H9_12h_106,H9_12h_107,H9_12h_108,H9_12h_109,H9_12h_110
ABCA1,2.68734004,1.297207841,2.380152696,8.735846256,5.589547649,7.345474438,1.66139554,7.728669996,5.526892595,5.095847189,1.727758539,0,4.128056287,8.931999352,1.310308835,7.1010887,5.378163482,4.842056834,0,5.842265608,0,0,0.966715585,4.985384002,0,5.529566537,10.41890968,0,0,4.985681445,6.201307195,0,5.517166792,6.838570913,0,5.539514883,6.698685603,0,4.906029362,0,8.866775423,4.341090318,1.417311797,7.746069391,1.519250892,8.782025791,7.309266494,8.713928361,0.87809057,1.306997306,0.648235458,9.27983448,8.616151992,4.394836381,2.140112197,6.222433788,7.356355837,5.197910344,4.754384798,9.331102203,0,0,0,9.183304959,0.889040337,7.765604308,9.788686389,3.396778846,10.65915641,1.787784954,1.855836801,1.29780693,7.944698527,8.880611291,0.588019865,1.694135625,0,7.921992787,8.365720597,0,0.456290186,9.08048175,9.889311642,1.002995721,0.925526965,9.284694971,1.758441818,1.851569951,2.537683075,3.48230272,3.832160061,0.567670653,1.001041454,7.879651599,2.369214864,4.007606779,5.282837855,8.135644415,6.391420846,8.103347843,9.163251829,1.68382687
ABLIM1,3.331811994,9.372250646,8.35759667,2.252183486,4.785395193,3.854933191,1.288151264,3.256787326,2.299329259,1.79629191,4.103069366,4.640986729,2.844370035,8.197945153,7.670674887,2.039719846,5.166966324,0,2.759908037,6.548599002,0,6.306390988,3.936948167,4.779617669,4.622401355,3.465012454,1.206544499,4.494571174,0,2.024460648,0,0,7.959891047,0.758530858,6.190143718,3.033162695,2.354718754,5.434476645,6.100660065,2.077218738,3.991570584,5.252061543,4.359055514,8.217914482,3.814032744,7.890634044,7.605246581,7.311762677,4.341462523,8.618947968,5.587417849,7.085552746,8.313250081,4.28205822,0.749828269,7.247695724,0,1.105529797,7.195222812,6.929512041,7.094797593,2.501087429,8.658100032,7.706393873,0.511945564,9.259260387,5.840730457,9.160467215,4.846740682,8.060091914,6.326216547,0.790166769,6.923795432,5.577409738,2.00686998,3.247343085,6.96258512,2.134947834,5.712314534,6.829274209,6.200492578,4.902502766,7.324667562,0,2.052354198,3.571993397,8.459090651,3.566561699,5.568743192,7.82915791,0.51317421,5.456459472,4.249900158,4.943494931,6.110568904,4.230991523,4.475401999,0.69234352,6.787078926,9.139314879,0.522961861,3.091443834
ACOX3,0.93120991,0.789740926,6.522824506,3.092218693,0,0,5.950399786,1.536994543,0,1.411376598,1.727758539,2.474468792,2.032439828,0,0,0,0,0,0,0,5.266976791,0,0,0,0,0,0,0,6.58666426,0,6.61143478,0,0,0,0,0,0,0,0,0,0,0,3.844685953,5.810439108,0,0,0,0,3.930264196,0,0,2.922945491,3.210035567,0,0,0,0,0,0,0,5.206283225,0,0,0,5.932203873,0,0,5.102818618,0,0,0,0,0,0,0,0,0,0,0,5.526252158,0,0,0,3.760430236,2.67723024,1.896524656,0,0,0,3.906090919,0,0.567670653,0,0,0,0,0,6.984644937,0,0,4.91993338,0
ACTC1,1.492493658,3.485774043,8.197839704,5.124175063,2.147076831,3.854933191,1.66139554,3.518587245,5.853355744,5.455614419,4.368285752,7.190621127,6.834719203,3.492110606,1.310308835,5.536991255,4.462716132,5.768469827,2.456943813,9.022316173,6.5662473,7.520986945,5.661865942,6.251640095,1.858244829,4.005754889,3.518879598,2.753743185,3.423278778,6.191944386,3.423062733,3.460192748,4.817515874,1.257283198,6.317584129,6.099559652,3.206313484,7.815436957,8.650587579,9.406524266,3.746562453,1.959811887,7.696176983,2.465412296,5.459916799,4.160970469,7.334638334,8.252448446,7.982194855,7.268293148,1.433894408,1.526631063,7.279394185,5.029596706,4.376164424,6.410790261,6.168681445,2.874754394,6.129143109,4.245794956,4.772964734,5.73831434,4.042360061,6.374315633,8.590568438,4.410877615,6.928273056,6.789520448,7.679130341,6.840969729,6.288905119,5.016411172,7.027595972,8.093931497,4.218112828,3.658361605,5.937235301,8.166223466,4.549478744,3.876446012,6.823984009,6.946109357,4.698887556,2.174582327,4.377562017,2.688472388,5.926979583,2.75267139,5.894813138,7.003436735,8.489434305,3.547053879,7.932308298,4.059086731,4.009340069,1.387475868,6.615514759,6.637277,5.05714115,5.774820079,0.522961861,0.528629408
ADAMTS3,3.456230494,2.425616116,0.609508944,2.252183486,0.893225161,0,1.288151264,0.964174378,7.905680256,9.438488504,4.285182176,3.561603652,0.599470328,1.518032245,1.687024545,0,0,2.394711018,0.715017749,1.591331151,0,0,10.53775212,0,0,1.81174168,0,0,0,2.024460648,0,0,0.847947427,0,0,0,0,0,3.953362867,0,1.164935739,0,0,0,0,3.741210019,0,5.812862514,0,0.796705863,3.690668839,0,0,0,0,4.423817323,0,0.656166299,0,0.833002182,0,0,0,0,0,0,0,7.470468803,0,0,0,0,0,0,0,0,0,0,7.435799661,0,0,0,0,0,0,4.115941649,0,8.4750009,0.485989834,0.710160238,6.397485241,0,9.115468964,1.852591308,0,0,0,0,0,0,0,4.760802533
AEBP1,0,0,1.633644725,3.092218693,2.402345021,3.743283151,0,0,2.783128256,0,0,0,0,0,0,0,0,0,0,0,0,4.139648226,0,0.679440463,8.112150748,0,0,0,0,0,0,0,0,0,0,0,0,2.554460094,4.344927726,0,0,0,0,0,0,0,5.618832562,0,0,3.299473562,0,0,1.443356191,0.610966026,0,2.064613901,0,0,0,2.858201455,0,0,0,1.286963944,0,0,1.681790788,3.396778846,3.20626967,0,0,0.790166769,0.81337948,3.767115421,0,0,0,0,0,0.852082423,0.456290186,3.306706269,0,3.590449912,0,0,0,0,3.106077341,1.540006155,0.890931984,0.567670653,0,0,2.215918963,1.657612874,1.103244081,0,2.950035419,0,0,1.870008958
AES,5.668972848,0.789740926,4.495396601,3.619659479,4.785395193,0,0,5.388558394,0,3.994505158,6.063840609,2.143465132,3.898143044,2.241230947,1.310308835,0,0,6.935146788,5.673660473,0,0,3.219260193,4.45920185,0,3.820517501,0,0,3.032243729,0,0,0,3.460192748,0,0,0,0,2.842459498,4.23825779,2.543582348,1.384030194,2.577472122,5.728519877,5.195556554,5.218026828,2.420882282,4.457973344,3.5002619,2.378811194,0,2.43903291,0.648235458,4.559092322,3.409982268,3.771331711,2.966416901,2.789039438,4.982656045,0.656166299,4.828718569,2.50800541,2.067907482,2.288141895,5.684895878,3.752878475,0,0,0,0,3.287551273,1.787784954,0,2.772771367,4.005003192,0,6.127962513,2.860033694,2.876718377,3.567433468,3.910152973,0,0,2.445600251,0.524170022,0,2.867035577,3.196836316,3.691157316,3.817297172,1.586275841,3.5621519,3.046521821,4.263785468,0,4.815545783,1.35753768,0,0.65460619,1.509806702,3.66286604,2.554060106,4.485955332,1.218889171
AFF1,4.619338906,4.027157924,8.342043349,5.406140905,4.431339827,6.354318151,7.596390306,5.66543633,3.147988597,2.110970171,9.255977129,4.177208073,3.562958426,4.074163963,5.219504751,6.82138272,5.726699149,0,5.551305416,3.468109188,4.611212128,5.760321752,8.714161507,6.594570068,5.939937608,4.706341867,2.299691935,0,4.662173236,3.11619735,4.910815327,2.585660218,8.402952164,4.193312387,0,5.297391561,5.325241707,6.959848007,8.650760976,9.209104781,3.60645295,4.947876332,2.94176272,2.255600984,5.835221619,7.343964393,5.145101692,7.945368344,5.365313725,0.796705863,5.351639099,3.619029774,3.455920477,5.719007889,5.01583927,0.933188462,5.572078793,4.654627746,7.50008302,3.262323922,7.128107506,8.325073488,4.1394023,5.191509594,8.107226928,4.487298503,4.088301106,2.527635977,0,2.677227624,6.174787635,5.460322749,5.671953574,1.689818164,6.195488383,3.31372739,0,1.236881351,5.620095335,4.481251878,0.456290186,2.939468026,7.987475295,0,6.700145163,1.493357796,4.3550037,8.695007807,7.742078399,3.843551984,4.176918984,1.770043799,9.092640705,6.981295275,2.750407853,4.271798828,5.558928891,0,6.288064456,1.32154579,6.978703806,5.582023192
AFF4,4.950788418,3.892052491,4.278051151,4.773375709,3.382744585,9.111775738,4.249965841,8.617614568,2.97526426,6.799397067,7.001881648,3.696413275,6.566428693,3.230818875,5.660443743,9.762162932,8.494439403,3.784101138,6.199473801,4.401406911,3.913071693,5.354129128,5.864039626,1.768109778,5.426620612,1.81174168,4.895909698,4.399599637,3.052386353,4.278756835,7.283962985,4.955006531,2.535960764,2.707996425,4.367424781,1.763556454,0,2.087344183,2.543582348,6.319911627,3.746562453,6.304383964,5.321461119,1.327763651,3.183935459,3.60114454,3.07899794,3.700782079,4.150464056,1.981312244,3.411867173,6.10266683,7.779503097,4.906913883,0,3.518428343,6.558090681,3.43163901,3.015844302,4.611270064,7.378529141,1.352592762,6.662665357,6.81495604,2.611564981,1.652100016,3.214276017,0,4.711670017,2.883111122,8.338864052,1.969784999,7.287723813,1.689818164,4.790705267,4.169308098,5.860540222,5.856360624,4.58027403,6.250361599,7.672884654,7.831773693,7.680094353,0.586960339,0.535743379,6.184075518,4.462883736,1.851569951,6.390824414,5.548158496,4.867616346,4.564380927,4.932751275,6.004453847,7.85633729,5.950202147,5.516851104,5.703771285,6.925738053,5.580576664,4.399000201,5.304035618
AGL,0.93120991,0,1.036664806,0,2.807615589,3.854933191,0,6.542905442,2.299329259,6.903079918,2.761353499,1.713173657,2.49346547,2.911500851,2.232619486,8.028649307,4.009279255,2.394711018,0,2.329567108,8.341991494,2.582039299,3.398331493,2.002735819,4.276469932,2.59007909,3.145196868,3.941258499,3.052386353,8.654548019,0,4.701244747,6.974877665,2.853177829,6.190143718,4.333618915,3.206313484,2.906756115,0,2.077218738,2.577472122,1.959811887,4.608349923,6.816981343,0,3.986150725,0.653608475,7.749460901,5.703610436,4.6625072,0.648235458,2.387507547,6.812780121,7.493217117,0,2.789039438,6.446958441,5.556771291,6.492781735,0,5.488667283,4.352005071,3.571804016,0.565642677,6.451175768,6.806560503,7.450981872,0,0,9.30438283,4.792859881,0,3.334550737,0,2.708188104,6.050637157,0,0,5.63375245,0.488054558,1.081358505,1.688744903,0,0,8.390521808,6.091088179,1.57826454,5.644332777,1.766925305,1.825355504,1.996500047,3.041230597,3.089300194,2.637602281,0,0,4.141710671,0,0,0,0,3.879637214
