X,H9_24h_013,H9_24h_014,H9_24h_015,H9_24h_016,H9_24h_017,H9_24h_018,H9_24h_019,H9_24h_020,H9_24h_021,H9_24h_022,H9_24h_023,H9_24h_024,H9_24h_025,H9_24h_026,H9_24h_027,H9_24h_028,H9_24h_029,H9_24h_030,H9_24h_031,H9_24h_032,H9_24h_033,H9_24h_034,H9_24h_035,H9_24h_036,H9_24h_037,H9_24h_038,H9_24h_039,H9_24h_040,H9_24h_041,H9_24h_042,H9_24h_043,H9_24h_044,H9_24h_045,H9_24h_046,H9_24h_047,H9_24h_048,H9_24h_049,H9_24h_050,H9_24h_051,H9_24h_052,H9_24h_053,H9_24h_054,H9_24h_055,H9_24h_056,H9_24h_057,H9_24h_058,H9_24h_059,H9_24h_060,H9_24h_061,H9_24h_062,H9_24h_063,H9_24h_064,H9_24h_065,H9_24h_066,H9_24h_067,H9_24h_068,H9_24h_069,H9_24h_070,H9_24h_071,H9_24h_072,H9_24h_073,H9_24h_074,H9_24h_075,H9_24h_076,H9_24h_077,H9_24h_078
ABCA1,0,6.40114233,0,0,4.659373004,0,0,1.379452322,0.720428743,0,0,0.802942988,3.733517261,4.208410286,0,1.062735244,0,6.559403887,2.448873049,0,0,3.647949511,0,0,0,0,0,0,0,0,2.571842602,1.962251918,0,0,0,5.538339136,0,2.28510944,0,0,0,5.562200124,0,5.730929461,6.45049114,0,1.556296749,7.008468102,1.904852802,0,0,0,6.100979123,0.595414586,0,0,4.375674464,0,4.61007453,2.08106896,0.684909474,0,6.891742864,1.376186086,0,0
ABLIM1,6.283694415,4.083415897,5.157867795,1.747718472,6.308736506,1.836339816,0,5.616206994,3.23568587,0,4.541328835,4.449586534,5.754649322,8.094992251,5.443597605,7.028764611,5.398335566,6.496435161,2.793200799,1.797770922,0,7.632162779,2.412808691,1.679679491,7.572877857,1.512256973,2.717818157,1.470113255,0.855399277,7.371875765,5.098914696,4.838587184,0.711712588,4.245031686,4.529127428,6.550295001,6.837153681,5.394531777,7.791112495,2.716215542,1.950269821,0,7.427275845,0,5.308491027,7.044604689,1.197856814,2.133072271,5.906994863,1.611002188,5.942989355,0,7.421912353,5.074592329,0,7.431606958,3.379775116,6.707750404,1.029241905,4.910773663,6.487193069,1.726152806,6.622684226,7.973926178,0.913968847,7.837076983
ACOX3,0,0,3.70173449,0,0,5.639508559,0,0,0,0,0,0,0,0,0,0,0,0,3.769387478,0,1.240441988,0,0.783121386,0,0,0,0,2.182969633,0,0,5.803540217,0,0,0,1.287224232,0,0,0,0,0,2.195531862,0,0,0,0,2.91666072,4.563448674,0,0,0,0,0,1.108518111,0.595414586,0,0,0,0,0,0,0,0,0,0,0,0
ACTC1,5.728441128,4.633742048,7.378865029,7.821549764,2.012136743,6.877171363,6.172612037,2.071553912,6.391078134,1.55334138,2.742142785,8.035483259,6.579345186,7.524444694,3.665952657,4.364571499,6.15092508,4.932548996,5.848270549,2.237330957,5.456981395,2.889204868,3.728404984,1.321019519,1.344728939,5.413696016,2.44969792,2.657939314,6.121245967,7.486556985,5.682462265,5.845492148,5.852304683,6.739401448,0.971138397,7.467882198,6.258486363,6.684692346,0,2.988832897,6.390559425,6.630733045,1.614330008,6.095945941,0,6.055491422,1.197856814,0.976417286,0,0,0.84504359,0,5.343657212,5.785448844,5.085537862,6.461938047,0.956734126,6.153233746,8.109278552,3.799587229,1.147438398,3.11590698,6.55967532,5.353863436,4.002861956,6.507064549
ADAMTS3,0,0,5.210298094,0,0,0,2.882970037,0,0,7.668751881,0,4.497934047,0,1.911134225,0,2.913287516,0,5.219229706,0,0,0,5.907144834,0.783121386,0,0,6.248295667,0,0,0.910448543,0,0,0,8.593344466,0,0.565785728,0,4.564834296,6.367701625,0,0,2.405094344,6.392494897,0,0,2.202369975,0,4.748446593,0,4.385370637,2.353119791,4.591033958,0.849397268,5.291159168,6.306858746,0,0,0,0,3.374144136,6.951702386,8.184011089,0,0,0,0,0
AEBP1,4.097493158,1.524440125,0,3.677096953,0,0.892981304,1.30541004,5.241802243,4.208449659,4.545414639,2.064734954,1.315747603,3.38718245,0,0,0,0,0,3.51177419,1.162476288,0,0,2.758473825,1.303953219,0,1.917943142,2.120107302,0.91473152,0,0,2.335274033,3.380489351,2.450018118,5.416071914,1.546350613,3.926995326,0,2.847679726,5.871776098,3.221255114,0,0.671683737,5.435119261,4.430954006,0,3.817820388,1.556296749,0,2.147594435,0,0,0,0,0.595414586,0,0,1.934604684,6.573987938,1.029241905,2.899642052,4.476773008,1.34133098,0,1.376186086,5.318525161,0
AES,0.792991764,4.998483653,4.859335269,3.210068838,3.151836019,4.59330956,5.081696895,6.601425419,0,4.464265309,3.504188928,3.3126474,3.099321313,4.345348611,4.839849901,0,0.994349702,0.740992779,2.633014998,4.998210247,0.749623962,4.664070714,2.202966241,3.829992235,4.225582221,0,2.44969792,2.439913252,5.245817033,0.820935391,2.866810264,4.637943693,3.485935994,3.120676657,3.643929234,4.669465513,0,3.468899712,2.806437019,0.760290405,3.365905401,3.871588593,2.204129495,3.40590137,4.420435478,0,2.082350355,3.766327839,2.147594435,0,0,5.243380017,3.184864811,5.030169025,3.856134513,0,3.563216593,3.432230586,3.512165571,0,3.153613131,0,1.547409031,5.611006201,4.006835025,1.661651652
AFF1,2.221357156,0,2.939819199,7.736204162,6.069029045,4.311373201,4.183324718,5.414273992,6.552088828,4.984263456,6.949341221,6.360496929,6.444774957,6.11073529,4.892430653,7.729359942,6.834203358,2.947339905,6.576608255,4.196747318,7.677543508,5.392838382,6.629875403,8.877621339,7.059801154,0,4.236650894,6.024163317,3.156504728,4.786315434,7.519955984,6.936746472,6.871227254,7.546364601,1.287224232,6.334260398,7.284076166,4.552700601,6.487391727,6.521430517,6.672036287,6.719126591,5.757253064,7.80190851,7.538542154,4.368271779,5.630070172,4.446443048,2.843097564,6.447824877,6.87594827,8.278108537,7.027766423,5.387756383,5.020445528,7.370892709,7.598440523,2.465675625,3.221507788,6.03615431,6.242655547,6.129761887,3.493387164,7.127588638,6.596752619,6.794223515
AFF4,7.197709146,5.793461575,5.72929662,5.724703543,5.74921199,8.095550331,6.152359358,2.071553912,4.56489678,4.029136971,2.064734954,6.28989375,6.071223297,5.30941829,4.534437527,6.311263971,2.45017412,6.384965761,4.44710575,5.549092575,6.194236408,5.558943054,0.783121386,4.778356451,3.649464335,4.143477943,4.852690866,4.531721751,4.865332587,6.157802458,3.811329161,5.416339893,6.891750241,2.277680929,0.565785728,5.267375127,3.096907346,4.110266786,7.460201744,6.734200119,5.173516567,4.592770158,1.83879741,4.234756506,6.248855665,5.332914846,1.843168923,8.321095415,5.223706983,3.73637084,6.375401954,5.989510225,3.436700801,7.563594108,3.085712966,6.356281202,3.243090326,4.635868207,5.900144061,3.418678181,6.188637718,7.476964683,3.408847217,6.547775474,8.198088611,5.892930122
AGL,0,0,0,1.123755766,6.229290435,5.358639606,7.127377799,1.379452322,6.812492046,2.884795258,3.399268634,0,0,3.696498641,4.405779368,5.764065589,8.151083014,0,0.801833881,1.162476288,5.75877362,1.833273897,6.606693086,1.679679491,0,6.022499433,3.148294348,1.470113255,5.491541636,1.742689511,4.025618624,0,8.226246668,4.245031686,1.546350613,7.845949137,0,6.144295105,2.813836797,0,5.773700349,8.442382102,1.614330008,7.652591381,2.678865512,5.332914846,4.351189817,5.62567438,0,0,7.165320116,8.034884947,4.408318464,0,5.264854738,7.249418092,5.771672733,4.739344894,8.666936251,0,4.718684385,0.821240702,8.170704529,1.376186086,5.318525161,0.623816586
