X,H9_36h_001,H9_36h_002,H9_36h_003,H9_36h_004,H9_36h_005,H9_36h_006,H9_36h_007,H9_36h_008,H9_36h_009,H9_36h_010,H9_36h_011,H9_36h_012,H9_36h_013,H9_36h_014,H9_36h_015,H9_36h_016,H9_36h_017,H9_36h_018,H9_36h_019,H9_36h_020,H9_36h_022,H9_36h_023,H9_36h_024,H9_36h_025,H9_36h_026,H9_36h_027,H9_36h_028,H9_36h_029,H9_36h_030,H9_36h_031,H9_36h_033,H9_36h_034,H9_36h_035,H9_36h_036,H9_36h_037,H9_36h_038,H9_36h_040,H9_36h_041,H9_36h_042,H9_36h_043,H9_36h_044,H9_36h_045,H9_36h_046,H9_36h_047,H9_36h_048,H9_36h_049,H9_36h_050,H9_36h_051,H9_36h_052,H9_36h_053,H9_36h_054,H9_36h_055,H9_36h_056,H9_36h_057,H9_36h_058,H9_36h_059,H9_36h_060,H9_36h_061,H9_36h_062,H9_36h_063,H9_36h_064,H9_36h_065,H9_36h_066,H9_36h_067,H9_36h_068,H9_36h_070,H9_36h_071,H9_36h_072,H9_36h_073,H9_36h_074,H9_36h_075,H9_36h_076,H9_36h_077,H9_36h_078,H9_36h_079,H9_36h_080,H9_36h_081,H9_36h_082,H9_36h_083,H9_36h_084,H9_36h_085,H9_36h_086,H9_36h_087,H9_36h_088,H9_36h_089,H9_36h_090,H9_36h_091,H9_36h_092,H9_36h_093,H9_36h_094,H9_36h_095,H9_36h_096,H9_36h_097,H9_36h_098,H9_36h_099,H9_36h_100,H9_36h_101,H9_36h_102,H9_36h_103,H9_36h_104,H9_36h_105,H9_36h_106,H9_36h_107,H9_36h_108,H9_36h_109,H9_36h_110,H9_36h_111,H9_36h_112,H9_36h_113,H9_36h_114,H9_36h_115,H9_36h_116,H9_36h_117,H9_36h_118,H9_36h_119,H9_36h_120,H9_36h_121,H9_36h_122,H9_36h_123,H9_36h_124,H9_36h_125,H9_36h_126,H9_36h_127,H9_36h_128,H9_36h_129,H9_36h_130,H9_36h_131,H9_36h_132,H9_36h_133,H9_36h_134,H9_36h_135,H9_36h_136,H9_36h_137,H9_36h_138,H9_36h_139,H9_36h_140,H9_36h_141,H9_36h_142,H9_36h_143,H9_36h_144,H9_36h_145,H9_36h_146,H9_36h_147,H9_36h_148,H9_36h_149,H9_36h_150,H9_36h_151,H9_36h_152,H9_36h_153,H9_36h_154,H9_36h_155,H9_36h_156,H9_36h_158,H9_36h_159,H9_36h_160,H9_36h_161,H9_36h_162,H9_36h_163,H9_36h_164,H9_36h_165,H9_36h_166,H9_36h_168,H9_36h_170,H9_36h_171,H9_36h_172,H9_36h_173,H9_36h_174,H9_36h_175,H9_36h_176,H9_36h_177,H9_36h_178,H9_36h_179
ABCA1,0,6.835103768,0,3.969940102,3.51236254,4.614553487,0,7.137076736,0,0,0,0,0,8.705990448,0.863147817,7.086059518,0,0,0,7.669950046,0,0,0.914234188,0,7.892838033,0,0,0.999648923,0,0,8.535896185,0,0,0,0,0,7.711383688,1.034154354,8.738100933,0,4.706438701,1.22700398,5.833564767,0,0,3.196334022,0,3.662064863,0,0,0,0,0,0,0,3.603838864,7.012782091,0,3.901672062,6.972618986,3.0513074,0.801018321,4.640159148,0,8.494138986,0,0,0,0,0,0,0,7.450695616,7.054128429,0,0,2.97020732,0,0,0,0,0,0,0,5.290164041,0,2.389173506,0,6.412129204,0,1.908593475,7.448623175,0,1.12737265,0,4.760182379,0,0,0,6.907429922,0,0,0,0,0,0,4.436006109,0,1.098778343,0,0,0,5.33779273,0,4.413336586,7.787776025,0,0,0,0,5.632656455,0,0,4.266580727,7.83848434,4.442015656,6.309827989,0,4.485399786,5.621964028,6.358076255,0,0,0,0,0,3.629708128,0,0,5.071243747,0,5.28144713,0,0,0,4.446143715,8.393129461,5.319851169,0,0,0,4.692106909,7.567631098,0,0,6.935664514,0,0,6.661862935,2.880722782,0,2.869505864,4.498994137,3.174004307,0,4.440727935,5.325302563,7.097144244,6.242692858,4.264321084,0,5.302132339
ABLIM1,4.090313504,5.903482093,5.595177509,4.563207834,5.259511457,6.011894954,4.758099123,6.473485265,4.933297339,3.713426336,7.255149072,8.360858151,1.631837294,8.654553715,5.825078222,6.188430211,5.818554921,7.15599604,2.632983632,3.951869424,6.614336756,7.922192274,4.707667758,0.944582893,7.739239728,5.811701037,2.735965055,7.664637139,8.460999005,7.705029119,7.982857668,1.320993819,1.16541785,7.883238193,9.392851684,7.034665584,7.164026126,8.047911345,7.429475563,6.441618269,6.624152604,1.88033582,2.119314851,6.991362519,2.95986901,2.345717862,5.306784535,6.368268305,8.096223189,6.266120627,4.547766391,8.764933916,7.091531109,8.151647002,5.13989051,8.07495113,6.061207809,5.704840656,8.145668137,5.835789416,6.467206735,7.497005395,2.84912539,8.037563048,5.121655397,6.769433175,5.862961192,6.657469253,5.781848316,7.985870854,5.259955246,5.298388182,8.541167191,5.521247921,5.897595977,6.580586503,7.141065007,3.370700715,7.849607593,4.931509006,5.580747975,5.886816315,7.075663984,7.424139826,6.244995346,3.111215178,8.10810525,7.147224577,6.762756508,4.902741573,6.690015958,5.653317539,3.149298075,6.021409554,2.954965253,2.469626696,6.386558699,6.367068886,7.547203858,6.38224666,3.371787008,7.580148151,6.693000303,5.97197943,5.624907099,6.486013104,5.711372582,4.580302498,5.954260785,5.853811176,10.84457597,4.025916006,5.188448047,5.283743647,5.567385267,2.683815666,7.124122063,2.042989855,2.98979087,5.919157777,6.398096717,7.320495503,7.195158391,8.211846787,0,6.825579193,6.815669457,6.297046552,4.009489248,6.318788435,0,2.466354479,7.043510878,5.483002301,7.331243233,7.757069498,4.396283902,7.215834349,5.757826768,7.008840284,7.746527421,5.634861139,5.533564576,5.876067749,5.449182693,7.375408827,3.593630461,7.902494724,7.1306908,7.405058975,0,6.751588124,5.885796285,6.7912167,7.213048785,6.133689477,3.988230695,6.207164921,5.378494929,4.793573338,6.525418191,6.92655499,8.617403926,7.198444793,7.977860776,7.970567816,4.800399744,5.043526861,5.993639835,5.9477543,5.937297061,7.083516594
ACOX3,1.718314589,6.556418352,5.008763816,2.558273689,0,2.993162809,3.444255315,6.54419503,2.967204185,1.764321251,2.999809075,5.648887979,5.305379394,0,0,2.128192552,5.398395423,3.168728716,0,0,4.389936467,0,3.299491493,5.865639596,7.082740544,1.430788817,0.772101523,0,5.226614409,5.170026686,1.589235551,0,5.111052431,0,0,7.966210158,4.963876099,0,0,4.909534483,0,0,2.589119477,5.075031934,2.605352056,0,5.071808482,0,5.508282032,0,7.536910299,5.793878885,0,5.028519297,5.282766658,4.91564367,2.614762229,4.017539221,4.583135045,3.105806897,6.003979454,0,5.916399811,4.326444208,5.754286906,3.476333581,7.292427765,2.344689987,5.441346464,7.254980771,2.59062463,3.404379683,3.905439776,0,6.229302585,5.577607759,4.177217881,0,5.597619766,4.994994653,0,6.702119599,4.499677277,4.717140905,5.095346285,6.410275177,6.294718345,2.771440357,5.0940048,4.420197706,5.060243696,4.738736163,6.404146423,7.219900943,5.271655851,7.063566361,4.285329328,6.323665999,2.243591443,4.882123106,6.756826404,0,4.254146172,5.548171181,5.587432011,4.298815855,3.716388222,2.708597962,5.888216252,4.02700034,0,5.573506027,4.995324379,0,5.929732601,5.788041189,3.261992615,6.455548072,5.021012355,5.567001879,6.319630205,6.501284845,3.85942307,6.223988517,4.897405671,0,6.628114377,5.921562016,7.318395057,6.135711257,6.638329718,5.214248359,5.328999328,5.529267086,4.819403409,5.069631937,6.703417124,5.237154962,3.453050131,7.098368441,5.208958184,4.238340906,5.316353878,4.553185741,6.961487004,7.011825823,5.891936717,2.931400028,6.116359335,5.636653709,7.364872565,6.065695645,3.279406804,6.941916594,5.281396675,5.498518225,5.660115268,4.667683195,5.161871054,5.24481489,4.971443116,5.852156775,8.479902557,5.48877587,4.853005795,5.813635774,0.880273385,5.613833733,4.729308065,5.856202282,5.222692196,4.984825341
ACTC1,0,0,1.05359026,3.43029189,0.914519518,2.183329984,3.716928586,0,6.122659095,2.200288402,0.920462611,0,3.820784828,3.842666414,5.526772701,6.166249893,0,1.745061067,4.197203657,2.623575987,5.709828951,1.335984911,2.659069717,2.711008973,1.1695688,0,0,6.48569819,5.092958818,0,1.003205973,0,0,6.249058358,2.71416265,0,2.437287252,0,5.047525924,3.526172887,4.526913265,6.816545536,3.68454765,3.826683761,4.628299182,3.934607462,6.533308144,11.90338157,4.650333425,10.75448628,6.535981999,3.777351062,6.07379078,1.321586087,3.598064214,2.823105444,4.033481784,2.823399108,1.79120168,2.761852063,0,3.196234931,4.987224836,6.082123355,6.212673271,4.86482292,8.365899112,0,5.54702709,3.428378721,3.641835174,7.270627267,2.842143601,5.969208249,3.916209479,2.155547422,3.87508969,3.193033618,6.125357767,5.781029306,4.173126935,1.865575427,0,4.139679058,2.179656651,0,5.100265504,3.096141002,6.250776971,4.300779753,4.91204754,0,5.934975648,0,2.280809031,5.687989012,4.514909501,0.860308992,6.02138993,6.272598305,1.850308305,3.527392273,5.734360248,5.57063762,5.610033672,0.782080321,5.521511844,1.368466768,7.119427607,2.270698093,2.046584312,4.646082742,0,1.636275045,5.232408877,0,2.01179914,2.975661556,3.488322851,11.62735647,4.467733666,3.911105424,4.810720059,3.660818031,3.689588457,3.176936486,7.620982677,2.185362161,3.198838664,4.869609381,0,5.078567148,0,5.445615572,0,5.552563108,3.068255123,0,0,0.766366975,3.809266723,6.053999547,0,3.804011206,0.795669113,0.854341978,3.917638823,8.945033505,0,6.646427038,0.744943189,6.863153053,0,6.355730859,3.79089019,1.170907578,0.695622894,4.494588802,4.9148213,0,5.585076242,6.598079925,0,4.467356809,0,5.601904273,0,2.432230704,4.584731374,9.304758669,4.752526368,2.229462145
ADAMTS3,4.214174227,1.463082268,5.311968118,6.118117694,5.384626708,6.356413216,5.731192603,5.380486196,5.963051788,6.959454646,6.34598159,2.754393992,4.811719077,1.36189336,5.716913563,3.74015901,6.185196195,3.168728716,8.586063683,6.982425263,5.709828951,0,0,9.789630628,8.09012246,4.16666789,1.643055814,0.999648923,3.746706608,2.743749221,3.706352885,0,8.047190021,0.82041528,1.742820002,1.017918417,5.835465861,6.899830076,7.132592586,7.518543574,1.259970026,3.551691951,6.852523108,0,0,5.67294502,3.092665482,6.025099968,7.941543921,5.086560458,1.08369441,0.932052934,7.076995192,5.57804827,2.831381004,4.645742194,0.890799771,3.602114269,4.724139952,0.964284825,8.532711103,7.187396116,4.294025335,7.853115011,6.694511181,5.072102167,5.749548191,8.012229272,8.589754737,2.24976778,4.097489567,4.895519451,5.938461344,7.538279299,6.752774905,9.266118763,5.392967539,6.577037108,8.626562107,5.511521498,3.250961101,5.854216359,2.582501677,4.082423537,3.918560722,0,5.591852881,7.850408637,6.289078899,8.08876654,1.249272059,8.759403662,8.550734057,7.865316575,8.19542387,2.738498845,5.483007774,8.019401278,1.31863387,4.778966275,6.686532349,6.948591081,3.005744566,5.398463505,4.684716233,8.194800727,5.356410605,7.521336642,6.833288899,7.33707829,8.445307245,6.547083277,6.11616996,4.931716304,5.274829013,2.154651444,3.473721249,5.54121769,4.693266162,6.078147294,6.138479516,6.93725327,7.169133768,3.949137344,5.546789466,3.133564539,7.202943225,5.102450265,6.737944968,6.04953024,7.275135695,4.385749148,7.75361198,3.388699437,2.162463109,3.247889159,6.196364488,5.522306076,4.011335114,6.179633956,3.699969935,5.932089384,6.616392549,4.323307511,2.620862245,5.517160344,5.501097073,1.409866545,0,6.169690599,6.099943751,4.643472663,1.667842856,4.924458364,6.501714255,5.895530466,7.569038635,5.94220329,5.058052464,4.024714742,5.101650805,6.0175297,4.966075333,0.557863228,0,0,5.50964442,2.321212644,6.846614977,5.25524804,5.612060749,5.781169503
AEBP1,0,0,2.079656919,0,2.822347933,0,0,0.885199743,2.967204185,1.764321251,0,5.685154067,0.60488933,0,0,5.117568051,0,1.098818022,0,2.54225975,0,0.802108526,4.998190779,0,0,0.885941648,1.272328542,4.643182047,0,4.1774604,0,1.998832061,4.82505277,0,4.361585537,0,0,0,0,0,0,4.72657355,0,2.924938871,0,0,0,0,0,0,0,5.536035964,0,0,0,5.033753389,0.890799771,0,4.2515341,0.964284825,2.550839644,1.690189791,3.54079974,4.476527348,0,1.087811979,3.7355353,0,0,4.002185056,3.556410427,0,0,5.754700124,3.073748446,1.714037408,3.254837475,3.659487475,2.238618401,3.096040177,0,0,0,1.873201259,1.935220509,3.111215178,5.100265504,3.563552199,0,0,0.755833795,0,4.271091734,4.035612382,0,3.626148362,2.94989243,0,3.316983933,0,0.893099627,3.717063398,4.093640942,3.20724654,3.296885938,4.574933322,3.57652904,0,4.179987765,2.270698093,9.741137598,3.485194877,3.041082828,1.03865449,2.544803091,0,3.406539342,0,2.016294309,1.930734707,1.577353098,0,2.505407369,0.815823166,0,0.89840239,3.726760279,5.741910816,4.44428148,2.344036368,0,0,1.396997555,1.671854361,0.659435242,3.705016766,2.741792216,3.699254712,2.483616501,0.760468395,3.202829925,1.280916648,2.083092729,3.507676931,1.30554133,0,4.096361851,0,2.528671433,4.308606728,4.853893398,3.700070945,3.383408897,2.935792663,2.810357226,0.698354693,0,2.099905205,0,3.30906939,0,2.56226377,0,1.938294744,2.718094793,0,1.816465459,0,0.550014103,0,3.657623248,2.505115146
AES,2.829453269,0.909568641,3.905346685,3.969940102,2.633555933,1.852324944,0,2.79267678,0,5.747846826,3.757545087,3.185527002,2.634272825,3.486257097,1.3994477,3.148492758,3.918189405,1.098818022,0,3.042208363,0,2.796842982,1.469436367,0,1.766713018,0,4.563657201,0.999648923,2.76504879,3.315296314,1.003205973,0,0,4.276641204,2.507401864,0,3.801839824,0,0,2.83534839,4.258051478,3.977173768,0,3.506227742,0,0,2.589876597,0,4.753139261,2.621273147,2.9479914,4.26000925,2.339455356,1.907354594,1.785349902,4.59540773,2.143006385,2.184491088,3.820229654,2.524936354,2.550839644,3.196234931,3.302347063,1.975528869,4.068717167,4.248552226,2.839971793,0,2.280736981,3.702591183,1.95256668,3.404379683,0,2.513613969,2.446719041,2.913497468,0,3.193033618,2.717906324,1.905236904,0,2.312142012,1.805245902,3.057359439,3.444306635,0,4.472417159,4.391035323,2.797181541,1.433394584,1.249272059,4.252404119,3.518717153,4.820575614,0.974438246,4.633339706,2.783676691,2.911388006,2.802646581,2.605823213,2.146866266,3.601471396,3.465399537,2.698346145,3.296885938,3.106221994,1.777746491,2.308856094,0,3.452393926,0,0.789472876,1.85976521,2.057600166,1.963907211,1.793334265,2.01179914,3.085827155,0.592227146,0.954194585,1.315081441,1.294438923,0.603870567,0.815823166,1.824351441,4.442015656,3.431820725,3.354150953,3.764259979,3.08319427,1.812519593,2.228368865,4.115640383,1.297187002,1.737790903,2.394227891,1.781630884,3.780169319,2.832681415,2.712006757,3.472708572,2.586108066,2.627474486,3.61336403,0.795669113,3.109590602,3.330438919,3.078743129,3.027791129,3.95789351,5.200524389,3.792187246,3.286936098,2.437728687,3.635488185,1.803480332,1.162962194,2.729995385,3.451902022,3.779299691,0.799750781,2.380017911,0,2.391983688,0,1.392225775,2.595585883,2.321212644,0.947254713,3.22489207,0.787633758,2.631478525
AFF1,7.956204057,7.858237349,8.047773326,6.887045023,7.609843795,7.251977823,7.852163619,7.619572174,7.93223569,6.917158036,4.770335708,8.690268812,5.839282029,7.296798375,7.678018954,7.000132179,5.084993452,7.690154908,8.166453796,7.279844733,4.883716544,7.388680956,4.53070821,4.284858128,8.794962844,8.745134374,7.741699117,3.999341661,7.042891562,8.527026568,6.960316891,7.698473528,6.457943572,5.811106846,4.123352628,7.605287445,8.641880796,7.900119475,2.810123562,8.376118297,9.130061274,3.707881849,5.685307991,5.273604375,4.81363409,8.810444633,8.838772023,4.20852888,5.224631431,6.837494466,9.684228803,6.862001208,8.849435565,8.842588709,7.459119845,6.208603501,6.201777288,7.760755155,6.177317598,6.436589447,8.215653311,7.65269305,8.002087622,5.022254774,6.575257146,4.86482292,6.293531637,3.570304988,6.6556745,8.720849394,8.760709221,7.270627267,8.501704091,8.228810074,6.480475408,7.306980212,7.509117376,7.583796171,8.793857809,6.308385715,6.858229191,6.374255082,7.320495087,8.018780143,7.866067751,4.025223953,6.699561912,6.061169843,7.634037569,7.404125184,4.999428456,8.967284487,6.649381738,8.564007059,8.956946001,7.689228919,6.128270165,7.448619937,7.529810493,7.433987415,8.063812276,8.828403637,7.936445825,8.386147537,7.341191576,5.544345526,7.635420904,6.824248192,6.957765086,6.79670538,9.735955258,7.884396632,5.926492986,6.614659742,6.907195605,6.488344932,6.84218521,7.617458472,6.74258027,6.308904283,7.202918607,8.163525364,7.049919219,8.687154015,7.885758978,6.598485445,8.42501348,5.348451515,4.675058105,7.739406202,7.748574407,7.686106541,6.505710246,6.956034745,7.569664755,7.766439307,7.773519864,7.340798783,6.158370426,7.452893335,7.373160656,7.081230107,5.219402103,7.362054836,7.709116114,5.930621346,7.980096945,5.566800636,6.637903995,3.255924802,6.536602561,7.064153792,7.453504531,7.172052524,7.026907989,4.795667612,6.876292327,7.575237462,3.214997627,7.983416982,7.363844644,7.065979147,11.08019169,7.296929542,5.963020013,7.393645471,7.008783259,6.767298164,6.151353533,6.828263508,7.148636454,5.822824387
AFF4,4.485495773,5.210148578,4.422104462,6.553214102,5.775855005,3.516426759,6.447234854,5.192780188,7.125953297,7.079377215,4.093306467,7.798345004,4.987814848,5.865748808,6.913780043,6.609625543,6.441020587,6.378667428,7.556971243,6.534110335,5.355112928,6.842703448,7.182008847,5.247369102,7.900112177,3.482286168,5.369538693,6.247234517,7.336548454,8.159388885,5.006205117,6.407851807,7.039062468,9.672306437,3.755839333,6.543024996,7.149481997,7.194164201,4.757997582,7.169002539,6.796983195,7.936792686,5.070927512,5.403224133,0,9.14596745,3.620124439,5.385627092,6.433810248,7.461066489,8.414959163,0,7.119749606,7.884036996,7.611306181,6.57613196,7.424928358,7.046464568,7.175525758,7.754538237,8.43480502,7.293604138,7.329318035,6.326289204,6.51055863,5.210094959,7.882412631,4.372314415,8.098024835,7.758425768,5.232678925,7.517078777,7.338305098,7.266755075,6.539202322,7.909782431,6.043227252,7.111485704,6.975058154,4.00911173,5.922197329,5.918695872,6.66714161,8.28520473,6.568705298,5.549872662,7.061587446,6.749094129,5.355983631,7.761574159,7.885970785,5.989432537,5.017224336,4.62597799,7.690127782,7.868044541,5.215568538,7.836076612,6.195478878,7.690210737,4.990856355,7.533602462,7.301142393,6.308169434,6.700334093,5.035675346,6.753172202,6.509011925,5.39582962,5.8862721,0,4.687455797,3.525811256,5.203458357,5.929732601,5.580653776,5.828829372,5.009430859,5.065426866,5.803320417,6.777882112,6.787190313,4.984932053,6.101542935,7.128691221,4.192195246,7.520509366,3.627012659,4.485399786,6.176945076,6.8959078,6.608428025,5.596110783,5.779449417,6.254184839,7.52166903,6.811753694,6.518366451,3.727696111,6.397082866,7.484157826,6.882433162,5.774434397,5.318416989,7.294617849,6.539042155,6.744616312,4.737981447,7.001209092,5.451673946,4.890088324,5.825247811,6.779648113,5.520403931,4.841323016,6.152248397,5.080569331,6.487666949,6.935665029,6.629705289,6.379011673,6.446444114,7.545815192,5.22306422,7.488330645,5.028370388,3.674702108,4.086621098,6.523282259,5.982808014,6.083514582,5.463747993
AGL,5.112460768,7.63414922,0,0,6.873530004,1.454462332,5.463821166,6.463411464,5.853869441,7.11723403,7.825650142,0,6.023832761,8.23695962,0,7.200719706,7.66787156,4.939535877,6.455370105,5.819861763,7.606955312,7.672537115,5.995583088,5.315948707,8.05151119,0.885941648,7.793243994,6.021676381,8.487042208,9.376552926,7.33710279,7.698889748,7.169352775,5.995596844,5.535218004,8.123586905,6.494856768,7.874579216,4.003027928,8.132776081,1.92212754,2.963081022,5.332789825,7.862616223,9.434141988,8.719603263,1.811568029,8.525002813,3.360931165,6.961973724,8.162197081,1.493636171,5.177771644,5.697588021,4.079432183,5.870533045,6.331083245,5.188109746,6.659381012,6.319145794,8.721017239,3.510028566,9.922145501,7.81604522,7.672542991,7.693193269,8.221311243,5.877574723,6.674173475,6.278424965,3.940460604,8.7241009,6.655975866,8.824025766,7.70053495,6.984420524,6.433895943,4.377227255,6.377056629,8.760036215,4.478971301,7.43353215,7.561910239,6.884983864,4.998928017,3.111215178,7.245762316,2.937428888,9.191086684,8.819271749,6.038459875,1.256501966,7.564576529,8.413500477,8.196515665,8.556899218,7.693568888,7.231120034,4.840186957,7.337723989,8.204603169,4.717751912,6.215928225,8.131703856,8.17093466,6.146846607,5.443135096,6.420126489,6.944453032,7.528470957,3.269376866,6.008417981,3.753824647,7.098096293,8.265073148,7.872199781,6.45847472,7.45517834,7.230993037,7.924010945,8.202928547,6.64782894,6.67014591,6.846058706,6.173154912,6.920008535,8.810443661,6.875139073,6.987319539,6.203793783,8.00719722,5.376652455,3.636300453,4.419868835,4.933226769,6.06792985,7.641108955,5.347475872,7.665982538,4.492831011,7.696643996,6.885751537,5.950896182,7.23419029,3.832472942,6.173810641,6.750832303,7.825223897,6.704967011,6.965965587,5.752137596,6.637264428,5.500598982,6.244741755,7.005727248,7.609264238,4.463742808,7.430776407,7.681345897,6.583342399,5.162895851,6.053752445,9.573135818,7.445064836,5.512235202,2.650927213,5.522894969,7.678590095,6.954039259,7.255589742,5.987700868,7.199149287
