X,H9_96h_001,H9_96h_002,H9_96h_003,H9_96h_004,H9_96h_005,H9_96h_006,H9_96h_007,H9_96h_008,H9_96h_009,H9_96h_010,H9_96h_011,H9_96h_012,H9_96h_013,H9_96h_014,H9_96h_015,H9_96h_016,H9_96h_017,H9_96h_018,H9_96h_019,H9_96h_020,H9_96h_021,H9_96h_022,H9_96h_023,H9_96h_024,H9_96h_025,H9_96h_026,H9_96h_027,H9_96h_028,H9_96h_029,H9_96h_030,H9_96h_031,H9_96h_032,H9_96h_033,H9_96h_034,H9_96h_035,H9_96h_036,H9_96h_037,H9_96h_038,H9_96h_039,H9_96h_040,H9_96h_041,H9_96h_042,H9_96h_043,H9_96h_044,H9_96h_045,H9_96h_046,H9_96h_047,H9_96h_048,H9_96h_049,H9_96h_050,H9_96h_051,H9_96h_052,H9_96h_053,H9_96h_054,H9_96h_055,H9_96h_056,H9_96h_057,H9_96h_058,H9_96h_059,H9_96h_060,H9_96h_061,H9_96h_062,H9_96h_063,H9_96h_064,H9_96h_065,H9_96h_066,H9_96h_067,H9_96h_068,H9_96h_069,H9_96h_070,H9_96h_071,H9_96h_072,H9_96h_073,H9_96h_074,H9_96h_075,H9_96h_077,H9_96h_078,H9_96h_079,H9_96h_080,H9_96h_081,H9_96h_082,H9_96h_083,H9_96h_084,H9_96h_085,H9_96h_086,H9_96h_087,H9_96h_088,H9_96h_089,H9_96h_090,H9_96h_091,H9_96h_092,H9_96h_093,H9_96h_094,H9_96h_095,H9_96h_096,H9_96h_097,H9_96h_098,H9_96h_099,H9_96h_100,H9_96h_101,H9_96h_102,H9_96h_103,H9_96h_104,H9_96h_105,H9_96h_106,H9_96h_107,H9_96h_108,H9_96h_109,H9_96h_110,H9_96h_111,H9_96h_112,H9_96h_113,H9_96h_114,H9_96h_115,H9_96h_116,H9_96h_117,H9_96h_118,H9_96h_119,H9_96h_120,H9_96h_121,H9_96h_122,H9_96h_123,H9_96h_124,H9_96h_125,H9_96h_126,H9_96h_127,H9_96h_128,H9_96h_129,H9_96h_130,H9_96h_131,H9_96h_132,H9_96h_133,H9_96h_134,H9_96h_135,H9_96h_136,H9_96h_137,H9_96h_138,H9_96h_139,H9_96h_140,H9_96h_141,H9_96h_142,H9_96h_143,H9_96h_144,H9_96h_145,H9_96h_146,H9_96h_147,H9_96h_148,H9_96h_149,H9_96h_150,H9_96h_151,H9_96h_152,H9_96h_153,H9_96h_154,H9_96h_155,H9_96h_156,H9_96h_157,H9_96h_158,H9_96h_159,H9_96h_160,H9_96h_161,H9_96h_162,H9_96h_163,H9_96h_164,H9_96h_165,H9_96h_166,H9_96h_167,H9_96h_168,H9_96h_169,H9_96h_170,H9_96h_171,H9_96h_173,H9_96h_174,H9_96h_175,H9_96h_176,H9_96h_177,H9_96h_178,H9_96h_179,H9_96h_180,H9_96h_182,H9_96h_183,H9_96h_184,H9_96h_185,H9_96h_186,H9_96h_187,H9_96h_188,H9_96h_189,H9_96h_190,H9_96h_192
ABCA1,6.667192433,9.402684494,2.117942919,6.438304835,10.69006701,6.234872065,11.03486866,8.725034515,4.817263482,9.433199663,9.6900725,1.996590908,10.58984375,8.890893362,11.19826866,9.225526675,7.256172426,9.145514398,8.554986361,9.818826623,1.424818418,8.73404921,9.587339195,4.733515276,7.418374267,9.203409365,2.270129164,9.490401299,10.43128535,7.368394092,9.940104288,9.535675857,5.152270956,1.1943796,2.537195445,9.995309631,4.666956708,9.176739526,10.51620843,7.810142361,10.57315007,7.316779577,10.44565766,10.60253753,7.898355674,4.034502162,1.202907936,0,7.492732095,4.758401574,7.55599334,6.919423806,0,9.381779603,10.01494564,10.46514751,7.620472388,0,8.256172353,10.04308598,10.94107179,6.372149505,9.119433816,0.78264932,8.916814786,0.737130602,0.626431483,5.524206178,9.721983804,0.862626069,8.045637053,8.303478228,9.031145819,9.414726519,9.544487349,2.727204742,9.160356084,6.817898977,12.2228271,9.740550048,7.906036022,7.388624068,4.890610699,5.224989806,6.578239534,10.11862574,8.196634399,9.245818673,7.173037526,8.304685427,8.591944998,10.13881929,9.586366573,9.798076556,8.476816002,9.297701012,9.587149838,9.651263707,9.100622767,6.605024492,8.496170766,7.997887018,2.372395683,7.446654527,9.644263332,10.36467158,9.996766547,7.845690728,8.6323118,11.0416431,11.45045758,9.322736592,10.41997333,3.69443721,7.71194171,1.863621945,9.610885175,10.49080055,0,10.21325051,9.286149997,9.416035943,2.065563595,9.628410494,9.244701722,10.58051187,9.106739094,0,0,9.978423906,8.336773096,10.29426195,9.34992192,9.912613954,9.186919435,9.28133652,10.12781906,8.764378579,0,10.69181231,8.133826402,10.80186023,8.820559646,6.396758542,9.185180125,9.879273958,10.10543981,9.094261259,8.801762744,8.220623163,8.641878691,5.507601031,6.231062187,10.03134894,8.475010739,10.43426759,9.962238833,10.88130716,11.11901974,7.8997202,11.73025032,11.73103798,10.58904741,8.018451014,8.980971417,10.46274425,9.130136822,10.78350745,0.82990907,9.788475288,9.995625411,11.37097991,10.92471188,10.49900823,10.28498817,10.65438418,9.555268524,0,11.52191199,1.279042907,10.34149223,10.88431419,10.13024076,9.301810383,7.498698109,7.336765291,10.33959993,10.25472124
ABLIM1,0,0,0.875926633,0,8.342467736,8.530283338,3.67560196,3.6284395,2.137215302,0,0,3.438151715,4.596092865,6.85776905,10.42189832,6.162859014,6.01346897,0.923765074,6.66922673,0,3.855835908,0,0,4.117483229,0.762965149,5.309107478,3.30457787,1.876510612,2.134261217,0,1.170288536,4.631819692,0,0,0,0,0,0,0,0,0.914667177,8.918608739,7.620053705,0,0,0,0,1.35446878,0,8.112721438,0,0.978578919,0,6.623895501,1.191098116,0,5.617857827,0,0,0,0,3.704252032,0,0,7.260147669,1.874769117,0,4.483214884,1.045528998,0,8.990262668,0,2.905869962,4.272125428,0.736259286,0,7.078963,0,2.278018337,0,3.942283388,3.439748307,0,0,2.54816697,0,4.482442364,0,4.844868386,4.305630967,4.888864143,2.38195477,2.336664067,3.303623752,7.500899233,2.781035551,0,7.345241836,5.327032741,1.707933129,4.866386118,0,3.642644635,2.782324363,0,5.99899574,5.796726237,0.810150809,0,0,0,6.710528303,0,10.72346055,2.973374267,5.029913022,4.100730027,4.103474047,0,1.616111212,5.163350748,5.241907132,0,0,7.124443514,6.665594398,0,0,0,0,0,0,2.457693412,0,2.147054325,0,0,8.196334535,0,0,8.254819286,0,0,0,6.937025683,0,0,0,6.273453361,2.97073714,1.966581619,0,0.981919647,0.881103069,0.813682126,6.070266513,0,5.883155365,0,0.829571362,0,1.03402876,0,9.281286962,7.723604178,0,0.954910926,0,0,1.574174914,0,7.287651853,3.331208589,0,0,5.963021593,0,0,0,1.946191325,0,0,0,0,0,0.857092243,1.510371521,5.333004508
ACOX3,8.604853626,5.640192416,5.788871471,7.238323763,8.20632195,8.75312205,7.050089912,4.203953488,6.159826354,6.707902078,6.90210603,6.650133984,4.152976116,6.587733559,10.59405879,7.448484083,1.540031741,8.087091341,7.225669301,6.942792883,9.343520463,6.600340012,8.686846308,4.117483229,6.875224612,8.061269027,6.677044091,8.568006791,3.587112717,5.165927612,6.478405222,6.421232661,7.025771508,8.926123093,4.869229671,5.473223748,0,3.602065501,2.093950922,3.698765569,8.086672556,5.096794716,6.251163255,9.118173813,7.624764377,7.435836058,2.908843718,5.838068482,9.173484527,5.95931671,5.641072391,2.276096774,4.622224936,6.719624119,7.780320232,2.827700009,6.730153774,4.874839888,0.873879122,0.74146997,0,6.112594245,7.553619758,6.376997461,7.820996444,2.322258091,0.626431483,8.465984412,0,4.720754519,7.075018926,0.712649341,5.9852518,3.300255976,6.106783653,4.918048125,7.360381592,3.888889247,2.95190435,7.11453277,6.724025358,9.096275585,6.376011229,8.042230554,3.84141901,8.361659649,6.601275967,8.606985755,6.228183208,7.818487538,6.67574244,0.881652902,8.866979853,7.914433681,4.507861558,8.199370961,7.564410931,8.126878387,7.511559221,6.920614873,6.990389139,5.967117256,8.171219676,0,8.770735671,7.84365723,7.491362893,6.870645671,7.146804431,7.282394311,8.404685638,8.299132841,5.758346837,7.540425472,7.757895152,7.655203802,7.459716539,6.838201477,3.534826546,4.503825756,5.116579474,9.109071504,7.46130434,7.904004187,7.628144175,5.75447762,9.10999999,7.24754564,9.417755573,10.14789502,5.104762464,9.495014168,8.471079608,8.808688369,9.550196823,8.697318637,8.420281764,6.442556139,9.273338206,6.781625341,7.989956495,7.036493248,7.819804722,6.695703386,0,8.819295237,8.714738803,5.409754995,10.70969008,4.519821583,7.517750683,3.073074543,0.981919647,9.002145419,6.853796413,6.530889442,8.590344352,0,8.161856124,9.393413013,8.971688091,8.105942394,3.289774389,3.111342899,7.284863798,8.647162898,8.845198077,6.577943397,7.575372018,7.723082566,6.009407867,7.170177963,9.459694022,7.72027852,0,3.980981758,9.42499196,7.951325946,9.110071412,7.439957965,6.668005501,6.701934491,7.505780124,7.628418855,6.784744142,8.554048914,3.08538682,8.404647647
ACTC1,3.295264603,8.415651063,7.707842227,4.486462306,4.107101135,3.93599762,3.694318733,12.00078827,3.113787195,2.77328166,3.684848918,2.803458158,3.506105269,7.342551,9.193996624,3.498616707,8.790799816,3.441968979,3.368899022,2.69693145,4.969312939,3.631481334,12.44732139,4.880085091,6.427951793,4.383714189,3.423742562,3.017608118,3.77746807,2.971444914,12.18519443,10.73797312,8.2688272,4.345322568,3.233894423,3.521217964,12.83290713,12.31612856,11.24235292,9.781457862,5.528003649,7.375472595,12.01863721,4.32241959,4.610888545,5.921855377,5.657932608,7.119318384,5.687644615,7.394375567,5.614650705,6.052063309,9.742710899,7.255366988,7.82448102,12.806868,13.53745626,7.156885649,13.4211039,12.39049902,9.541335042,8.389237594,8.916466885,8.518586104,6.609040602,4.856720016,13.47731902,4.578443812,5.666451122,5.399017064,4.787563878,5.297508776,3.136459685,9.798927426,9.002663506,11.33426816,4.953978466,9.16454367,10.59896294,4.94850277,9.063915397,7.635678881,5.286183277,5.86297092,5.176106249,4.708504335,5.959103125,5.703903626,6.961895657,5.539831219,4.465216032,11.37858108,6.98449624,4.676602956,13.04756035,10.03396154,9.101723628,4.63026996,6.265124309,7.606013144,5.959722119,12.74585123,4.229319581,12.69421674,4.659955163,7.896257211,6.178067674,9.690532763,3.337819806,4.562876103,6.809071595,7.02204292,8.621115866,9.410049908,9.91354496,3.15665623,8.592742844,4.284612531,6.859847359,7.496764412,5.414377636,3.624793985,5.171756133,6.456902337,9.300890777,12.77296608,3.195581554,4.42419126,4.322371087,3.869945976,10.09730944,7.391886305,6.65789216,3.902445564,4.181589644,4.875309194,3.722468968,5.103168823,10.43818903,7.941815407,12.85910539,13.10803117,5.557045395,5.432533356,5.789173063,4.871201881,6.65157303,5.562389253,6.525296897,13.05860139,4.863672122,12.87278632,12.56329155,4.347737103,4.217458801,10.00471815,3.081469212,9.991509521,9.058725896,2.288590784,3.181399204,3.059033742,10.82448971,8.991610466,3.454247461,2.835740199,5.010419435,2.524991797,6.235416613,12.4870122,3.932553494,7.330884781,5.229343724,2.754916827,8.330181217,3.596082246,3.429937759,3.800324529,3.440384491,3.998302265,7.891056893,1.363095152,10.63299004,4.058335567,1.816127236,6.388209266,4.140738198,4.339446196
ADAMTS3,3.640784901,1.92324557,0,0,1.058108189,1.947958882,0,0,6.049023799,0,1.429923428,0,0,0,0,1.30558418,0,0.923765074,3.813864284,1.245528041,0,1.393748696,0,3.710425174,7.263386427,1.073254437,1.951493563,0,0.885598291,0.752167434,0.700691405,6.196303398,1.08059512,1.838721082,0,1.320388186,0,0,0,0,0.914667177,1.389852506,5.296254785,0,0,0,0.723354135,0,7.461791321,0,0,1.546871557,0,0.808153465,0,0,0,1.975195236,0,0,7.324946984,0.849833723,0,0,0,1.22262814,1.395734857,3.641132558,0,1.398728123,1.686258307,1.544204695,8.324356286,0.851701111,0.736259286,5.986434317,8.323154826,0,0,1.99667106,0,6.472030973,4.288867014,7.760244921,0,0,0,0,2.491323547,2.472903316,6.265252832,0.881652902,4.104783726,4.280248192,6.623528749,0,1.107767129,0,0,1.707933129,1.153648773,0,0,0,0,3.717381926,7.692536596,7.980904069,4.54044588,5.672042334,0,4.430222436,3.959405284,0,6.140675897,3.82741335,0,3.355172591,0.667520964,0,0,0,3.780719417,2.978267685,2.258598184,3.032869732,7.026997448,5.299376662,0,2.05160565,0,0,0,0,0,0,0,5.679853571,0,0,7.650842765,0,0,0,0,0,0,0,8.553550598,4.81948511,0,3.508670604,0,0,0,0,8.466498999,0,0,0,7.605945117,0,5.964794817,0,7.09914049,0,0,0,0,2.64932513,0,0,4.795338577,0,0,0,0,0,0,0,0,0,0,7.320479051,0,5.349004458,0,0
AEBP1,3.420654384,2.375492704,0.875926633,0,6.771092374,0,0.986599319,5.776220937,5.163538616,3.757548109,0,0,1.377971014,2.826154381,0,6.492593449,3.906127314,4.310213116,3.279303884,1.245528041,4.619841349,1.393748696,5.024351009,6.455583872,0.762965149,5.309107478,0.967844256,4.540119707,6.796740284,0,1.523988704,0,4.318565681,0,4.610133154,0,0,0.893099627,0,0,0.914667177,0,4.382418076,2.263443997,0,5.302616386,0,0,3.745618533,6.09217455,0,5.467316782,0,0,0,3.144389721,3.314717714,0,4.831637278,1.228822947,0,0,1.182060142,4.498800497,6.368066865,0,5.642030399,0,2.777694968,3.730659215,4.439841848,2.272878709,0,0,0,0,0.593014507,0.634648989,5.531032889,3.455395551,1.244164351,0.922608997,4.369532198,0,5.223685118,0,0,1.481934638,4.591839668,1.096194173,1.038730625,1.818627722,3.924067995,1.241973955,3.389736018,0,5.629792936,0,2.522170871,0,3.972426388,5.573940293,0,3.673465623,0,4.782244387,3.575451562,3.706454909,3.475482963,2.2547643,5.073621386,4.905427245,5.550026581,4.947902724,0,0,0,4.90157057,2.654222842,4.436612423,2.810779574,4.170236541,8.152547237,0,2.258598184,4.023855599,2.501746387,4.732616642,1.180832846,0,5.666406701,0,0,0,1.099682367,0,0,0,0,6.19544936,2.910884217,5.86284052,5.813749403,0.854665644,0,4.482702902,0,0,0,4.966369793,5.044066376,0.824749528,1.560804657,0,0.819950363,1.139818081,4.075756428,5.620645769,2.200818202,0,1.071219972,0,5.213109327,0,3.300682624,0,4.497266102,4.631017414,0,1.213150866,0,0,6.787960626,0.969643197,0,0,0,0,0,2.191230437,4.943387994,1.747837188,4.526206567,0.803826125,0,0,0,0
AES,6.641660261,5.678851363,5.47345232,6.873293904,6.742215576,6.849640429,6.659837382,6.01471146,2.79669365,6.562538558,7.059188715,5.943893736,5.929873152,1.715642871,7.951863838,3.498616707,5.895115399,5.01779229,3.813864284,5.195638295,0,5.63888955,6.417150543,4.252802859,4.406827077,6.46319403,3.263521548,5.08546401,4.296139766,5.852964489,3.755493342,4.784593689,1.08059512,6.337796143,5.010326393,4.406944431,4.805927773,6.612637061,6.392945296,3.600371719,6.869779767,5.320678778,4.053237796,6.194282036,4.031579705,4.194611891,5.962960584,5.857097504,5.153018375,4.794508884,7.341637138,0.971526491,5.421853986,5.548717223,4.701752056,6.295533791,5.335192216,7.136588544,2.114478621,0,2.452217392,5.990293382,4.334019647,3.269548573,6.072531597,6.583365546,4.284456503,3.344362827,3.874564451,5.943863696,1.984630488,6.243000057,6.071374388,4.906831766,4.141291578,5.921011859,5.893733157,2.823374291,3.534536096,6.43888592,4.680247556,5.774323415,4.556186484,4.44627921,5.176106249,3.808016391,2.352329896,4.373337483,4.284791183,3.816174371,6.214124047,5.512596898,5.799423882,3.938737695,2.717472149,4.4300908,2.760346999,6.321361373,5.970977938,5.305157667,4.447638399,5.45627728,5.346638699,5.900912386,4.863656283,3.717381926,4.504053685,5.706830027,5.087513933,5.523475626,3.422356682,6.01226,4.262664784,0,3.24523916,5.029913022,4.100730027,4.659196441,4.309388828,3.627620751,4.841798393,5.777305121,0,4.581028518,0.960745756,5.976069162,5.121507357,4.031381185,5.858439261,1.03460805,2.785740865,3.718704079,5.687914399,5.492119572,3.879401952,2.840591044,5.449564486,4.553741355,1.735700514,0,5.204154223,4.4365617,4.069131589,4.65822224,6.149466749,4.675895453,4.46308362,4.937839581,4.526251141,3.098566316,4.288798368,0,4.213475669,5.589159632,5.321171699,4.64792733,4.366181512,0.92039246,6.673146038,6.137028624,5.9696508,5.558948184,4.358270085,4.833432489,6.729812036,2.172503982,3.295946831,2.883542561,5.072880957,4.589320118,0,3.281112434,3.843937891,5.194642615,0,3.839094776,6.097275473,4.292021005,3.821809164,4.288958759,4.622918007,4.422282799,4.778767885,3.202099918,2.595191696,4.837289769,5.130047205,3.927696475
AFF1,7.221798396,7.658770199,8.461943855,9.965312293,2.680548661,7.356866721,3.297716521,2.011222314,7.290109077,8.492679777,6.169258941,6.753718038,9.322276643,7.163862135,8.713992525,4.28002178,0.710175398,8.359427991,9.207958629,4.335908023,8.327695552,8.589145134,2.34206677,4.231112751,6.857991487,5.631793542,9.165591057,8.394027226,9.09041594,9.901070088,9.439925851,8.725841005,7.013125662,10.35555207,2.808538256,6.771287589,1.549222597,5.141043532,8.68830219,9.187724503,8.906462425,5.929772035,8.409293639,7.385228953,8.845510507,9.539293959,7.918123423,2.970069357,8.244289253,8.11942705,6.946503267,7.092640002,7.465831938,9.579270087,10.0130029,2.421351101,5.443381018,2.295454417,5.548193243,7.685960673,6.170300734,9.324698037,6.568433643,6.414027013,6.342389187,0,1.395734857,5.661034288,6.848277222,3.816960321,4.748413594,6.601629358,9.637688617,1.77141346,3.905242005,5.164087444,6.531555259,6.418555541,6.250304642,6.051993288,3.6593436,7.609786038,6.291583328,7.954220299,6.666966925,5.906404351,8.265211407,8.549593217,7.915237974,6.932938941,8.864182704,0,8.371487489,8.048878098,8.122798204,6.975113425,7.746157571,8.512108819,8.819296302,8.116680776,9.466964928,0.950612889,8.83959971,7.058435187,6.155542067,6.250414534,8.960356382,8.101202665,9.709369011,8.565341164,3.687278917,6.170182772,1.296079407,8.921287501,7.263801114,6.417083697,7.54789145,6.314327633,3.534826546,7.439893221,4.647691254,7.984272214,9.701374737,8.490059028,5.987703722,6.168833793,7.712188865,8.446980155,8.539158401,8.66311692,1.856150805,6.563489609,5.020308478,9.455809872,7.236164355,5.463675278,8.753183816,8.616638563,7.764994611,8.271822585,5.160982562,4.634101799,7.742422797,8.3159532,5.274899571,4.337851801,4.58315324,8.379750078,7.987313613,0.812758712,4.814814688,6.8846865,7.471606941,5.821650936,6.045581592,6.930205119,4.548083975,0,0,9.352697992,3.224529257,8.568013428,2.511457836,0,6.429916941,8.796882386,6.404950472,3.515932538,7.353259981,5.71201625,9.05660636,8.450560004,5.76912396,8.128673114,7.912451209,8.310685267,8.947699367,8.749334792,5.214811285,0.776853276,3.410208827,4.665145532,7.434037357,8.680870901,6.773705012,4.106656156,6.682093806,2.777035746
AFF4,7.897309942,7.362571286,5.89392157,7.557217055,5.658823901,4.886688057,6.892160843,7.971985984,4.475377193,9.170746316,8.761190007,4.639491106,7.045706421,6.269550409,9.449151965,7.93855106,2.267840792,6.834511471,6.963363299,8.981703076,6.413464668,6.864928864,7.133473646,5.798629538,4.816702994,8.708929708,6.411436234,5.360289933,8.543123,5.463107329,9.122850204,6.196865007,5.19680633,9.260033842,4.202939331,7.454335466,4.30675169,4.739570469,6.403012255,7.025316294,8.271587576,6.868725038,4.804671487,9.72911756,6.834602646,2.538169789,7.705107851,6.222535589,1.871861423,3.662323593,1.491209169,6.763177868,7.157526115,6.509636764,7.652409711,6.070866122,2.947219086,6.596526793,3.661769243,1.592462,6.83860166,7.80780311,5.910453232,9.100647601,7.326940009,8.369412334,5.52117478,3.344362827,2.294264555,5.377310113,7.782015071,6.75915878,8.279617715,5.01705221,6.757583303,9.069524427,2.34117794,6.221870631,5.194305542,7.63943813,5.193343586,4.02007385,5.468455312,6.678095755,6.596426933,6.690936275,7.772437171,7.435879654,7.969464388,5.977635604,6.83064652,7.618066299,5.444236147,7.60123989,1.92166362,3.90202114,6.355056583,6.542425433,4.992722185,7.288029328,5.533440829,5.072289072,6.419615612,7.358948785,7.988847954,7.165523221,6.290721891,7.75802922,6.994787416,6.308897545,8.475624858,5.226724613,6.568132773,6.501362424,5.994786141,4.775683506,5.462231659,6.24150125,7.000920823,6.730006692,5.874685714,5.619931798,7.172660347,7.29421258,0.960745756,7.78862602,5.676234677,7.386393775,4.851782772,2.05160565,6.178037675,7.190335141,4.157865528,2.07728417,7.439659129,8.307199488,0,0,5.801279583,5.561176667,6.74827655,3.160895424,5.555835594,6.528920947,7.698674601,8.469305284,4.98306479,0,8.130365759,3.098566316,2.960935847,6.260018509,3.426387834,7.566506078,3.348252682,7.64449316,6.628991947,5.904811264,3.70080864,0,9.02755237,4.76518281,6.758971138,2.83055815,7.571755149,4.752256762,7.360118692,7.455894703,5.792598553,6.035696096,7.969882469,5.561374258,7.974121081,3.849697764,7.09666416,5.130027654,7.334044579,6.354463467,8.155695977,0,7.875111928,4.984639935,3.295264584,3.202099918,4.51422773,0,7.46466192,4.658442774
AGL,10.8288375,8.578224878,8.012554271,10.58503639,10.47582676,10.20038753,10.18133033,9.418951048,8.815491405,8.947335471,4.414939872,9.405099651,9.76644616,10.74485734,11.20635532,11.38229478,7.333358943,10.73134538,9.050869193,9.578680124,7.084459474,9.975437768,9.831055303,9.185181086,9.792202884,9.632626988,9.129825821,10.75995761,11.17653513,10.0484242,3.088040176,9.150662456,10.27851937,7.773141955,9.620498218,10.36020575,6.732275573,7.973315269,2.093950922,9.332372945,10.09794977,10.69495048,7.281663363,8.500513252,9.850775736,9.986745566,6.441850565,10.22184837,9.917907456,9.231702158,11.41763178,5.628718978,5.346778384,9.399534452,9.786920519,1.85361036,7.790494134,1.562934976,6.803919759,2.124127033,9.220161412,10.29612573,7.59908599,8.135410018,10.56020694,12.0318494,8.392407928,8.286920493,9.736040946,10.15189127,9.710992272,3.403562587,10.74347562,8.210906582,7.673022993,2.128632756,8.853898907,8.784103897,10.24734426,9.563502631,6.576644594,10.26186035,9.541205392,9.046602406,9.427901631,9.705942972,10.28095108,10.77193426,8.383062149,9.493582892,9.928991213,3.579217019,9.911800234,9.365706341,7.278435007,9.139851979,7.564410931,10.33674724,9.496170051,9.726323036,9.988415495,6.343614688,9.742218522,3.972600407,11.08552933,7.569344405,9.859801518,10.44996968,9.913960699,9.22856477,6.330209338,10.4431642,2.91652047,12.28092127,8.098897643,9.217078119,7.739676374,8.918963762,6.20856258,1.023424355,6.756171,10.07970322,10.57956849,9.855678253,9.448020494,9.639443845,9.742797928,9.126145775,9.269663932,10.07040974,0.755191929,9.038901159,7.853531587,8.716794424,10.59159416,10.17128574,9.057943472,9.377564027,6.217385202,7.17378041,5.872836437,6.147832735,3.351646245,10.23333307,9.901621552,9.616235112,11.15409056,7.234395326,10.22012045,7.870504518,5.886749839,1.4594805,2.554701457,9.811321567,9.444391341,8.671696514,9.762859891,5.721715646,8.944403638,9.783937199,10.612468,9.850196946,6.975737008,6.186531113,10.40681163,10.29865082,10.20671103,6.478235205,8.983843682,9.254203397,9.456252899,9.886115419,10.15708541,8.279122505,2.108994871,10.42439027,10.71732804,9.664722796,10.49704604,9.044926695,7.988873809,9.700744046,9.187139444,9.061197695,8.300747357,7.441354971,9.103559733,9.298881185
