X,H9_00hb4s_001,H9_00hb4s_002,H9_00hb4s_003,H9_00hb4s_004,H9_00hb4s_005,H9_00hb4s_006,H9_00hb4s_007,H9_00hb4s_008,H9_00hb4s_009,H9_00hb4s_010,H9_00hb4s_011,H9_00hb4s_012,H9_00hb4s_013,H9_00hb4s_015,H9_00hb4s_016,H9_00hb4s_017,H9_00hb4s_018,H9_00hb4s_019,H9_00hb4s_020,H9_00hb4s_021,H9_00hb4s_022,H9_00hb4s_023,H9_00hb4s_024,H9_00hb4s_025,H9_00hb4s_026,H9_00hb4s_027,H9_00hb4s_028,H9_00hb4s_029,H9_00hb4s_030,H9_00hb4s_031,H9_00hb4s_032,H9_00hb4s_033,H9_00hb4s_034,H9_00hb4s_035,H9_00hb4s_036,H9_00hb4s_037,H9_00hb4s_038,H9_00hb4s_039,H9_00hb4s_040,H9_00hb4s_041,H9_00hb4s_043,H9_00hb4s_044,H9_00hb4s_045,H9_00hb4s_046,H9_00hb4s_047,H9_00hb4s_048,H9_00hb4s_050,H9_00hb4s_051,H9_00hb4s_052,H9_00hb4s_053,H9_00hb4s_054,H9_00hb4s_055,H9_00hb4s_056,H9_00hb4s_057,H9_00hb4s_058,H9_00hb4s_059,H9_00hb4s_060,H9_00hb4s_061,H9_00hb4s_062,H9_00hb4s_063,H9_00hb4s_064,H9_00hb4s_065,H9_00hb4s_066,H9_00hb4s_067,H9_00hb4s_068,H9_00hb4s_069,H9_00hb4s_070,H9_00hb4s_071,H9_00hb4s_072,H9_00hb4s_073,H9_00hb4s_074,H9_00hb4s_075,H9_00hb4s_076,H9_00hb4s_077,H9_00hb4s_078,H9_00hb4s_079,H9_00hb4s_080,H9_00hb4s_081,H9_00hb4s_082,H9_00hb4s_083,H9_00hb4s_084,H9_00hb4s_085,H9_00hb4s_086,H9_00hb4s_087,H9_00hb4s_088,H9_00hb4s_089,H9_00hb4s_090,H9_00hb4s_091,H9_00hb4s_092,H9_00hb4s_094,H9_00hb4s_095,H9_00hb4s_096
ABCA1,6.806841999,0,4.557093465,6.599059924,2.983012928,2.126014514,0,7.66239034,6.989348716,5.225350381,6.696549954,7.21166043,9.654711509,7.773584789,7.521191628,8.301902687,5.300908146,6.183465249,6.545862735,7.839578446,4.404882595,1.446131746,8.330136101,0,0,7.040673999,9.056084646,8.553702838,8.359254704,6.537386482,7.31845912,8.07516379,0,5.955668814,8.867954638,0,6.235329664,8.739406992,0,6.788878627,2.822441057,8.171038559,8.489544542,4.619499678,0,8.202272647,6.874721223,0,0,0,0,0,6.846463824,5.999160955,1.190186617,9.511129698,7.885929919,7.256443361,6.466057592,7.088309376,7.239079071,3.95731638,5.988812667,0.748728258,2.078482391,6.687438333,1.045373105,7.656273379,7.96176547,0,0,0.81014476,6.747518041,0,8.429325191,9.655841236,8.70057298,0,8.843616182,0,1.434535285,6.663270807,0,8.125052974,8.56862724,0,2.258047436,9.101548195,6.158015654,9.311040812,4.910872502,2.863844484
ABLIM1,8.299260504,5.858701112,6.94803846,4.104884463,6.341874239,6.858051112,5.75668215,7.232560905,7.544327039,6.081489299,7.338682948,6.108556188,8.186322174,5.273057066,6.605031235,2.340407358,3.817440527,6.980220913,5.957105601,4.883006595,8.081919942,4.748003514,5.758356735,1.721702574,9.012501041,5.382749785,5.503357911,5.764196805,6.956328636,6.698674835,7.048657434,8.167565926,2.230522649,8.319030536,5.731967941,7.409676702,7.748603446,3.932859169,3.862109047,1.976377892,7.351718265,7.445664216,6.411706989,2.725662051,5.828544382,9.201275403,7.057113643,7.327331671,8.727270525,6.347317701,6.915435733,7.828652768,6.577255945,5.10153417,0,0.869564339,8.068800837,6.817054345,7.642893845,6.508638075,6.005441797,8.941947843,7.909223817,7.636558671,7.434017387,6.234972842,3.540895265,5.859876276,4.125478915,5.312365889,6.615262156,6.210984436,3.303168593,7.408148971,6.548027965,7.624049542,6.936494619,6.483644882,2.732346493,8.618980616,5.36897351,4.477946673,6.541763531,8.345444058,1.612512236,7.491794577,0,6.601731061,6.938490418,4.442361459,4.045345846,5.57735575
ACTC1,0,0,3.005892161,0,0.837801662,3.65104958,3.862905368,0,0,4.116038485,2.526532891,0,0.645849687,4.956246525,5.040379703,0,0,0.803847361,5.865635747,0,0,0,0.795661158,0,0,0,0,0,0,0,1.771778733,0,7.774057882,0,0,0,1.494762075,2.66724884,0,1.563984253,0,5.650710644,1.674550215,0,0,6.245073302,1.704561193,0,0,0,1.543696797,0.766142432,6.883965262,3.269325175,6.862501377,0,0.880652751,5.918722905,0.862288099,5.880377813,4.358895065,0,0,0,0,0.993450839,1.045373105,5.996714431,3.083903154,3.962227521,0,2.959860332,0,4.852203632,0,0,0,0,0,0,1.940449223,4.609552629,0,0,0.765250513,4.88328957,0,1.277626726,0,0,0,3.833575946
AES,3.915538354,2.909913918,2.956474879,2.289706928,4.13547368,3.38159879,3.114109937,1.485362208,3.42921078,3.018702132,3.996915124,4.705311042,0,3.640652319,3.558247048,4.109178721,2.99742145,3.004157433,3.515510844,2.122280386,3.099107822,4.652297661,3.188507898,5.08943682,3.052459484,3.734282226,0,0,1.032782132,4.784118981,2.790458818,4.147592345,4.533453578,2.422681146,4.838358912,0.726846001,1.480940859,4.16579369,4.477649933,1.563984253,1.45170396,2.838904445,1.674550215,2.951879579,2.339211308,4.340818346,3.155027451,5.686681358,4.635395943,3.516545043,0.969161905,4.67146462,3.180481484,3.269325175,0,0.869564339,2.596278991,2.167342194,3.295825498,5.499227295,4.120686879,3.379075648,4.753624168,2.964049194,1.65493251,3.158261414,4.729748587,2.072630848,4.455580295,1.433786686,3.015819543,2.959860332,0,4.772676585,4.11153859,3.89061998,2.129171547,3.268001952,0,1.677639065,3.7536373,2.394193628,3.876598038,2.518226283,3.810749244,3.196068647,0,3.339388609,3.85971998,4.165051379,3.65914437,1.62908859
AFF1,6.398605416,4.360869946,2.461572195,7.191903394,2.544596476,6.353365395,0.668220873,6.153706228,5.252987127,4.421229866,4.852540952,1.214384602,4.524218397,6.485047047,1.909041313,1.392747401,6.736860924,4.505947283,1.316642429,6.618542016,3.099107822,1.681538792,6.496977242,4.375877552,5.532106069,4.247124632,7.799992766,8.013851245,3.380409947,7.039882089,4.400735498,6.421769378,1.509199147,6.16307554,1.341297637,3.945829887,4.432961521,3.654935198,7.09880295,3.556038092,2.414026345,5.428194761,6.360087074,2.951879579,3.479055672,7.2141227,6.402483777,3.713866171,4.781582607,4.967546189,5.983009411,5.742914788,2.487794479,5.425432216,0,8.106739709,6.353252433,6.961284154,6.128495854,5.277619901,5.350891188,3.493004465,5.893527877,0,5.145080422,5.379503203,7.154805012,7.590591028,3.611887487,5.280193891,5.307112908,5.685854774,5.189162078,5.739364994,7.778578515,6.981945687,6.643713135,2.677101153,2.732346493,1.975282926,6.960307577,4.841440208,5.625428811,2.823719113,7.50850624,7.196787383,2.258047436,4.268403833,6.608483256,3.379997951,4.7812426,1.922540544
AFF4,2.898788862,0,0,4.94579586,4.486051675,5.394178431,3.114109937,5.100039082,6.306987524,5.532642172,5.483306951,5.714143698,5.215054204,4.368259425,3.638487629,0.858292372,5.894947645,1.291638426,4.546145048,4.79859631,6.598016286,5.002061934,5.565596583,6.15512373,5.735787416,5.72995141,8.294341023,5.733077708,2.863105029,0,3.542666158,3.602766362,2.230522649,8.182963233,6.666231381,4.833432178,6.221023509,7.219910205,7.06084429,3.803546172,6.172881098,4.893470852,2.921549537,4.804789748,1.599379518,4.705246268,3.153196673,5.896937534,5.251944326,6.843504148,6.295979038,6.165356012,4.192548644,5.383380421,0,6.189007391,7.931382631,3.626303714,6.327437486,6.288883994,4.706063784,0,0.857393029,6.438392434,2.896708517,6.741881421,2.659810472,6.933181435,6.539040174,5.315143247,6.848179837,6.639431088,3.303168593,4.599124345,1.836524404,7.453369443,4.864046607,4.273915909,6.649015638,7.219833539,5.084222334,4.944756515,6.209361295,2.955199449,7.88019851,4.115129694,7.571159695,6.632869908,6.359396958,0,4.349691555,6.130823495
ALYREF,4.023642542,4.416952349,4.557093465,3.803766993,3.415339327,4.209337711,3.862905368,4.608712843,4.491746867,3.840031698,4.325344143,4.844424531,4.897128455,4.676148435,3.558247048,4.66600307,3.282757491,4.360982153,4.120968252,3.467468288,4.221934004,4.837753465,4.43325565,4.734302229,3.423354182,3.627810474,5.023585779,4.664212026,5.273745369,4.128650306,4.69252153,5.234027344,5.952686606,3.519541473,4.159605219,3.346281455,4.371863964,4.366295095,4.997839385,4.429299419,3.618181116,3.032199524,4.030811645,5.019789473,4.268372015,4.208261018,4.3365713,4.261705612,4.635395943,4.229214472,3.941627018,4.89381674,2.487794479,3.630252236,5.302124432,5.055600522,4.222292326,3.520529493,4.551681172,3.61549305,4.302927984,5.028209348,5.948039949,5.013207863,0,5.196681568,4.6091522,4.667217223,4.683042555,4.065169485,4.314832791,3.787389131,0,6.045768391,4.954227407,3.592806844,4.461750722,4.351466554,4.923902728,4.377912271,4.343415623,3.783508618,3.339928425,4.160958623,4.994638425,4.355395591,2.258047436,3.767984803,4.249696988,4.670606522,5.000981458,4.706978233
ANKRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APBB1,4.647932015,0,0,0,0,0,2.180998338,0,3.29201262,0,0,0,0,0,1.231112245,1.392747401,0.905515942,0,0,2.592331155,0,0,0,3.825246841,0,3.833433464,5.305005564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.558725159,0,0,0,0,0,0,0,0,3.52791269,0.766142432,0,1.15999369,0,0,0,0,4.090652919,0,0,0,0,3.868510914,1.052793069,0,0,1.547903038,2.244742944,0,0,0,0,4.599124345,0,0,0,0,0,0,0,0,0,1.23332248,0,0.703140185,0,0,0,0,0,0
APBB2,5.934913243,4.637396253,5.073356706,2.935678648,5.169981607,5.950177633,5.895360627,6.026236335,6.772831184,4.961946509,5.568703465,2.780154103,4.165547211,6.306857657,4.627745008,3.433422636,7.248802993,2.402246055,2.968667139,4.475501503,8.033147614,6.831444843,4.703569503,7.06441885,7.704950057,6.975522869,2.578777135,6.922336903,5.027664999,1.783429444,6.276170986,6.563875842,8.540744119,4.470068238,5.988032832,7.437364349,2.814900017,7.828218121,7.628232331,6.017004972,6.961431545,1.047416929,7.558410834,8.495897162,8.050500968,3.651949603,3.65939759,7.009458481,6.578443048,7.046693142,6.09881566,1.678184126,6.629569263,6.520845101,4.075202745,6.780556817,6.47489536,6.218177167,6.648480603,7.211605351,4.912020904,1.898084239,6.081654777,7.348990694,5.945208087,7.538381226,6.173425563,6.405874257,6.319655749,2.142694109,7.05312472,6.416197729,5.503159606,4.831552192,7.400033056,3.671131633,3.105047486,5.822934895,5.376993139,7.077778499,3.207362778,7.824081059,5.653947853,3.435039473,6.123319161,3.470718488,3.09876869,7.518243835,7.112708099,8.203237353,4.211077709,2.91010948
