X,H9_36h_001,H9_36h_002,H9_36h_003,H9_36h_004,H9_36h_005,H9_36h_006,H9_36h_007,H9_36h_008,H9_36h_009,H9_36h_010,H9_36h_011,H9_36h_012,H9_36h_013,H9_36h_014,H9_36h_015,H9_36h_016,H9_36h_017,H9_36h_018,H9_36h_019,H9_36h_020,H9_36h_022,H9_36h_023,H9_36h_024,H9_36h_025,H9_36h_026,H9_36h_027,H9_36h_028,H9_36h_029,H9_36h_030,H9_36h_031,H9_36h_033,H9_36h_034,H9_36h_035,H9_36h_036,H9_36h_037,H9_36h_038,H9_36h_040,H9_36h_041,H9_36h_042,H9_36h_043,H9_36h_044,H9_36h_045,H9_36h_046,H9_36h_047,H9_36h_048,H9_36h_049,H9_36h_050,H9_36h_051,H9_36h_052,H9_36h_053,H9_36h_054,H9_36h_055,H9_36h_056,H9_36h_057,H9_36h_058,H9_36h_059,H9_36h_060,H9_36h_061,H9_36h_062,H9_36h_063,H9_36h_064,H9_36h_065,H9_36h_066,H9_36h_067,H9_36h_068,H9_36h_070,H9_36h_071,H9_36h_072,H9_36h_073,H9_36h_074,H9_36h_075,H9_36h_076,H9_36h_077,H9_36h_078,H9_36h_079,H9_36h_080,H9_36h_081,H9_36h_082,H9_36h_083,H9_36h_084,H9_36h_085,H9_36h_086,H9_36h_087,H9_36h_088,H9_36h_089,H9_36h_090,H9_36h_091,H9_36h_092,H9_36h_093,H9_36h_094,H9_36h_095,H9_36h_096,H9_36h_097,H9_36h_098,H9_36h_099,H9_36h_100,H9_36h_101,H9_36h_102,H9_36h_103,H9_36h_104,H9_36h_105,H9_36h_106,H9_36h_107,H9_36h_108,H9_36h_109,H9_36h_110,H9_36h_111,H9_36h_112,H9_36h_113,H9_36h_114,H9_36h_115,H9_36h_116,H9_36h_117,H9_36h_118,H9_36h_119,H9_36h_120,H9_36h_121,H9_36h_122,H9_36h_123,H9_36h_124,H9_36h_125,H9_36h_126,H9_36h_127,H9_36h_128,H9_36h_129,H9_36h_130,H9_36h_131,H9_36h_132,H9_36h_133,H9_36h_134,H9_36h_135,H9_36h_136,H9_36h_137,H9_36h_138,H9_36h_139,H9_36h_140,H9_36h_141,H9_36h_142,H9_36h_143,H9_36h_144,H9_36h_145,H9_36h_146,H9_36h_147,H9_36h_148,H9_36h_149,H9_36h_150,H9_36h_151,H9_36h_152,H9_36h_153,H9_36h_154,H9_36h_155,H9_36h_156,H9_36h_158,H9_36h_159,H9_36h_160,H9_36h_161,H9_36h_162,H9_36h_163,H9_36h_164,H9_36h_165,H9_36h_166,H9_36h_168,H9_36h_170,H9_36h_171,H9_36h_172,H9_36h_173,H9_36h_174,H9_36h_175,H9_36h_176,H9_36h_177,H9_36h_178,H9_36h_179
ABCA1,0,6.835103768,0,3.969940102,3.51236254,4.614553487,0,7.137076736,0,0,0,0,0,8.705990448,0.863147817,7.086059518,0,0,0,7.669950046,0,0,0.914234188,0,7.892838033,0,0,0.999648923,0,0,8.535896185,0,0,0,0,0,7.711383688,1.034154354,8.738100933,0,4.706438701,1.22700398,5.833564767,0,0,3.196334022,0,3.662064863,0,0,0,0,0,0,0,3.603838864,7.012782091,0,3.901672062,6.972618986,3.0513074,0.801018321,4.640159148,0,8.494138986,0,0,0,0,0,0,0,7.450695616,7.054128429,0,0,2.97020732,0,0,0,0,0,0,0,5.290164041,0,2.389173506,0,6.412129204,0,1.908593475,7.448623175,0,1.12737265,0,4.760182379,0,0,0,6.907429922,0,0,0,0,0,0,4.436006109,0,1.098778343,0,0,0,5.33779273,0,4.413336586,7.787776025,0,0,0,0,5.632656455,0,0,4.266580727,7.83848434,4.442015656,6.309827989,0,4.485399786,5.621964028,6.358076255,0,0,0,0,0,3.629708128,0,0,5.071243747,0,5.28144713,0,0,0,4.446143715,8.393129461,5.319851169,0,0,0,4.692106909,7.567631098,0,0,6.935664514,0,0,6.661862935,2.880722782,0,2.869505864,4.498994137,3.174004307,0,4.440727935,5.325302563,7.097144244,6.242692858,4.264321084,0,5.302132339
ABLIM1,4.090313504,5.903482093,5.595177509,4.563207834,5.259511457,6.011894954,4.758099123,6.473485265,4.933297339,3.713426336,7.255149072,8.360858151,1.631837294,8.654553715,5.825078222,6.188430211,5.818554921,7.15599604,2.632983632,3.951869424,6.614336756,7.922192274,4.707667758,0.944582893,7.739239728,5.811701037,2.735965055,7.664637139,8.460999005,7.705029119,7.982857668,1.320993819,1.16541785,7.883238193,9.392851684,7.034665584,7.164026126,8.047911345,7.429475563,6.441618269,6.624152604,1.88033582,2.119314851,6.991362519,2.95986901,2.345717862,5.306784535,6.368268305,8.096223189,6.266120627,4.547766391,8.764933916,7.091531109,8.151647002,5.13989051,8.07495113,6.061207809,5.704840656,8.145668137,5.835789416,6.467206735,7.497005395,2.84912539,8.037563048,5.121655397,6.769433175,5.862961192,6.657469253,5.781848316,7.985870854,5.259955246,5.298388182,8.541167191,5.521247921,5.897595977,6.580586503,7.141065007,3.370700715,7.849607593,4.931509006,5.580747975,5.886816315,7.075663984,7.424139826,6.244995346,3.111215178,8.10810525,7.147224577,6.762756508,4.902741573,6.690015958,5.653317539,3.149298075,6.021409554,2.954965253,2.469626696,6.386558699,6.367068886,7.547203858,6.38224666,3.371787008,7.580148151,6.693000303,5.97197943,5.624907099,6.486013104,5.711372582,4.580302498,5.954260785,5.853811176,10.84457597,4.025916006,5.188448047,5.283743647,5.567385267,2.683815666,7.124122063,2.042989855,2.98979087,5.919157777,6.398096717,7.320495503,7.195158391,8.211846787,0,6.825579193,6.815669457,6.297046552,4.009489248,6.318788435,0,2.466354479,7.043510878,5.483002301,7.331243233,7.757069498,4.396283902,7.215834349,5.757826768,7.008840284,7.746527421,5.634861139,5.533564576,5.876067749,5.449182693,7.375408827,3.593630461,7.902494724,7.1306908,7.405058975,0,6.751588124,5.885796285,6.7912167,7.213048785,6.133689477,3.988230695,6.207164921,5.378494929,4.793573338,6.525418191,6.92655499,8.617403926,7.198444793,7.977860776,7.970567816,4.800399744,5.043526861,5.993639835,5.9477543,5.937297061,7.083516594
ACTC1,0,0,1.05359026,3.43029189,0.914519518,2.183329984,3.716928586,0,6.122659095,2.200288402,0.920462611,0,3.820784828,3.842666414,5.526772701,6.166249893,0,1.745061067,4.197203657,2.623575987,5.709828951,1.335984911,2.659069717,2.711008973,1.1695688,0,0,6.48569819,5.092958818,0,1.003205973,0,0,6.249058358,2.71416265,0,2.437287252,0,5.047525924,3.526172887,4.526913265,6.816545536,3.68454765,3.826683761,4.628299182,3.934607462,6.533308144,11.90338157,4.650333425,10.75448628,6.535981999,3.777351062,6.07379078,1.321586087,3.598064214,2.823105444,4.033481784,2.823399108,1.79120168,2.761852063,0,3.196234931,4.987224836,6.082123355,6.212673271,4.86482292,8.365899112,0,5.54702709,3.428378721,3.641835174,7.270627267,2.842143601,5.969208249,3.916209479,2.155547422,3.87508969,3.193033618,6.125357767,5.781029306,4.173126935,1.865575427,0,4.139679058,2.179656651,0,5.100265504,3.096141002,6.250776971,4.300779753,4.91204754,0,5.934975648,0,2.280809031,5.687989012,4.514909501,0.860308992,6.02138993,6.272598305,1.850308305,3.527392273,5.734360248,5.57063762,5.610033672,0.782080321,5.521511844,1.368466768,7.119427607,2.270698093,2.046584312,4.646082742,0,1.636275045,5.232408877,0,2.01179914,2.975661556,3.488322851,11.62735647,4.467733666,3.911105424,4.810720059,3.660818031,3.689588457,3.176936486,7.620982677,2.185362161,3.198838664,4.869609381,0,5.078567148,0,5.445615572,0,5.552563108,3.068255123,0,0,0.766366975,3.809266723,6.053999547,0,3.804011206,0.795669113,0.854341978,3.917638823,8.945033505,0,6.646427038,0.744943189,6.863153053,0,6.355730859,3.79089019,1.170907578,0.695622894,4.494588802,4.9148213,0,5.585076242,6.598079925,0,4.467356809,0,5.601904273,0,2.432230704,4.584731374,9.304758669,4.752526368,2.229462145
AES,2.829453269,0.909568641,3.905346685,3.969940102,2.633555933,1.852324944,0,2.79267678,0,5.747846826,3.757545087,3.185527002,2.634272825,3.486257097,1.3994477,3.148492758,3.918189405,1.098818022,0,3.042208363,0,2.796842982,1.469436367,0,1.766713018,0,4.563657201,0.999648923,2.76504879,3.315296314,1.003205973,0,0,4.276641204,2.507401864,0,3.801839824,0,0,2.83534839,4.258051478,3.977173768,0,3.506227742,0,0,2.589876597,0,4.753139261,2.621273147,2.9479914,4.26000925,2.339455356,1.907354594,1.785349902,4.59540773,2.143006385,2.184491088,3.820229654,2.524936354,2.550839644,3.196234931,3.302347063,1.975528869,4.068717167,4.248552226,2.839971793,0,2.280736981,3.702591183,1.95256668,3.404379683,0,2.513613969,2.446719041,2.913497468,0,3.193033618,2.717906324,1.905236904,0,2.312142012,1.805245902,3.057359439,3.444306635,0,4.472417159,4.391035323,2.797181541,1.433394584,1.249272059,4.252404119,3.518717153,4.820575614,0.974438246,4.633339706,2.783676691,2.911388006,2.802646581,2.605823213,2.146866266,3.601471396,3.465399537,2.698346145,3.296885938,3.106221994,1.777746491,2.308856094,0,3.452393926,0,0.789472876,1.85976521,2.057600166,1.963907211,1.793334265,2.01179914,3.085827155,0.592227146,0.954194585,1.315081441,1.294438923,0.603870567,0.815823166,1.824351441,4.442015656,3.431820725,3.354150953,3.764259979,3.08319427,1.812519593,2.228368865,4.115640383,1.297187002,1.737790903,2.394227891,1.781630884,3.780169319,2.832681415,2.712006757,3.472708572,2.586108066,2.627474486,3.61336403,0.795669113,3.109590602,3.330438919,3.078743129,3.027791129,3.95789351,5.200524389,3.792187246,3.286936098,2.437728687,3.635488185,1.803480332,1.162962194,2.729995385,3.451902022,3.779299691,0.799750781,2.380017911,0,2.391983688,0,1.392225775,2.595585883,2.321212644,0.947254713,3.22489207,0.787633758,2.631478525
AFF1,7.956204057,7.858237349,8.047773326,6.887045023,7.609843795,7.251977823,7.852163619,7.619572174,7.93223569,6.917158036,4.770335708,8.690268812,5.839282029,7.296798375,7.678018954,7.000132179,5.084993452,7.690154908,8.166453796,7.279844733,4.883716544,7.388680956,4.53070821,4.284858128,8.794962844,8.745134374,7.741699117,3.999341661,7.042891562,8.527026568,6.960316891,7.698473528,6.457943572,5.811106846,4.123352628,7.605287445,8.641880796,7.900119475,2.810123562,8.376118297,9.130061274,3.707881849,5.685307991,5.273604375,4.81363409,8.810444633,8.838772023,4.20852888,5.224631431,6.837494466,9.684228803,6.862001208,8.849435565,8.842588709,7.459119845,6.208603501,6.201777288,7.760755155,6.177317598,6.436589447,8.215653311,7.65269305,8.002087622,5.022254774,6.575257146,4.86482292,6.293531637,3.570304988,6.6556745,8.720849394,8.760709221,7.270627267,8.501704091,8.228810074,6.480475408,7.306980212,7.509117376,7.583796171,8.793857809,6.308385715,6.858229191,6.374255082,7.320495087,8.018780143,7.866067751,4.025223953,6.699561912,6.061169843,7.634037569,7.404125184,4.999428456,8.967284487,6.649381738,8.564007059,8.956946001,7.689228919,6.128270165,7.448619937,7.529810493,7.433987415,8.063812276,8.828403637,7.936445825,8.386147537,7.341191576,5.544345526,7.635420904,6.824248192,6.957765086,6.79670538,9.735955258,7.884396632,5.926492986,6.614659742,6.907195605,6.488344932,6.84218521,7.617458472,6.74258027,6.308904283,7.202918607,8.163525364,7.049919219,8.687154015,7.885758978,6.598485445,8.42501348,5.348451515,4.675058105,7.739406202,7.748574407,7.686106541,6.505710246,6.956034745,7.569664755,7.766439307,7.773519864,7.340798783,6.158370426,7.452893335,7.373160656,7.081230107,5.219402103,7.362054836,7.709116114,5.930621346,7.980096945,5.566800636,6.637903995,3.255924802,6.536602561,7.064153792,7.453504531,7.172052524,7.026907989,4.795667612,6.876292327,7.575237462,3.214997627,7.983416982,7.363844644,7.065979147,11.08019169,7.296929542,5.963020013,7.393645471,7.008783259,6.767298164,6.151353533,6.828263508,7.148636454,5.822824387
AFF4,4.485495773,5.210148578,4.422104462,6.553214102,5.775855005,3.516426759,6.447234854,5.192780188,7.125953297,7.079377215,4.093306467,7.798345004,4.987814848,5.865748808,6.913780043,6.609625543,6.441020587,6.378667428,7.556971243,6.534110335,5.355112928,6.842703448,7.182008847,5.247369102,7.900112177,3.482286168,5.369538693,6.247234517,7.336548454,8.159388885,5.006205117,6.407851807,7.039062468,9.672306437,3.755839333,6.543024996,7.149481997,7.194164201,4.757997582,7.169002539,6.796983195,7.936792686,5.070927512,5.403224133,0,9.14596745,3.620124439,5.385627092,6.433810248,7.461066489,8.414959163,0,7.119749606,7.884036996,7.611306181,6.57613196,7.424928358,7.046464568,7.175525758,7.754538237,8.43480502,7.293604138,7.329318035,6.326289204,6.51055863,5.210094959,7.882412631,4.372314415,8.098024835,7.758425768,5.232678925,7.517078777,7.338305098,7.266755075,6.539202322,7.909782431,6.043227252,7.111485704,6.975058154,4.00911173,5.922197329,5.918695872,6.66714161,8.28520473,6.568705298,5.549872662,7.061587446,6.749094129,5.355983631,7.761574159,7.885970785,5.989432537,5.017224336,4.62597799,7.690127782,7.868044541,5.215568538,7.836076612,6.195478878,7.690210737,4.990856355,7.533602462,7.301142393,6.308169434,6.700334093,5.035675346,6.753172202,6.509011925,5.39582962,5.8862721,0,4.687455797,3.525811256,5.203458357,5.929732601,5.580653776,5.828829372,5.009430859,5.065426866,5.803320417,6.777882112,6.787190313,4.984932053,6.101542935,7.128691221,4.192195246,7.520509366,3.627012659,4.485399786,6.176945076,6.8959078,6.608428025,5.596110783,5.779449417,6.254184839,7.52166903,6.811753694,6.518366451,3.727696111,6.397082866,7.484157826,6.882433162,5.774434397,5.318416989,7.294617849,6.539042155,6.744616312,4.737981447,7.001209092,5.451673946,4.890088324,5.825247811,6.779648113,5.520403931,4.841323016,6.152248397,5.080569331,6.487666949,6.935665029,6.629705289,6.379011673,6.446444114,7.545815192,5.22306422,7.488330645,5.028370388,3.674702108,4.086621098,6.523282259,5.982808014,6.083514582,5.463747993
ALYREF,5.400173072,5.277047492,5.74621836,6.012799302,5.443337481,5.447689265,4.850870697,5.380486196,5.624464545,7.103594005,4.841690663,5.273490161,5.597044179,5.588165349,5.005494709,4.064759907,4.748616069,5.043089032,2.988672636,5.016253144,5.016770619,4.2921332,4.003392064,4.141055271,5.463683413,5.016804045,4.941375626,5.522874987,5.348930822,4.47016752,4.398417913,5.739938651,4.546812408,3.642552971,3.668889627,5.392310689,3.267693923,6.710715209,4.462514541,4.817436429,4.030687806,4.99269983,4.397067276,5.086277472,7.048463213,4.276057138,3.092665482,6.804237866,5.103771656,4.211008744,6.137632785,6.254803686,3.720644681,4.524167142,4.180238893,4.645742194,5.10072312,4.01573327,4.426840912,4.884250267,3.961554474,4.868319299,4.648852263,4.523275177,4.068717167,5.619104911,3.416852601,3.798927236,4.419468239,4.002185056,3.722483275,3.404379683,4.064627538,2.513613969,4.175128255,4.705344515,5.559072554,5.212715883,4.654001121,3.73938024,4.173126935,4.286062578,3.660244911,3.770973562,4.424697188,3.111215178,4.850672976,4.447175953,5.057641252,4.902741573,4.568277715,4.980092272,4.895737704,3.019280577,3.759516738,3.869576653,4.085460509,4.524598536,4.404155413,4.778966275,3.960859473,3.717063398,3.327836456,4.126949985,4.546219149,4.806598676,4.170110216,3.685346086,2.746025234,3.808068214,0,3.89145939,3.525811256,3.978227822,2.283396709,3.625772182,3.821949215,3.94078124,3.827501853,4.347950102,3.796745096,3.815098136,4.140225027,3.949137344,3.367196508,2.984043425,4.180711889,5.514436659,5.573102625,3.194468966,2.43214861,5.063379568,4.046013323,3.742942482,4.245145014,2.736929157,2.554906174,3.856785769,2.668680485,3.895381219,3.298509726,3.14806083,4.156490261,3.804011206,2.704676589,4.017811263,2.592844613,4.4945843,3.936515569,3.493566522,4.038114895,4.311206764,3.791460883,4.18457607,4.20494583,4.103412299,4.291861847,3.671136511,3.747218098,4.024714742,4.790188894,3.434651547,3.269730166,3.737725904,3.604079126,5.065945561,4.907130097,2.321212644,3.853885917,4.145598962,3.982587574,3.859092814
ANKRD1,0,5.624001629,2.673204685,0,3.274394978,0,0,1.42977162,0,0,0,7.966168722,0,3.011853778,1.3994477,0,0,2.476943069,0,1.770830497,0,0.802108526,0,0,2.202940148,3.686117879,4.838067751,6.599217845,2.76504879,3.192213894,0,0,2.850981099,3.886204433,0,0,4.072414706,1.63032429,2.587654306,0.908225662,9.159216463,0,3.56935079,1.528130503,2.793472783,3.612189064,4.706108346,0,3.360931165,4.128406424,3.315515893,1.493636171,0,3.742052381,3.060231024,2.776878809,3.118996472,1.820737437,1.79120168,3.932291888,5.130035703,2.631410155,2.441641703,0,1.088943047,6.00064911,0,3.298503382,2.703373233,0,3.368703051,0,0,1.122753502,1.988351093,2.744579153,3.492459881,7.074847573,0.948497855,0,2.395062372,0,3.084857133,5.490148273,1.27033929,6.274466905,3.576456811,0,1.827960457,4.728585483,2.702404401,2.712954487,0,1.752410614,4.950055658,6.267317138,2.125471659,0,0.805002672,0,3.792587735,1.596987673,2.590434034,1.905076341,0,0,0,0,0,3.112888837,6.520528226,0,0,0,2.544803091,0.57843648,0,0,0,0,0.994296714,0,0,0,0,0,1.785705296,1.274627734,0.704340297,0,0,0,2.34591393,3.892019721,0.659435242,0,0,1.999037257,0,0,0,0,0.720216408,0,2.437039579,0.847944497,1.004734433,0,0,0.891637523,1.679896083,0,0,1.413020669,2.002627357,0,1.162962194,0,0,0,0,2.724048345,6.300159006,0,0,0,1.177015941,0,0,2.261601726,0,3.048802917
APBB1,0,1.463082268,0,3.43029189,2.160390254,1.454462332,1.885917875,5.158976522,0,0,3.175444601,0,0,4.259997445,0,3.613411578,3.01059522,1.715270895,0,0,0,0,0,0,0,0,3.780268182,0,0,0,3.005605787,6.096497369,4.10087357,0,0,0,0,0,0,4.462161117,0,3.551691951,0,2.253456019,0,0,5.713141447,2.771755238,0,0,0,2.211621681,0,0,0,3.260493678,0,0.591223126,3.733913173,0,4.793304788,0,0,0,2.730293635,4.066709242,3.636927627,3.394906733,0,0,0,0,0.906165368,0,0,2.744579153,2.97020732,0,1.515876141,5.142466547,0,0,0,0,1.64074785,0,0.683031866,1.806393454,0,0,4.568277715,3.960263001,4.271091734,0,1.550778516,1.094067877,0.880383289,0,0,2.605823213,0.893099627,1.596987673,4.465697286,4.00890629,0,0,0,6.157796185,2.476882008,0,0,3.742386557,0,1.636275045,1.552924902,0.57843648,5.319095949,0.699726955,0,4.554585437,0,1.774569807,3.636374862,0,4.095589032,4.192195246,0,4.56741287,0,0,0,0,2.560858762,0,2.882468206,0.77257173,4.108884696,5.425010823,1.720930137,2.368556944,1.817797082,0,0.720216408,2.629248423,0,0,0,3.557203939,2.714897666,2.14441288,0,3.73762616,3.480415107,3.527566091,3.948133377,5.213887143,3.603181691,4.043954393,5.289607046,5.24481489,3.305912845,4.751329687,0,1.272776832,0,0,3.471016895,0,0,2.473600641,4.873980127,0
APBB2,1.064754192,0.902805969,0,2.616951864,0,3.761075177,6.406245932,4.318773434,3.188405591,3.977683368,2.783045625,1.771475897,2.219231051,3.576370953,1.10205608,2.472952331,7.128099605,1.774248527,3.390521949,1.906988277,3.48682521,1.661756271,0.914234188,1.964711211,2.254703302,1.779753514,5.868395683,7.500262992,1.196645477,3.923335341,0,2.878360014,1.189205388,8.78514377,4.366518153,5.27728998,1.268876939,1.188055075,3.866946435,4.92959511,2.269645702,3.016648174,0.902781834,1.592639741,0,1.5902153,4.102529729,4.176330122,3.534926836,1.294621184,2.131180806,1.451150009,0.477754494,3.635900863,4.739750157,1.450901307,1.717765685,4.803839309,0,3.120081044,5.781145821,3.022611568,0.71997981,1.657892395,1.185051397,4.940275907,2.880188394,0,2.713109846,1.361787598,2.483622485,3.404379683,2.193738938,2.999111436,8.061654544,3.651170883,3.709675887,2.693542808,5.034453101,0,3.270199527,4.047388196,4.999766247,1.041747412,2.86896259,3.185797941,0,1.746800193,7.561942024,5.201051108,1.47689631,1.411449685,5.411361631,5.406461889,2.704670712,4.585046957,6.387573311,0.885999243,2.604216865,2.71939189,4.61994684,4.814888833,4.684379438,2.26576271,4.193986228,1.980986037,3.168495411,1.429052125,3.758753394,4.321214388,4.66633452,3.713036342,0,1.591551939,3.049968582,2.041668484,0,0.666070774,0,1.497450393,6.045868416,1.458498411,3.162333166,3.827701884,1.796475207,5.766095865,3.647253111,2.73315213,2.060799001,0.844029052,6.441874521,4.420434045,5.877002262,4.440352156,4.310222411,4.802281154,2.59232745,2.188822237,5.558771449,1.668703382,1.789093015,1.395130729,3.36416371,1.506600811,2.395270796,4.224546117,6.383161943,1.763218981,2.645100093,2.406553596,1.423537217,5.284272927,2.485827122,1.203287254,2.100969776,5.244777033,2.596841168,4.09439675,3.439835534,3.114981456,2.637527414,3.547920553,3.834868025,2.295394728,2.975160664,1.894345787,6.730751498,0,2.166725746,1.784140345,5.037630884,3.094282878
