X,H9_72h_001,H9_72h_002,H9_72h_003,H9_72h_004,H9_72h_005,H9_72h_006,H9_72h_007,H9_72h_008,H9_72h_009,H9_72h_010,H9_72h_011,H9_72h_012,H9_72h_013,H9_72h_014,H9_72h_015,H9_72h_016,H9_72h_017,H9_72h_018,H9_72h_019,H9_72h_020,H9_72h_021,H9_72h_022,H9_72h_023,H9_72h_024,H9_72h_025,H9_72h_026,H9_72h_027,H9_72h_028,H9_72h_029,H9_72h_030,H9_72h_031,H9_72h_032,H9_72h_033,H9_72h_034,H9_72h_035,H9_72h_036,H9_72h_037,H9_72h_038,H9_72h_039,H9_72h_040,H9_72h_041,H9_72h_042,H9_72h_043,H9_72h_044,H9_72h_045,H9_72h_046,H9_72h_047,H9_72h_048,H9_72h_049,H9_72h_050,H9_72h_051,H9_72h_052,H9_72h_053,H9_72h_054,H9_72h_055,H9_72h_056,H9_72h_057,H9_72h_058,H9_72h_059,H9_72h_060,H9_72h_061,H9_72h_062,H9_72h_063,H9_72h_064,H9_72h_065,H9_72h_066,H9_72h_067,H9_72h_068,H9_72h_069,H9_72h_070,H9_72h_071,H9_72h_072,H9_72h_073,H9_72h_074,H9_72h_075,H9_72h_077,H9_72h_078,H9_72h_079,H9_72h_080,H9_72h_081,H9_72h_082,H9_72h_083,H9_72h_084,H9_72h_085,H9_72h_086,H9_72h_087,H9_72h_088,H9_72h_089,H9_72h_090,H9_72h_091,H9_72h_092,H9_72h_093,H9_72h_094,H9_72h_095,H9_72h_096,H9_72h_097,H9_72h_098,H9_72h_099,H9_72h_100,H9_72h_101,H9_72h_102,H9_72h_103,H9_72h_104,H9_72h_105,H9_72h_106,H9_72h_107,H9_72h_108,H9_72h_109,H9_72h_110,H9_72h_111,H9_72h_112,H9_72h_113,H9_72h_114,H9_72h_115,H9_72h_116,H9_72h_117,H9_72h_118,H9_72h_119,H9_72h_120,H9_72h_121,H9_72h_122,H9_72h_123,H9_72h_124,H9_72h_125,H9_72h_126,H9_72h_127,H9_72h_128,H9_72h_129,H9_72h_130,H9_72h_131,H9_72h_132,H9_72h_133,H9_72h_134,H9_72h_135,H9_72h_137,H9_72h_138,H9_72h_139,H9_72h_140
ABCA1,4.056557683,10.54938493,9.007658382,9.4340078,0,9.581377587,8.916181285,7.693213052,7.259542427,10.58894085,10.23650807,9.312274792,7.088439812,8.158822079,7.319184625,8.398471328,6.594655069,2.88141818,9.960441443,10.56750338,4.422025648,7.384949809,5.426852735,9.907311447,10.19186588,1.616525407,8.098846851,8.166023105,10.2460554,2.122341295,6.229374692,5.82944411,8.532759919,5.669435836,7.262193409,9.001683601,9.144153436,11.23759362,11.56766922,6.581535464,9.072544791,9.090254119,8.342474763,7.469060995,6.783400607,7.889009701,10.86229561,8.970883762,10.44160894,9.044227987,10.19468136,8.599510379,1.093569032,3.094581567,8.771731948,1.054993178,7.752219904,9.66146099,7.458754663,7.996643779,7.827692607,5.137531159,5.945739592,9.547383441,9.133753204,0.955613297,11.04419666,6.326459131,0,8.16926097,9.159877562,7.156142341,6.855071606,1.33586766,12.01708812,8.928701798,8.154414344,10.35645385,1.018500134,7.280999558,0,9.527274744,6.79758813,6.378416964,10.38726582,8.938582744,9.606169522,8.574096566,6.098325411,10.34136114,9.00532589,10.62390277,9.204351012,9.291653028,9.509105547,8.98452877,8.170065096,2.230749462,0,7.023260625,7.520196327,1.322024034,10.02477649,9.708075719,7.202824145,8.670693528,7.565618856,10.15830449,10.51539167,8.339035376,8.291529364,9.259730143,6.946330251,10.07788825,8.079759396,9.747442821,8.565982379,0,10.20447139,0,7.522243145,9.735643293,0,8.902447845,8.016955436,0,5.945815834,0,6.405160431,8.466641751,6.917098989,8.423104424,9.014536992,8.824762317,0,10.6583325,7.765728317,1.971407539
ABLIM1,5.582529079,0,0,0,2.335195262,0,0,0,3.608014878,0,5.738838542,0,0,0,0,5.920746671,0,3.61269069,0,5.640426511,0,5.817147719,4.548149456,0,0,0,0,0.849392971,6.853806312,0,6.697439416,0,0,1.858387906,1.794854779,0,1.464299116,0,5.454782697,0,6.540524474,5.359661629,5.38484046,6.94123599,5.163375231,4.208261607,3.318875429,0,2.442783417,3.535627938,2.009737451,5.246990455,5.85051579,1.054803378,1.100674783,0,6.034968509,0,3.016362128,1.924351124,6.989383421,0.844574165,1.032436933,4.838222965,0,6.465396022,0.785300069,3.701307915,6.137996833,5.650863303,6.863385891,5.263817998,4.323990419,6.120855006,5.704037155,6.095188376,0,1.511589118,0.83985889,0,7.433223368,0,6.276051299,3.915568012,1.373351549,0,5.360229941,0,4.809958738,0,4.817951476,7.250803956,1.408299655,0.707835265,6.070958795,0,6.500142743,0,7.376520937,1.408933801,0,0,1.973863256,0,4.320925531,2.540610398,0,6.612237887,4.688661971,6.150087416,5.313488691,3.250680656,5.777417678,0.87076758,1.015089584,2.94126157,3.823205043,0,0,0,6.159194272,4.595233385,6.468111225,5.186502498,3.38803236,3.831918026,5.092949324,4.47279912,0,0.847625526,5.583530442,6.317828223,3.786014094,4.077770654,1.861408784,5.735035039,4.441022187,0
ACTC1,11.270282,5.453744621,6.494287833,11.29587252,5.927982946,6.665462793,5.738440245,8.293509323,10.23494478,3.103743667,10.24982191,5.295303239,11.47916718,7.475743832,7.660890332,9.879908602,8.581411364,5.171049723,6.818281279,7.739306744,10.39971539,7.844851993,4.549012881,12.38024806,8.371760035,7.058963636,7.279054901,7.992175059,7.366141897,6.542799588,1.780310312,7.522636077,7.556739688,5.456451634,9.591035518,6.825481447,3.384065485,7.37595055,4.602446913,7.016154297,6.645964551,5.997321163,3.655150245,2.613878733,12.84255528,5.67836209,7.336750721,4.598628508,5.592997404,4.408021688,8.067443077,9.268264017,1.093569032,2.081443658,2.746592946,4.62699884,4.452223814,2.150429753,7.374025015,4.955377834,1.655893966,0.844574165,6.60078083,7.069382403,6.107897809,6.028436886,6.736385815,7.895608846,5.101127151,2.280719901,3.420590575,3.025581944,6.957330954,4.903553731,6.340206642,12.56864836,6.785969989,5.39788185,7.849744465,4.86145181,8.236057038,3.235983531,8.954842111,6.887778367,6.884941425,6.548742346,13.26379319,5.679287772,9.953431631,9.610101325,11.33830483,12.84891715,12.72079363,7.853338114,6.461377839,5.211877714,9.6709982,11.17282488,10.30370409,7.727909318,6.166988694,6.803740705,10.89769038,6.638861149,5.896029879,2.920980714,11.04230122,6.401905155,6.824477919,5.775142374,12.74730061,4.171695852,8.432541455,13.78560624,4.488103382,6.510822046,6.141353978,5.331419454,4.237441358,3.734269836,12.20124202,10.12752662,7.478385003,6.12492495,5.627063381,6.776735109,4.65806515,4.116045544,10.90955436,13.29240951,8.553692505,7.369736052,7.006184971,7.052054393,9.397235261,5.389396407,5.125451859,8.665469132
AES,6.059328192,4.570279896,6.180254327,4.782037592,6.022965879,3.609077877,4.189158742,4.521625042,4.476850865,5.15480561,5.059257879,5.62764275,4.283487506,3.965948912,4.753883049,0,5.326550781,6.696326512,4.124937616,5.689549733,4.029248707,5.006838578,4.632845924,3.859364299,3.729102122,4.745745868,4.122992672,5.30318338,2.161788221,3.095333593,5.327536012,5.465238648,4.141693639,4.459967977,4.485482494,4.622966793,3.706817788,5.324505453,4.426098084,5.310414042,4.483233117,5.091476721,5.245323298,4.840762898,3.190396382,5.358617956,5.321053969,5.339313152,4.64091924,5.117545543,4.966748497,4.534671926,5.263876945,5.806045288,5.834987677,5.390699272,6.230084319,5.619248727,5.040480999,4.602716647,5.813905556,4.273641442,5.488965178,5.100452888,6.362628636,4.720492201,6.50315618,4.337177364,4.142558708,5.876748123,5.617701827,4.01754001,4.595341308,4.151127991,6.021208969,3.319331065,4.818913397,4.417085039,4.735808865,4.421762777,3.435488539,5.141115869,6.577355542,0,5.903436907,4.495528998,4.626868182,5.594862637,3.858258141,2.746761467,3.153584376,4.113187621,5.224708413,4.917985724,3.919180505,4.986711442,5.245807241,4.388630313,3.380644989,4.595486866,3.456355545,2.459562443,4.280916139,5.949972295,4.919545041,3.501444041,5.044112649,3.758517966,4.689652876,4.665116856,3.747881427,3.635300491,3.768868536,2.362660028,3.823856935,3.844149914,4.639090955,5.049853361,4.861433654,4.535889438,2.265736157,4.122103271,3.630397128,4.510613332,4.851696819,3.381503737,0.919742664,5.141417745,2.651132491,4.017137769,4.908933768,0,3.899136862,4.182459418,4.869913159,5.150731485,5.125451859,0
AFF1,7.405159748,7.519310014,4.507719453,4.70892039,7.8936502,4.76382104,6.424277529,7.373026621,7.290817436,6.766460203,8.267352462,9.224398949,8.004422603,6.643075272,8.124515126,7.702608328,7.847594508,6.429313221,8.092309438,7.987253442,9.286155787,6.507712126,7.482462608,2.773182248,7.473792513,6.538427372,8.412895942,0.849392971,6.353792185,7.823406521,8.645699461,7.889997411,7.774650225,3.000491669,8.956560412,7.380793961,9.538237436,9.23657397,7.9593076,6.600198844,3.90703215,8.054459283,8.599512323,7.460696372,7.322727275,6.315640808,8.510458859,9.028430528,8.96803636,0.973299584,9.30066044,7.386795134,7.168778912,9.093238328,7.291481687,5.565032307,8.178250534,4.435468649,7.169993345,7.908800272,9.130821521,7.406671239,7.097104453,3.933452778,8.290260383,6.692022974,7.578684129,6.934033304,6.576800226,8.124275894,8.527938808,5.22779878,8.140914855,6.05623056,8.412319033,0,9.448715991,8.136278213,8.429061292,9.934714246,7.745251822,9.233088072,7.387943666,4.745913341,7.535455775,7.909678543,4.71306204,7.027677298,8.033719538,8.089181085,7.959898197,7.283504897,6.123442576,5.655790702,9.386044423,5.732679985,7.284305245,0.798055082,5.431911873,6.399303661,7.93314995,7.801059078,4.280916139,8.692409515,8.503653065,8.629738389,8.86969245,7.92289176,8.400399726,9.309160621,7.332983456,6.47488308,7.801209294,4.694907964,7.966539632,6.400485461,8.615429642,6.212838997,6.722775152,6.913813805,6.27015418,7.297209019,6.470150411,4.116520194,8.196484265,5.392196078,7.795461118,8.257269006,8.82338962,5.660246259,6.902272994,7.156517223,6.703724024,8.177384332,8.739057301,4.98587402,6.289705724,6.421621422
AFF4,6.125458693,6.989124134,7.35042461,5.642324315,7.027664556,8.064265409,3.962459139,6.950674356,7.056158154,6.477661203,6.256710295,7.081921604,6.354458336,5.214775978,6.902928859,9.302149279,6.423269209,5.654369804,6.654324482,5.914914777,8.832008441,6.804296585,7.93488011,7.022923216,7.751979142,7.947762083,4.925528186,8.953134656,5.159746835,6.792707586,4.228238881,2.604000485,4.656491474,6.379933513,6.300103074,7.700446385,9.203885831,7.951307307,5.148653329,6.581535464,7.979793152,6.479961619,6.90337925,5.618880019,5.886981149,5.686820553,8.034975119,6.78698402,7.711562178,4.805969366,6.604992897,7.576793608,7.379949375,6.70644443,5.650064843,6.516133434,5.353379666,5.145514498,5.444517468,5.898972658,6.607769492,6.852820189,5.488965178,7.842096917,4.771001737,7.723627577,7.847673488,6.86139869,5.460838458,7.349494029,6.678789025,4.757689974,7.042444027,6.884357878,9.132728821,6.320018324,6.151168015,6.504383713,8.625386378,7.760378656,6.649152264,6.205301244,6.854794961,7.349088047,5.036254699,7.51920307,4.175230886,9.08606858,6.508089042,4.391788704,7.230960036,6.260245503,5.666548404,3.681656219,7.180026477,5.118416434,6.253787334,5.454433187,1.877676244,7.429070052,2.804454801,7.301655077,6.398253787,4.816820859,6.326029198,5.809076669,5.572562022,5.346639492,7.3020578,6.143497166,7.067416733,6.564097547,6.048867036,6.742347862,7.287216603,8.283048585,8.005163614,7.276246645,6.178905831,6.574991999,6.12022655,7.139493087,5.642438537,7.508683968,6.305935692,6.974282986,6.229156421,4.81657684,7.775147378,4.153016559,7.245475161,6.313763785,6.912608656,6.971944716,3.752589485,7.508273406,5.748045228,0
ALYREF,5.759554983,3.000387575,2.467541124,3.56514725,3.307665115,3.281337699,4.597520354,3.207647406,3.851193467,5.167668744,3.183555947,2.908242438,3.581233002,1.444029856,3.340353272,5.132144863,3.277269788,2.53020958,2.854597213,2.640484414,0,2.157476546,3.591034272,3.02379857,1.015596115,2.359721557,3.613222861,3.611691431,4.505689107,4.342376818,2.021140641,1.823688527,3.099080257,3.150245712,2.961987201,0,2.620387656,1.213006622,1.517734548,1.168002053,2.294431528,1.841778315,3.415829948,3.490948085,2.496954228,3.2842716,0,3.473545699,2.431029134,0.973299584,3.471226167,3.266741757,2.468857598,2.081443658,0,3.684234384,0,0,2.184478252,1.924351124,2.786806124,2.529672988,3.379799503,3.25810254,1.761798502,3.24102179,1.664643138,3.036449767,3.597871068,2.619555015,3.52292477,4.283446991,3.620379654,3.342787259,0,4.359624252,2.852580106,4.14250767,3.202651886,4.629553498,3.435488539,3.038888861,4.40932036,2.510159589,3.398391867,2.028437898,4.233300275,3.33657236,0,0,3.003784031,3.786867309,2.929216474,3.515997408,1.467822447,1.341736968,3.01875036,3.30232871,4.862237183,2.930100307,1.582707355,2.000119923,2.786727405,3.07277561,3.361617367,3.099580492,2.370768677,1.627141023,1.87098435,0.906715136,2.922773167,3.777139885,2.499194569,3.452019021,3.728175285,2.117832415,4.048446737,3.933367443,3.641889498,2.443467229,3.741924441,3.124960624,3.164906905,3.870025071,2.790362754,1.921228052,3.548601092,3.372263322,1.706439326,2.886802495,3.599353496,0,2.163466454,1.539203975,3.349746585,1.723172052,3.38109794,3.66516774
ANKRD1,6.417082708,0,0,2.963138521,0,2.244352565,0,3.207647406,0,0,0.924770262,1.290428465,2.986920831,3.128225925,0,0,0,1.374168848,2.041420916,0,0,4.657032162,6.665420177,2.469683131,0,0,0,3.172715781,0,0.87852911,2.021140641,0,0,0,0,1.083620263,2.14820803,1.213006622,0,0,3.114042475,0,0,1.608141666,2.994106547,0,0,0,0,0,0,0,0,0,2.14849464,1.054993178,1.535616886,0,0,0,0,0,0,0,0,1.525471481,0,0,0,4.669118814,0.906564958,3.451881164,2.191519836,3.626229874,0,6.399246723,0,1.917186895,7.687852449,3.114763448,0,1.487817962,0,2.510159589,2.880268005,0.823673724,0,4.588472324,0,6.059376981,0,7.986118411,2.107180007,1.919897788,1.467822447,0,1.275561684,1.685386959,3.062773407,0,0,3.614856688,0,0.866921644,0,4.481454775,0,0.76242039,2.183886922,0.906715136,0.79197826,1.274117899,3.449649968,0.87076758,1.605047077,0,0,1.878565484,0,0,1.947384912,0.974880193,1.096526911,0,0,1.921228052,0,2.042067036,0,2.721756941,3.444231205,4.993600104,0,0,1.57060457,1.341650066,0,2.77463117
APBB1,0,0,4.257313311,4.223058198,0,0,0,6.103039893,4.679492804,0,4.495769724,1.290428465,1.10744254,3.128225925,3.527686209,0,1.061360965,0,4.409886452,0,7.170510287,0,1.926443005,0,0,6.196183585,5.575262392,0.849392971,0.902014036,0,2.559362927,3.635676428,4.141693639,0,1.794854779,0,0,0,0.949875004,0,3.910709842,1.196769419,4.522496264,5.203604756,5.568313158,6.18748359,0,0,3.296218644,0,0,0,2.737700928,0,0,5.597506408,4.785954933,0,1.125568161,0,0,5.263016653,0,5.140326859,0,0,0.785300069,4.154693037,5.366880449,5.815453812,1.857475664,7.031095346,0,0,0,0,1.737077147,0,0,5.431057589,0,0,0,0,0,3.243208915,1.312681412,0,2.459675174,0,4.280225356,4.669101163,2.107180007,3.601203249,5.605349195,5.380795823,1.275561684,0,0,3.336961236,0,5.636781302,2.22893925,4.432570754,0,0,0,0,0.915283951,0,0,0.773367218,6.132178716,4.645611241,0,0,1.76203243,2.85729416,1.82853875,1.077153136,4.456115244,2.764020781,0,3.086079994,3.214941059,0,2.191281946,0,0,0.847625526,3.599353496,0,2.495660977,4.538578191,0,3.888469743,1.527937172,3.287548507
APBB2,4.253951111,1.715652357,3.010655016,1.255095751,6.09322206,2.30381501,6.001301467,2.498285336,5.206738659,2.87189481,1.524875191,2.418257612,2.996345349,4.935352521,1.733035326,5.497056205,5.649728394,0,0.849999841,5.249134305,3.526696491,6.456319326,4.141837154,3.137663479,6.738090809,8.984868667,3.023506342,5.027717191,2.884548227,5.632008451,4.510108999,3.750388675,3.989148993,1.171038605,2.640618055,1.773064147,4.038286438,5.634245851,0.885849064,1.042611108,1.839238406,4.898705397,3.357615817,3.169883333,2.149663876,2.958002556,5.064597235,1.737795639,4.984932324,0.980361004,2.024124772,6.639037949,6.036475787,8.697918974,3.998390155,5.69256547,0,8.826260403,5.332612316,2.274820545,1.436122605,3.041458137,2.866664366,5.204676398,2.367566419,3.181019768,2.639359266,4.355064576,2.361115618,5.311350989,3.742438302,3.11032159,0.850214946,7.403329981,8.254046448,2.131288883,3.918959067,1.363761712,3.550867802,6.438446906,4.769014778,4.173276208,4.728665575,3.016534597,0,5.988009091,3.719889762,0,2.459675174,2.079746496,1.885306042,4.86274248,5.871215786,1.714948499,4.016848486,2.764043535,3.268922044,5.680315906,2.50782861,0.803172313,3.029130924,6.263520922,1.700268341,0.936878492,1.566985267,6.697225439,2.27452797,1.781221017,7.44093845,3.027797171,5.664173925,4.453440041,5.637996695,2.334494346,3.510211138,5.171564543,3.401497276,6.028699879,2.858347105,3.301112215,4.274959923,1.602722208,6.875856267,0,5.613524958,8.152945587,2.302389305,1.527813228,2.454654005,3.185756639,0,2.441585103,3.078436575,3.803549301,2.799795194,1.954947876,1.527937172,6.013488383
