"Gene1","Gene2"
"AES","TLE1"
"AES","TLE3"
"AES","TLE2"
"AES","HLX"
"AES","LEF1"
"AES","RIPPLY1"
"AES","CTNNB1"
"AES","CTBP1"
"AES","LEF1"
"AES","RIPPLY1"
"AES","CTBP1"
"AES","CTNNB1"
"AES","HLX"
"AES","TLE1"
"AES","TLE3"
"AES","TLE2"
"AFF1","ELL2"
"AFF1","MLLT3"
"AFF1","MLLT3"
"AFF1","PBX1"
"AFF1","ELL2"
"AFF1","PBX1"
"AFF4","SUPT16H"
"AFF4","POLR2I"
"AFF4","ELL2"
"AFF4","POLR2G"
"AFF4","SUPT16H"
"AFF4","MLLT3"
"AFF4","POLR2D"
"AFF4","GTF2H2"
"AFF4","POLR2H"
"AFF4","POLR2I"
"AFF4","POLR2F"
"AFF4","POLR2K"
"AFF4","ELL2"
"AFF4","TCEA1"
"AFF4","POLR2A"
"AFF4","POLR2D"
"AFF4","POLR2G"
"AFF4","GTF2H2"
"AFF4","POLR2K"
"AFF4","MLLT3"
"AFF4","POLR2F"
"AFF4","POLR2H"
"AFF4","TCEA1"
"AFF4","POLR2A"
"ALYREF","POLR2I"
"ALYREF","SRSF6"
"ALYREF","FUS"
"ALYREF","SRSF1"
"ALYREF","NUP54"
"ALYREF","XRN1"
"ALYREF","POLR2D"
"ALYREF","NUP35"
"ALYREF","SNRPD1"
"ALYREF","POLR2G"
"ALYREF","RBM14"
"ALYREF","HNRNPD"
"ALYREF","POLR2K"
"ALYREF","SFPQ"
"ALYREF","HNRNPAB"
"ALYREF","ILF2"
"ALYREF","RBMX"
"ALYREF","YBX1"
"ALYREF","SRSF3"
"ALYREF","HNRNPK"
"ALYREF","SF1"
"ALYREF","SRSF2"
"ALYREF","ELAVL2"
"ALYREF","SSB"
"ALYREF","POLR2F"
"ALYREF","ILF3"
"ALYREF","SNRPB"
"ALYREF","POLR2H"
"ALYREF","SRSF10"
"ALYREF","YBX1"
"ALYREF","POLR2G"
"ALYREF","SRSF3"
"ALYREF","SSB"
"ALYREF","NUP54"
"ALYREF","BCLAF1"
"ALYREF","NUP35"
"ALYREF","RNPS1"
"ALYREF","HNRNPK"
"ALYREF","HNRNPD"
"ALYREF","POLR2D"
"ALYREF","SF1"
"ALYREF","ILF2"
"ALYREF","UPF1"
"ALYREF","ELAVL2"
"ALYREF","POLR2H"
"ALYREF","SRSF10"
"ALYREF","SFPQ"
"ALYREF","SNRPB"
"ALYREF","HNRNPAB"
"ALYREF","POLR2I"
"ALYREF","SRSF2"
"ALYREF","U2AF1"
"ALYREF","POLR2F"
"ALYREF","POLR2K"
"ALYREF","ILF3"
"ALYREF","FUS"
"ALYREF","RBM14"
"ALYREF","SNRPD1"
"ALYREF","SAP18"
"ALYREF","RBMX"
"ALYREF","XRN1"
"ALYREF","SRSF6"
"ALYREF","SRSF1"
"ALYREF","POLR2A"
"ALYREF","BCLAF1"
"ALYREF","RNPS1"
"ALYREF","UPF1"
"ALYREF","POLR2A"
"ALYREF","SAP18"
"ALYREF","U2AF1"
"ANKRD1","SMARCD3"
"ANKRD1","TTN"
"ANKRD1","SMARCD3"
"ANKRD1","PPARA"
"ANKRD1","NCOA6"
"ANKRD1","NCOA6"
"ANKRD1","PPARA"
"ANKRD1","TTN"
"APBB1","APBB2"
"APBB1","APBB2"
"APBB2","APBB1"
"APBB2","APBB1"
"APC","CCND1"
"APC","TLE1"
"APC","PSMD9"
"APC","TLE3"
"APC","CUL1"
"APC","TLE2"
"APC","CCND1"
"APC","ASH2L"
"APC","FZD5"
"APC","LEF1"
"APC","CTNNB1"
"APC","TCF7L1"
"APC","CTBP1"
"APC","LEF1"
"APC","TCF7L1"
"APC","CTBP1"
"APC","CUL1"
"APC","ASH2L"
"APC","CTNNB1"
"APC","FZD5"
"APC","TLE1"
"APC","PSMD9"
"APC","TLE3"
"APC","TLE2"
"APEX1","SIRT1"
"APEX1","YBX1"
"APEX1","XRCC5"
"APEX1","EXO1"
"APEX1","SIRT1"
"APEX1","XRCC6"
"APEX1","TP53"
"APEX1","PARP1"
"APEX1","ILF2"
"APEX1","POLB"
