X,RamDA_mESC_00h_A04,RamDA_mESC_00h_A05,RamDA_mESC_00h_A06,RamDA_mESC_00h_A07,RamDA_mESC_00h_A08,RamDA_mESC_00h_A09,RamDA_mESC_00h_A12,RamDA_mESC_00h_B01,RamDA_mESC_00h_B02,RamDA_mESC_00h_B03,RamDA_mESC_00h_B04,RamDA_mESC_00h_B05,RamDA_mESC_00h_B06,RamDA_mESC_00h_B07,RamDA_mESC_00h_B08,RamDA_mESC_00h_B09,RamDA_mESC_00h_B10,RamDA_mESC_00h_B11,RamDA_mESC_00h_B12,RamDA_mESC_00h_C01,RamDA_mESC_00h_C02,RamDA_mESC_00h_C03,RamDA_mESC_00h_C04,RamDA_mESC_00h_C05,RamDA_mESC_00h_C06,RamDA_mESC_00h_C07,RamDA_mESC_00h_C08,RamDA_mESC_00h_C09,RamDA_mESC_00h_C10,RamDA_mESC_00h_C11,RamDA_mESC_00h_D01,RamDA_mESC_00h_D02,RamDA_mESC_00h_D03,RamDA_mESC_00h_D04,RamDA_mESC_00h_D05,RamDA_mESC_00h_D06,RamDA_mESC_00h_D07,RamDA_mESC_00h_D08,RamDA_mESC_00h_D09,RamDA_mESC_00h_D10,RamDA_mESC_00h_D11,RamDA_mESC_00h_D12,RamDA_mESC_00h_E01,RamDA_mESC_00h_E02,RamDA_mESC_00h_E03,RamDA_mESC_00h_E04,RamDA_mESC_00h_E05,RamDA_mESC_00h_E06,RamDA_mESC_00h_E07,RamDA_mESC_00h_E08,RamDA_mESC_00h_E09,RamDA_mESC_00h_E10,RamDA_mESC_00h_E11,RamDA_mESC_00h_E12,RamDA_mESC_00h_F01,RamDA_mESC_00h_F02,RamDA_mESC_00h_F03,RamDA_mESC_00h_F04,RamDA_mESC_00h_F05,RamDA_mESC_00h_F06,RamDA_mESC_00h_F07,RamDA_mESC_00h_F08,RamDA_mESC_00h_F09,RamDA_mESC_00h_F10,RamDA_mESC_00h_F11,RamDA_mESC_00h_F12,RamDA_mESC_00h_G01,RamDA_mESC_00h_G02,RamDA_mESC_00h_G03,RamDA_mESC_00h_G04,RamDA_mESC_00h_G05,RamDA_mESC_00h_G06,RamDA_mESC_00h_G07,RamDA_mESC_00h_G08,RamDA_mESC_00h_G09,RamDA_mESC_00h_G10,RamDA_mESC_00h_G11,RamDA_mESC_00h_G12,RamDA_mESC_00h_H01,RamDA_mESC_00h_H02,RamDA_mESC_00h_H03,RamDA_mESC_00h_H04,RamDA_mESC_00h_H05,RamDA_mESC_00h_H06,RamDA_mESC_00h_H07,RamDA_mESC_00h_H08,RamDA_mESC_00h_H09,RamDA_mESC_00h_H10,RamDA_mESC_00h_H11,RamDA_mESC_00h_H12
Aatf,1.352430425,0.817898734,1.462948552,0.793174214,0.932234322,0.847830524,1.007773748,1.08724302,0.906523923,1.139813059,1.429488317,0.883881319,0.715279845,0.643903064,1.123954012,1.058538963,1.091887786,1.537076822,1.21150831,0.665325048,1.065084244,1.143041355,0.855166414,1.148176559,0.871403338,0.831879438,1.183785095,1.114656327,1.138563836,1.356907939,1.251218174,0.798848788,1.493443117,0.818628267,1.280585924,1.053502051,1.095301623,1.279471003,1.072133676,1.298668919,0.817975716,0.830774086,1.814579505,1.135010133,1.148424494,0.744848695,0.912021644,1.06579734,1.422955438,0.91626863,1.092811047,1.235176082,1.202759114,1.542625517,1.187544447,0.812285631,0.976968366,1.082697888,0.865209498,0.593520294,0.660384144,1.242019409,1.020917807,1.032293837,1.164663288,0.580842613,0.997346389,0.878104058,1.092614062,0.859103628,1.347130278,0.563073856,0.944284138,0.95891039,1.443703267,1.149145266,0.988424425,1.144763549,1.360563837,1.197924346,0.816072832,1.128262516,1.133274128,1.371725006,1.451220068,0.996369569,1.319057884,1.279790692,1.222310548,0.966431115
Abhd5,0.18194871,0.396481135,0.324749594,0.404446726,0.176385434,0.65061393,0.124202266,0.740588107,0.423319586,0.72701186,0.460572962,0.352350755,0.549715872,0.416374867,0.733928168,0.679159621,0.742396027,0.711625298,1.355388344,0,0.26564599,0.911397384,0.536771233,0.536146955,0.378782774,0.174389738,0.557245432,1.168880244,0.608101701,0.867017313,0.546120249,0.454468685,0.18125038,0.767862039,0.761626162,0.551943395,0.993952031,1.03986288,0.516102677,0.290395795,0.777549771,0.191227621,1.101366481,0.131606615,0.729657286,0.271645084,0.615902488,1.265485953,0.794367395,0.246103718,0.469985487,0.141347564,0.670663872,0.778615719,0.92747777,1.317448176,0.202591938,0.396482604,0.900884712,0.724017492,0.53304936,0,0.235684752,0.478446571,0.498744624,0.186759809,0.369864153,0.269844286,0.34930222,0.143359521,0.432631361,0.840454174,0.282469163,0.148796814,0.529114433,0.393171788,0.672240968,0.322940935,0.484490087,0.159586007,0.45260754,0.485021547,0.166849891,0.261016822,0.925248184,0.632920351,0.050408618,0.254491229,0.349881101,1.179405836
Abt1,1.319812025,0.994801612,0.987404399,0.962712659,0.656695208,0.954688557,0.994227178,0.565698542,0.896294592,0.759135778,0.677229743,0.910418077,0.692576434,0.934282579,0.658428291,1.059197514,0.696758504,1.169593037,1.031822444,0.891341896,0.696901702,0.992671596,0.594155234,0.934359834,0.755120361,0.887853648,0.97722188,0.897186436,1.10719006,0.784223402,0.507420816,0.81886771,0.897427593,1.016349064,0.847522369,0.711653014,0.768259544,0.643894029,1.706299859,0.547744208,0.551405665,1.065981342,0.876785385,0.753262747,0.952514899,0.955253206,1.079576895,0.61902264,1.343853903,1.165456832,0.779341814,0.997254592,0.916842709,0.937679602,0.995076636,0.546075041,0.599068204,0.862196011,0.576635227,0.539517104,0.991084828,0.931391181,0.865789576,0.987960293,1.121383373,1.088087583,1.020045198,1.223285424,1.125872139,0.591901187,0.662878661,0.975374641,1.340533042,0.976803219,0.797661104,0.749497172,0.808056196,0.70981071,0.835937977,0.479451676,0.675077055,0.842369019,1.146865066,1.168461485,0.814538164,1.219215297,0.770192286,0.759053373,0.722871376,0.91352223
Abtb1,2.670314848,2.418176609,2.326137055,1.871182909,2.103601498,2.755714744,0.656097742,1.789536468,1.992682426,1.834624897,2.299114013,2.338423028,2.338720967,1.874108044,1.739428383,1.884319755,2.784965676,2.504565357,0.640734375,1.634822329,1.296114443,2.97415467,2.244768601,2.163785199,2.53956755,1.688479815,1.474803298,1.825371049,2.448352758,2.284975812,1.835623594,1.219642942,1.812885516,1.861671384,1.960329134,2.789355227,2.03592147,1.737671462,1.667973367,2.919753,1.61566652,2.24665765,1.60690827,1.381543198,2.12760823,1.947689419,1.839556724,2.204663279,1.513772433,1.89334969,2.344453757,1.301303202,2.565597129,1.867364434,2.161128864,2.096743238,1.68250503,1.125919266,2.162535857,2.064962075,2.574709449,1.633184936,1.482598458,2.487393691,2.004829913,2.018852684,1.737676547,2.30148037,2.23031257,1.362935911,1.884889366,2.254662379,2.17682974,2.335812902,1.91263754,1.563776623,1.581624438,3.613649464,1.881844547,2.501900266,1.548309691,2.031277862,1.735816511,1.609789126,1.906951082,1.619249418,2.134697526,2.122375718,2.60011914,1.533126177
Adam19,0.417571981,0.815840316,0.348047404,0.034171989,0,0.072201382,0.988419511,0,0.006567774,0.271903331,0.141896074,0.487779422,0.173644736,0.034473998,1.021767536,0.365905318,0.460663599,1.261521453,0.437874521,0.142884623,0.430348256,0.340931671,0.785768547,0.430963333,1.094026426,1.104077228,0.356663689,0.324839428,0.379534919,0.495688678,0.403597982,0.457911886,0.326083875,0.153861334,0,0.161144578,0.499194479,0.218104956,0.931501922,0.706660743,0.159262305,0.414620628,0.377339185,0.359202496,0.559640979,0.384909517,0.496679693,0.735579014,1.119448447,0.312395957,0.304359348,0.203140366,0.102857284,0.630145084,0.257453185,0.584446723,0.063592256,0.433803703,0.58181738,0.36693305,0.495160724,0.139794057,0.420591851,0.199616602,0.44134865,0,1.100070839,0.76753124,0.714513989,0.976673288,0.122712116,0.210194282,0.425890695,0,0.574917083,0.68387581,0.451001734,0,0.475126731,0.634173642,0.239007095,0.300243567,0.276507508,0.609566986,0.221590423,0.414690613,0.127107363,0.064399159,0.320663709,0.231836566
Adam23,3.119905004,3.572053242,3.667637635,2.910919175,3.303832467,3.591670094,1.93312206,2.389128386,2.461075319,3.05155249,3.47435021,2.837974574,2.905334146,2.9478451,3.4468368,2.120434237,3.114489672,3.923977465,3.182728274,2.682059361,3.06509604,3.05347856,2.995186988,2.694075814,3.375788369,3.006492662,2.746118427,3.018537332,2.944268352,3.348766429,3.34293608,2.256778843,3.843510339,2.98108867,3.366859971,4.260556938,3.171356056,3.231613042,2.696507533,3.570954077,3.548214067,2.582556667,2.591309883,2.975508531,3.835344355,2.140290303,3.357282662,3.424419432,3.468296131,3.058732853,3.262841849,2.148222728,2.597084943,2.441660843,3.462863546,3.53741045,3.331420306,3.037020374,3.429023305,3.538010167,3.716061461,3.030295296,3.147856293,3.458263992,3.081273217,3.526117893,2.736582977,2.986199786,3.437005383,2.954713517,2.322023144,3.099823049,2.976865199,4.089621841,3.613636855,3.290289724,3.791188206,3.114156951,3.530766157,3.422241759,3.332916556,2.847513241,3.303147446,3.540545671,2.071190204,3.381587869,2.902101948,3.528697335,4.000813698,3.415979824
Adamts9,0.735632354,0.821984639,1.160016652,0.373374019,0.248924662,0.830620665,0.825021664,0.562018141,0.649512441,0.194331757,0.185622592,1.179879737,0.271044056,1.168289727,0.57924132,0.685128318,0.661285408,0.60278973,0.404751526,0.498075795,0.067376107,0.371538001,0.288846335,0.645530836,0.750488397,0.617798027,0.724953716,0.552340346,0.551152523,0.766552598,0.09318551,0.76795551,0.42629377,0.914322486,0.76705806,0.268244776,0.60641295,0.533747718,0.405194669,0.939214143,0.838799168,0.191980869,0.390039338,0.490732185,0.395177667,0.182314452,0.570547149,0.594572729,0.452592644,0.707990519,0.133015515,0.822611761,0.777847722,0.123935819,0.567832904,1.175771672,0.353664452,0.649660989,0.373099156,0.824280853,1.164008989,0.370410668,0.015067087,0.559496667,0.746904344,0.699885612,0.662355515,0.231776434,0.358735506,0.69172532,0.675522164,0.071313674,0.271984039,1.184724062,1.135074479,0.519434519,0.652539208,1.249293392,0.447719456,0.235764561,0.421285962,0.27805982,0.470968041,0.144372998,0.3775675,0.343740429,0.388229461,0.195409516,0.437776937,0.428644568
Aes,1.697453366,1.552459925,1.409935346,1.725019287,1.434388769,1.720940074,1.40507672,1.449324945,1.848794904,2.134285261,1.45894355,2.062318561,1.912736983,1.683220834,1.744282066,1.929876259,1.723648756,1.849033228,1.976063721,1.919534799,1.585681116,1.819828388,1.752246161,2.136595985,2.389125174,1.79960841,1.672275334,1.569095578,2.347569689,1.893035881,1.658733629,2.017950727,1.578262952,1.420086379,1.788156675,1.654022971,1.388935989,1.617425014,1.486725854,1.299576285,2.530434486,1.078963289,2.359725275,1.885044912,1.539024989,2.052661245,1.684990217,1.967910977,1.721094297,1.720245086,2.314128103,1.773328175,1.822405227,2.181973228,1.801763151,2.125730458,2.291189348,1.640477719,1.958559507,1.886816015,2.019332219,1.738714912,1.797371505,1.751639258,1.925234576,2.208413301,1.317863896,2.160066798,1.393137651,1.144609588,2.072196814,1.455267589,2.082093758,2.221074523,2.651159736,1.757263204,1.680590545,1.09188873,1.905034824,1.677624381,1.400305235,2.045921538,1.44394782,1.94047008,1.863224126,1.710099359,1.974757206,2.102351902,1.758223887,2.358800763
Agap3,1.281121394,1.43392376,1.331200729,1.338760464,1.289206953,1.614309305,0.925880759,0.868281659,1.055059569,1.358726025,1.197637149,1.376194595,1.19538866,1.277533383,1.461497682,1.497122405,1.545947774,1.732803353,1.544313065,1.141664934,1.327614216,1.566398637,0.990693801,1.354378387,1.61932587,0.841619419,1.1495925,1.602638125,1.197777562,1.138919935,1.289834747,1.71314048,1.146575709,1.536873184,1.388532894,1.626073209,1.454362731,1.08581219,1.474445445,1.534914538,1.763000398,1.353747291,1.476599856,1.057833058,1.707378734,1.316300897,1.280007451,1.493586713,1.454917642,1.295876353,1.642678982,1.460459166,1.214062082,0.658957969,0.799953712,1.36297257,1.572586054,1.205009619,1.587393441,1.416827646,1.334626377,1.040477247,1.286727204,1.468600025,1.748468465,1.401010599,1.721511456,1.362078194,0.873614283,1.1705485,1.165887247,1.24065639,1.172531543,1.279800311,1.584308222,1.726814879,1.656176398,0.592040705,1.553687213,1.406217816,1.077496698,0.932691709,0.971190196,0.779992719,1.285241582,1.663472628,1.102127099,1.428569292,1.711112886,1.190727749
Aip,1.464080702,1.48892294,2.063192735,0.996954406,1.054883423,1.332071665,2.33047461,1.165200999,1.267443418,1.703572345,1.240872084,1.006064964,1.735113558,0.440673179,1.481888506,1.50050017,1.728663417,1.263881174,1.610155021,1.110393713,1.232031889,0.728517903,1.704572289,1.148542738,1.857810345,1.926896015,1.000604411,1.660371673,0.870133821,1.513949912,0.975240235,1.484257749,1.23113125,0.669432407,0.873728872,1.542812358,1.57893127,1.712132942,1.234360321,1.783472483,1.210207174,1.864820821,1.046671601,1.95769385,1.166797499,1.50424907,1.474315489,1.943745454,1.549084068,1.529428841,1.878164754,0.888412863,1.109745968,1.171294999,1.816710138,1.61150485,1.473203691,1.575866989,1.458757575,1.227470413,1.332209136,1.23475791,1.8924769,2.003975364,2.106763605,2.145748731,1.336584966,1.180625504,1.325914417,1.650012816,1.697104921,0.76521073,1.62560899,1.869208088,1.722525462,1.396461139,1.82541109,1.383674945,1.466969771,1.275322945,1.016185074,0.830941489,1.354286506,1.63058358,1.054830235,1.196584188,1.431676863,1.94659751,2.047256933,1.429830391
