X,RamDA_mESC_12h_A04,RamDA_mESC_12h_A05,RamDA_mESC_12h_A06,RamDA_mESC_12h_A08,RamDA_mESC_12h_A09,RamDA_mESC_12h_A12,RamDA_mESC_12h_B02,RamDA_mESC_12h_B05,RamDA_mESC_12h_B06,RamDA_mESC_12h_B07,RamDA_mESC_12h_B08,RamDA_mESC_12h_B09,RamDA_mESC_12h_B10,RamDA_mESC_12h_B11,RamDA_mESC_12h_B12,RamDA_mESC_12h_C02,RamDA_mESC_12h_C03,RamDA_mESC_12h_C04,RamDA_mESC_12h_C05,RamDA_mESC_12h_C07,RamDA_mESC_12h_C09,RamDA_mESC_12h_C10,RamDA_mESC_12h_C11,RamDA_mESC_12h_C12,RamDA_mESC_12h_D02,RamDA_mESC_12h_D04,RamDA_mESC_12h_D05,RamDA_mESC_12h_D07,RamDA_mESC_12h_D08,RamDA_mESC_12h_D09,RamDA_mESC_12h_D10,RamDA_mESC_12h_D11,RamDA_mESC_12h_D12,RamDA_mESC_12h_E01,RamDA_mESC_12h_E02,RamDA_mESC_12h_E05,RamDA_mESC_12h_E07,RamDA_mESC_12h_E08,RamDA_mESC_12h_E09,RamDA_mESC_12h_E10,RamDA_mESC_12h_E11,RamDA_mESC_12h_E12,RamDA_mESC_12h_F01,RamDA_mESC_12h_F02,RamDA_mESC_12h_F03,RamDA_mESC_12h_F06,RamDA_mESC_12h_F07,RamDA_mESC_12h_F10,RamDA_mESC_12h_F11,RamDA_mESC_12h_F12,RamDA_mESC_12h_G01,RamDA_mESC_12h_G03,RamDA_mESC_12h_G05,RamDA_mESC_12h_G06,RamDA_mESC_12h_G07,RamDA_mESC_12h_G08,RamDA_mESC_12h_G09,RamDA_mESC_12h_G12,RamDA_mESC_12h_H01,RamDA_mESC_12h_H02,RamDA_mESC_12h_H05,RamDA_mESC_12h_H06,RamDA_mESC_12h_H07,RamDA_mESC_12h_H08,RamDA_mESC_12h_H09,RamDA_mESC_12h_H10,RamDA_mESC_12h_H11,RamDA_mESC_12h_H12
Aatf,1.490055235,1.787222405,1.423057524,1.426372614,2.075179388,1.111845338,1.372574147,1.0212785,1.505343152,1.649856984,1.826315372,1.256845671,1.49716292,1.41851745,2.008894632,1.459843256,1.49830986,1.774091665,1.391752079,0.973393456,1.11550491,1.65625583,1.517370456,1.774734973,1.246806315,1.427505376,1.682712776,1.750805804,0.93679743,1.576913604,1.385802355,0.914825202,1.596598737,1.672989844,1.418520918,1.422105033,1.627225636,1.460289841,1.588965675,1.016503852,1.687025324,1.724233508,1.922225707,1.635735486,1.583799367,1.510351664,1.512578192,1.301949267,1.619655185,1.506363398,1.780475409,1.577805647,1.500723737,1.125883672,1.127239946,1.461861144,1.461751744,1.565926488,1.336972775,1.473381246,1.642067429,1.544492366,1.881997478,1.774023432,1.841892089,1.173434123,0.956807775,1.895569971
Abhd5,0.824920636,1.267409933,0.473786418,0.841600992,1.145774482,1.0139308,1.052225278,0.997807996,0.868602918,2.51637872,1.052517883,1.298838513,0.802439011,1.042670351,0.927399014,0.756877579,1.516184286,0.446494525,0.783340684,0.640242593,1.37852192,1.040427121,1.215554785,0.521279098,0.696745781,1.164418515,0.625995423,0.816295457,1.445271646,0.353522728,1.069175929,1.02599553,1.004844087,0.600112891,0.731218046,1.49768805,0.404043528,0.442170795,0.885580901,0.084360907,1.300150816,0.797780777,1.168206324,0.707846614,1.118956839,0.691693533,0.685560535,1.272047744,0.375424377,0.517248242,0.841525109,0.789916334,0.511628613,0.887651858,1.333953676,1.647427702,1.296732703,1.281519294,0.856381992,1.245467838,1.969690838,0.576930709,0.918630694,1.04710911,0.721917961,1.033668147,0.981056716,0.825121308
Abt1,1.044664003,1.254228304,1.506705606,1.05266839,1.158946435,0.786766912,0.762883451,0.72863369,1.010636799,1.284369377,1.009322725,0.79809127,0.790080307,0.786509097,1.142725018,0.565654884,1.292339789,0.899967264,0.924983678,0.437324992,1.139254648,1.0114998,0.785045651,0.517140439,1.145915211,1.417339329,1.242309308,0.816638123,0.998148463,1.287734766,0.726961986,1.146963544,0.857973399,1.117384669,0.908501656,0.812568906,0.957434266,0.948484304,0.9360283,1.134063242,1.030319391,1.05785303,1.062654539,0.882857146,1.213353036,1.527700573,0.674682941,0.632318132,0.790263066,1.025934699,1.000745331,1.003243193,0.737357539,1.131165181,0.593730897,1.102452297,1.227198353,1.528829963,0.930591286,1.017368212,1.063975,1.137503433,1.432674429,0.953070958,1.055068344,0.976910135,1.199845111,1.213047433
Abtb1,1.129752416,1.463289647,1.878113529,1.608507045,2.002472979,1.621437325,1.355433213,1.418028373,0.628688462,2.343120199,1.265962468,1.491576298,1.489469163,0.878301664,1.283080129,1.073652704,1.299677666,0.688676337,1.054028884,1.758305712,1.143265505,1.203630583,1.883664077,0.962997874,1.543327414,0.768167997,1.489093772,1.230345917,2.089895174,1.901789158,1.0918522,0.635269714,2.1579031,1.960039116,1.039929698,1.627331128,1.529937626,1.029258454,1.563756487,1.510193267,0.908744015,1.383112464,0.864792685,1.459119569,1.53119542,1.081536796,1.775622617,1.79494173,2.243535605,1.680167362,0.862962398,1.73716208,0.812103093,1.11401641,1.983664388,0.983763417,1.660419005,1.958967708,1.424650271,0.965108132,1.811001543,0.85176611,1.440560785,1.544193614,1.820235205,0.623038872,1.179124908,1.175292055
Adam19,0.055266103,0,0,0.063195472,0.035716623,0,0.473041047,0.137533819,0,0.193842583,0,0,0.151321655,0.076078606,0.129361557,0,0.125125488,0.005217367,0,0,0,0,0,0.053435129,0,0.236400845,0.007812719,0.069015213,0,0.006727012,0.113589737,0,0,0.353667745,0.049727918,0,0,0.070500171,0,0,0.135717911,0.334575694,0,0.022532378,0.048870111,0.121557908,0,0,0.208448096,0,0,0.061332809,0,0,0.465216126,0.231447876,0.031197026,0.417032555,0,0,0.387389518,0.1100516,0,0.458398202,0.160656631,0,0,0
Adam23,1.770734543,1.675808926,1.317051457,1.351780933,1.535275276,0.858095813,1.534098381,0.895258948,1.750600284,0.663757461,1.741787222,2.038068536,1.812449158,0.797294638,2.021905989,1.909475631,1.831081931,0.963041002,1.451327015,1.139188137,1.061431812,1.625180159,1.823472186,2.157879838,1.489475091,0.698506758,1.284561001,0.68313865,1.616755266,1.437584452,1.313497142,1.597106683,2.186521104,1.26755067,1.199977836,2.207031566,1.674545736,1.200120777,1.339362859,1.659403054,0.886982925,1.620285919,1.939833446,1.467530662,0.891231673,1.240496582,1.55519002,1.186138812,0.688462188,1.385271302,1.405713825,1.823519562,1.300596716,0.513661988,1.113680381,1.260500139,2.01128975,1.383495144,2.596952192,1.600378183,0.696499487,0.850373669,1.556792211,0.556735179,2.031705888,1.237594162,0.699946708,1.716801699
Adamts9,0.483346484,0.473898628,0.764450677,0.24395626,0.832637981,0.290094183,0.701438997,0.578321743,0.274391263,1.441689266,0.572507588,0.931076738,0.09805325,0.405029221,0.572872377,0.552879815,1.179896544,0.535348832,0.226283526,0.748752764,1.159934171,0.118399057,0.606048491,0.649174466,0.440799204,0.607760333,1.018022904,0.927618971,0.434006278,0.619472748,0.319444366,0.361306324,0.397112698,0.538722522,0.376602389,0.964698656,1.100547511,0.360843557,0.306729572,0.875409346,1.820448973,1.07725803,0.303841768,0.393777222,0.339426888,0.189445953,0.798688704,0.79702201,0.585419319,1.14312055,0.777685441,0.25595372,0.687967757,0.341754744,0.854435745,0.749379399,0.420447133,1.24181455,0.751614352,1.154886405,0.230342173,0.418155827,0.465722157,0.537463247,0.94289218,0.355230351,0.431464238,0.107023609
Aes,1.902554877,1.072711058,1.150211233,1.242564279,1.403939406,1.126624029,1.43939802,0.876209388,1.519465492,1.506067139,1.413110307,1.384086906,1.33695576,1.373007783,1.266704739,0.891136799,1.693551144,0.82446695,1.551329617,1.597518328,1.222265226,1.512980037,1.330325178,1.352870769,1.545628268,0.962131607,1.111340402,1.446229339,0.708569635,1.548251605,1.209227342,1.54232159,1.274813967,0.776783963,0.862283102,1.243378906,1.104189055,0.85175761,1.358889204,1.724328675,1.089894776,1.40784984,1.534598166,1.685415091,1.084960205,1.112547268,1.479641647,1.778204125,0.831155514,1.339071432,1.313298732,1.479381051,1.390453048,0.93616243,0.804434446,1.433996328,1.305039462,1.885271844,1.829433216,0.870911037,1.4093466,1.143553388,1.576399508,1.235042468,1.457648969,0.967577697,1.162611611,1.651229186
Agap3,1.343699476,1.617076384,1.06669593,1.21486354,0.916444666,1.213148567,1.2742114,1.27686229,1.489134627,1.235736159,1.781947998,1.408841952,1.606282537,1.185949312,1.183294558,1.203561833,1.628046893,1.316781405,1.361291021,1.399589222,1.533067815,1.499889615,1.645634836,1.354015451,1.57823728,1.024635727,1.43109159,1.23137155,1.396436571,1.620837321,1.38086147,1.381540442,1.078190296,0.901370046,1.232708101,1.614521296,1.537885667,0.924296481,1.513000424,1.69742661,1.667609813,1.436672131,1.208582939,1.563605896,1.550991429,1.293639945,1.186109553,1.604206074,1.389305718,1.099922465,1.133800682,1.081648189,0.885368525,1.161490351,0.906369478,0.901504402,1.318999687,1.529905662,1.23186193,1.004846601,1.649028566,1.594719305,1.280826933,1.341641494,1.111200013,1.306657863,0.941548489,1.18676338
Aip,1.692519704,1.396358629,1.326433886,1.800253574,0.801317766,1.009941031,1.741933583,1.604137644,1.357391512,1.634970928,0.906081705,1.749662872,1.434419189,1.839572254,1.706678156,1.51435673,1.882354783,1.138034812,1.41736416,1.101387928,1.492509063,1.140961398,1.678974662,1.628643548,1.578328922,1.464569879,1.096373426,1.412204918,1.236352909,1.726956156,1.571030743,1.466300587,1.592528345,1.326797901,1.233452309,1.65414058,0.947612565,1.390640318,1.256597617,1.609774875,1.497291396,1.554423826,1.785890475,1.755168151,1.45590557,1.450548644,1.565139316,1.128564976,1.302568795,1.670745312,0.986667785,2.287963789,1.498917619,1.749840612,1.493861774,1.7024087,1.79884948,1.656823868,0.770374171,1.539977506,1.080785466,0.899785041,1.711579304,1.051376489,2.117057959,1.73039481,1.183798356,1.34845534
