RamDA_mESC_24h_A04,RamDA_mESC_24h_A05,RamDA_mESC_24h_A06,RamDA_mESC_24h_A08,RamDA_mESC_24h_A09,RamDA_mESC_24h_A10,RamDA_mESC_24h_A11,RamDA_mESC_24h_A12,RamDA_mESC_24h_B01,RamDA_mESC_24h_B02,RamDA_mESC_24h_B03,RamDA_mESC_24h_B04,RamDA_mESC_24h_B05,RamDA_mESC_24h_B06,RamDA_mESC_24h_B07,RamDA_mESC_24h_B08,RamDA_mESC_24h_B09,RamDA_mESC_24h_B10,RamDA_mESC_24h_B11,RamDA_mESC_24h_B12,RamDA_mESC_24h_C01,RamDA_mESC_24h_C02,RamDA_mESC_24h_C03,RamDA_mESC_24h_C04,RamDA_mESC_24h_C05,RamDA_mESC_24h_C06,RamDA_mESC_24h_C07,RamDA_mESC_24h_C08,RamDA_mESC_24h_C09,RamDA_mESC_24h_C10,RamDA_mESC_24h_C11,RamDA_mESC_24h_C12,RamDA_mESC_24h_D01,RamDA_mESC_24h_D02,RamDA_mESC_24h_D03,RamDA_mESC_24h_D04,RamDA_mESC_24h_D05,RamDA_mESC_24h_D06,RamDA_mESC_24h_D07,RamDA_mESC_24h_D08,RamDA_mESC_24h_D09,RamDA_mESC_24h_D10,RamDA_mESC_24h_D11,RamDA_mESC_24h_D12,RamDA_mESC_24h_E01,RamDA_mESC_24h_E02,RamDA_mESC_24h_E03,RamDA_mESC_24h_E04,RamDA_mESC_24h_E05,RamDA_mESC_24h_E06,RamDA_mESC_24h_E07,RamDA_mESC_24h_E08,RamDA_mESC_24h_E09,RamDA_mESC_24h_E10,RamDA_mESC_24h_E11,RamDA_mESC_24h_E12,RamDA_mESC_24h_F01,RamDA_mESC_24h_F02,RamDA_mESC_24h_F03,RamDA_mESC_24h_F05,RamDA_mESC_24h_F06,RamDA_mESC_24h_F07,RamDA_mESC_24h_F08,RamDA_mESC_24h_F09,RamDA_mESC_24h_F10,RamDA_mESC_24h_F11,RamDA_mESC_24h_F12,RamDA_mESC_24h_G01,RamDA_mESC_24h_G02,RamDA_mESC_24h_G03,RamDA_mESC_24h_G04,RamDA_mESC_24h_G05,RamDA_mESC_24h_G06,X,RamDA_mESC_24h_G07,RamDA_mESC_24h_G08,RamDA_mESC_24h_G09,RamDA_mESC_24h_G11,RamDA_mESC_24h_G12,RamDA_mESC_24h_H01,RamDA_mESC_24h_H02,RamDA_mESC_24h_H03,RamDA_mESC_24h_H04,RamDA_mESC_24h_H05,RamDA_mESC_24h_H06,RamDA_mESC_24h_H07,RamDA_mESC_24h_H08,RamDA_mESC_24h_H09,RamDA_mESC_24h_H10,RamDA_mESC_24h_H11,RamDA_mESC_24h_H12
0.962318762,1.10110075,1.160724564,0.702420824,1.691180715,1.621188272,1.529346885,0.88704439,1.036052801,1.280513588,1.355602069,1.35752173,1.457098995,1.836524239,1.102382522,1.823193564,1.303733544,0.942816942,1.380100775,1.472336832,1.519767978,1.175425106,0.969061872,1.423649977,1.794791344,0.860461994,1.161934913,1.519314663,1.566239808,0.891483461,0.919289523,0.657407108,1.339640883,1.649654305,0.988688065,1.387050514,1.456087989,1.202903256,1.259816466,1.589253309,1.411504175,1.190262617,1.212233037,2.039461976,0.734214415,1.346004248,0.954453278,1.826008627,1.673819756,1.491388129,1.42169683,1.8057106,1.399590328,1.332042629,1.104602765,1.251240229,1.361447369,1.630547133,1.179297806,1.076022413,1.260862748,0.911242127,0.865703533,1.085597417,1.322076869,1.434194629,1.145672893,1.719876478,1.326554139,0.976580653,1.33773839,1.2453436,0.759183852,Aatf,1.099583482,1.112354077,1.333040546,1.406136904,1.763976144,1.269684969,1.543308283,1.762530857,1.973915913,0.878765142,1.38760135,1.605552557,0.825370262,0.994630612,1.638337105,1.280174588,1.258770622
1.255936885,0.724776488,1.097818484,1.241237155,1.043905869,0.226788862,1.196657448,0.513461506,1.378691221,1.592296807,0.93881836,0.378811813,0.912272413,1.041245067,1.665293775,1.453105221,0.953031618,0.478598505,1.241827047,1.615035548,0.836055153,1.058196754,1.202848436,1.31926048,0.761068002,0.560063878,1.69950997,0.99537238,1.150132019,1.776787793,1.442405776,1.782073226,1.405607539,1.022931953,0.892063527,1.321035693,1.655243893,0.903081271,1.308029678,0.961128894,1.33594505,1.463516577,1.036716372,0.856236315,1.437047427,1.635339005,2.119734222,0.906335787,0.614004222,0.957840187,0.599644997,1.162090229,1.179470612,1.130018351,1.409585577,1.589005034,0.819459691,1.85508023,1.282412265,1.253340784,0.721151526,0.829959911,0.662776888,1.355368476,0.963652309,1.255915197,0.498516527,1.445186625,1.474199488,0.988402117,1.3499576,0.929461084,0.599909801,Abhd5,1.140745976,1.784000589,1.889857351,1.852162947,1.747410579,0.951097567,1.084588883,1.479593808,1.202605223,1.266636191,1.254167652,0.851728604,1.080144507,1.256479271,1.139847123,1.130827878,1.107486238
1.158101155,0.918862325,0.951212869,0.628909845,0.936642803,0.93688609,1.355755986,0.931261272,0.81949211,0.933485813,0.863648839,0.954724768,0.843497794,1.049930923,1.198020577,0.769084203,0.920845865,1.366702674,0.775986053,0.908366083,1.094925528,1.12721129,0.564482547,1.080740985,1.008114233,0.776080469,0.957947841,0.746145145,1.300394834,1.146217019,0.288193619,0.904818913,1.315567951,1.056077928,0.780428584,0.673755643,1.046811061,0.903726113,0.925757096,0.827264625,0.807909167,1.147530275,1.227917496,1.204938596,1.07176402,0.492700478,0.766573671,1.132386017,0.909709071,1.324848754,0.791272129,0.9443218,0.624370523,0.984555955,0.745252446,0.802673814,0.712535069,0.871315056,0.52770908,0.43299366,0.879281387,1.458049308,1.264793751,0.842925917,1.197474375,1.393595223,0.654369901,1.02443021,0.912156069,0.99235585,0.72810122,1.269091356,1.048348408,Abt1,0.992371691,1.089523637,1.288455751,0.989170219,1.205073664,0.926501844,0.689808353,1.169009644,1.115726347,0.862631391,0.53469203,0.935296474,0.616049055,0.298622476,1.336774919,1.091212189,0.993183802
1.481042405,1.996525529,2.694284316,1.753855884,1.996444928,2.41510033,0.747200034,3.077923777,1.303845361,2.55053594,0.718812293,1.678938254,2.269733808,2.073741898,1.466944579,2.36245968,1.068285598,2.413219141,1.62143687,1.687656281,1.65129772,1.821200829,1.470770898,2.086564747,2.003307848,2.485106627,1.677263307,2.212809515,2.3194528,3.09911095,2.063628275,2.02574334,0.241534559,1.975143107,1.822401078,1.493481444,1.618784179,1.366034126,2.526973114,2.070784474,2.47149179,0.649051271,2.946322612,2.181821262,1.117828645,1.107373159,2.110338651,1.81138065,1.642691927,2.500903719,3.218096546,2.582566306,1.014786833,1.17238617,2.167721622,2.00560105,1.516112815,3.145027039,2.932282189,1.707794468,2.194644556,3.052900459,2.863903874,1.754657148,1.725666933,1.614628752,2.081712297,1.289110134,2.520815841,1.653030873,1.261636892,1.347512503,1.104584314,Abtb1,1.869283064,1.832357468,1.169688135,2.420072238,1.273418262,1.216483968,2.521377957,2.25741906,1.549778726,1.651571312,1.530209934,1.800420909,2.208444106,2.55825914,1.451110694,1.403661956,2.491905974
0.587983085,0,0,0.221493339,0.204979403,0.06525573,0.102446189,0.127025862,0.298069388,0,0,0.291546021,0.140916408,0.321735932,0.374089573,0.528437969,0.601043082,0.626745576,0.226956238,0.320710012,0.671291613,0.160081262,0.572327806,0.361392453,0.122355911,0,0.165738857,0.350432283,0.702587837,0.392711237,0.35651864,0.599112311,0.274289573,0.058818406,0.238124382,0.377961871,0,0,0,0.363386634,0.364916942,0.857878054,0,0,0,0.210952858,0.492272024,0.010810202,0.514427541,0.139032365,0,0,0.396139892,0.196061417,0.276664842,0.180604751,0.175044682,0,0.831136709,0,0.011894339,0,0,0.14498206,0,0,1.31632887,0.316011402,0.402917346,0.54134332,0.281233218,0.094994576,0.502667561,Adam19,0,0.107601527,0.317263249,1.077927584,0.33183773,0.700935992,0.31374771,0.251044817,0,0.169379551,0,0.199888014,0,0.008469885,0.251911665,0.383446184,0.136301582
0.697236111,1.065134986,1.441260896,0.220215296,0.315578466,1.122244724,0.614433497,0.51630896,0.222742006,1.498879381,0.813237277,0.677599639,0.757496002,0.379415541,0.661089202,1.174204412,0.613225787,0.982578677,0.564353409,1.159533103,0.405089285,0.320800201,0.178644384,1.102816832,0.637479399,1.344058136,0.886026578,0.495644675,1.020902235,0.725812467,1.316600342,1.3369358,0.423553878,0.156078559,0.413781856,1.062918065,0.761934075,0.652463236,1.483604662,1.063022811,0.375104023,0.779291615,1.832984862,0.336286196,0.394274844,0.634823233,0.565420656,0.597250739,0.693991759,0.288922563,1.488544688,0.473497068,0.239277887,0.72727688,1.168187962,1.293627969,0.672356348,1.845038467,0.174068605,0.395043962,0.881124831,1.146447107,1.143626011,0.513944587,0.88187724,0.479254538,0.3815452,0.552367821,0.586323018,0.641718824,0.702457134,0.949042129,0.007306223,Adam23,0.800337355,1.102893423,0.709051547,0.48622999,0.248179866,0.603966275,1.379993611,0.01270561,0.456193223,0.187906586,1.074660092,0.607878011,0.898868522,0,0.998717753,1.254676514,1.514876509
0.662996188,1.021618711,1.578704007,0.852648241,0.933220108,1.592986798,0.565473717,2.005653495,0.708885452,0.471541066,1.709628158,0.67726929,1.244039586,1.055989265,1.705179173,1.603449285,0.889111354,0.308599651,1.169137562,0.816267345,1.890985549,2.286570503,2.950120492,1.878480246,0.843854495,0.999338088,2.368234003,1.085373803,1.485322678,1.018001957,1.884125426,0.870066688,1.99643461,1.318885236,0.963005462,1.075818514,0.111502485,0.563002721,0.758133257,1.56195437,0.952861932,1.443939187,0.814012966,0.608997233,1.413417088,2.322188602,2.016302414,1.305375988,0.912888507,1.119082219,0.866186446,0.535002311,1.242360674,1.44261973,1.053062734,0.943858316,1.031974846,0.230087067,1.465301324,2.198665065,1.39315031,1.256079089,1.437762148,0.573061293,1.19376474,0.631612535,1.868132454,1.572033783,1.834460935,0.732075011,0.881278143,0.151383433,0,Adamts9,0.979328947,0.645339206,1.173160841,0.987801705,1.791137612,1.323566918,0.306804404,1.311122195,0.768161388,1.387817843,2.068851174,0.930633891,1.177594138,0.510276178,0.669369938,1.613255466,1.631168969
1.499375383,1.106433658,1.559500401,1.480634258,1.263802236,1.159648218,0.829672493,1.375947872,1.022099239,1.202674187,1.283341315,1.299530339,1.52889866,1.360011343,1.26508524,1.020051382,1.449165209,1.359871889,1.244675113,0.929610606,1.416667897,1.598799623,0.970162854,1.216289876,1.834109371,1.31022326,1.199516493,0.873867986,1.557603984,1.354176308,0.814886444,1.275235422,1.090760052,1.110674795,1.08780585,1.479317199,1.360454069,1.030354898,1.605742901,0.756382872,1.016627639,1.039882729,1.310654196,1.311732562,1.358504864,0.969123052,0.813886291,1.285576464,1.096024356,0.978784576,1.546681489,1.241838406,1.447483664,1.477606199,1.713208663,1.274868575,1.275776679,1.428014208,1.33533191,1.18286441,1.476054801,1.628005387,1.138005911,0.843822666,1.465801521,0.987003938,1.173706749,0.941511896,1.411242707,1.456009572,1.071250078,1.030010516,1.352620714,Aes,1.162569257,1.237870904,1.158856015,1.32773981,1.402955937,1.393809664,1.147606973,1.061594889,0.689424136,0.972757105,1.209223949,1.10700161,1.166490678,0.610116345,1.161536664,1.041193334,1.38534126
1.050731676,1.426817297,1.64543345,1.372510018,1.055312007,1.602977835,1.719577769,1.613422343,1.440760664,1.387669889,1.733681792,1.498558874,1.862180773,1.595643079,1.454897197,1.498347635,1.312615246,1.44372407,1.658436898,1.206868768,1.275612546,1.940055881,1.546405898,0.916278276,1.552867292,1.534321647,1.576826654,1.561165522,2.084190605,2.079246987,1.664374518,1.426382795,2.014684207,1.233034165,1.822079334,1.589228836,1.514612207,1.063763494,1.503141243,1.569226193,1.508554333,1.765907527,1.293124875,1.692126963,1.399362768,1.781576166,1.794287209,1.341876926,1.624313032,1.624994323,1.336142774,1.208812544,1.712529537,1.554461593,1.921465311,1.780264408,1.185120536,1.371266087,0.958481159,2.132903894,1.958863573,1.765305474,1.269584856,1.109991619,1.440053563,1.383353902,0.589546202,1.796557208,0.83962475,1.620132805,1.384075446,1.301974137,1.56850953,Agap3,1.563325271,1.022821259,1.396875177,1.713731615,1.591094594,1.936771243,2.026055043,2.022989578,1.767372626,2.26405208,1.077640868,1.588105467,1.117147389,1.743277623,1.659081752,1.800404608,1.674952593
1.332279227,1.387017389,1.432346783,2.001122321,1.4452366,1.774540959,1.175164238,0.874772456,1.299272349,1.697279944,1.189150323,1.48215874,1.867116954,1.05480828,1.532827608,1.433560651,1.604036715,1.454598189,0.987941266,1.250066111,1.468053432,1.573448599,0.879068122,1.487439135,0.443205277,0.596690276,1.201932373,1.724018708,1.574370472,1.808100764,1.542038259,1.356288723,1.186298264,1.336374729,1.507267893,1.698976736,2.056013603,1.684619664,1.545654133,1.943133743,1.7344367,1.613364431,1.621509372,2.038821189,1.345837206,1.861586235,1.476412863,1.628413064,1.068657073,1.408521303,1.759044773,2.103448426,2.531884364,1.317954334,1.268746905,1.495920477,1.830640713,1.51084073,1.212944953,1.517070118,1.222832476,2.13690431,1.120318965,1.320724039,1.834067212,1.050217086,1.797352739,0.973184588,1.591743937,1.360593761,1.64333492,1.375674905,1.701460558,Aip,1.680490676,1.724495463,1.7236213,1.470168322,1.78712111,1.000542702,1.424654234,1.718278698,1.330913117,1.148936844,0.665446653,1.061718288,1.112712396,1.096423575,1.304073029,1.459117667,1.888713893
0,0,0.017347318,0.085587607,0,0,0,0.07462916,0,0,0,0.054853745,0,0.053409758,0.026810531,0,0.018608687,0.072689105,0.191922466,0,0,0.101958801,0.052124986,0.152265593,0,0.160161915,0,0.056202905,0.16778159,0,0.2290862,0,0.084320152,0,0.059574666,0,0.013442593,0,0.191661035,0.031887654,0,0.104281217,0.0178881,0.066823597,0.021752382,0,0.142207531,0.033716538,0.129625922,0.057761258,0.027049273,0.051032807,0,0,0,0,0.042932793,0.156163293,0.017735406,0.046978907,0,0,0.092655578,0.09796057,0,0.116039817,0.041941059,0,0.020786401,0,0.044799572,0.075684626,0.024309654,Aire,0.01441947,0.184270041,0.002163458,0,0.047444899,0.025251293,0,0.155865954,0,0.06283799,0.042146392,0.108595345,0,0.029723444,0.047541139,0.101829948,0
1.830464141,0.454094959,1.403571346,2.424390747,2.515194892,1.246650112,1.949619781,1.928923703,1.62047832,1.198961468,2.206545259,1.815245184,2.110593888,2.277358173,2.321958058,2.414742712,1.337802529,2.549840227,2.334312005,1.909332922,2.043556233,1.769402755,1.838498781,2.512486646,1.020568801,0.895106976,1.554471549,2.99919373,3.252450378,2.202000111,2.23347271,1.356626341,1.679927922,2.45034823,2.707114004,2.317831771,1.720140293,2.401218333,2.767158029,2.488196961,1.40960629,2.554733359,2.13240591,1.207046315,1.364541909,1.560153965,1.519144571,1.999702954,3.138613936,2.456345922,3.029673444,2.534384645,2.579516146,1.998648832,2.824621146,2.061477551,2.591585017,1.442738362,2.158958433,2.669817533,1.318697187,0.278966175,1.021277907,1.675099103,2.006275343,1.738328842,2.524908887,2.635370033,1.791050457,3.128042645,2.115748418,2.119001773,2.962461844,Akr1b8,1.0194806,2.331355204,2.345430036,2.558479129,2.750448917,2.610359451,1.60849376,2.001192991,1.5181673,2.180580122,1.37585954,3.034078874,3.543049548,1.586092375,2.423100921,1.789185629,2.346336097
2.413285985,1.760577013,2.214029792,2.120740924,2.539368114,2.174966894,1.997550076,2.036819333,2.172161317,1.155079637,2.010038238,2.014655046,2.555389911,2.340314315,2.031231243,1.295790846,2.578015481,2.04102718,2.491324111,2.42959744,2.553673593,2.584708199,2.860403099,1.800118931,0.827075115,1.918755649,1.308091144,2.77658708,2.482334783,1.28324187,2.619888823,2.05213514,2.63278583,2.438597191,2.949675457,2.109748582,1.804724004,2.376291159,1.596809958,1.978679342,1.695213027,2.171083571,1.861839573,1.1899591,1.626196685,2.468059489,2.229359319,1.681456948,1.498680427,1.64544299,2.028846153,2.449954556,2.617095283,2.099338385,1.630992314,1.591120916,1.182054656,0.683531784,2.178280844,2.126895057,2.719159864,1.314538664,1.338141557,1.893733053,2.419939135,2.155491629,1.477375855,2.294547999,0.98629243,1.630704272,2.278267837,2.575737711,3.06757027,Akt1,2.14045987,1.439377524,2.833456104,2.057871321,1.729528597,2.40773977,2.261332124,2.435072262,2.710408976,2.548275794,2.218374537,3.529041789,2.224516755,1.43143715,2.721692545,3.03978151,1.964243333
2.269704097,1.350584197,2.00914621,2.188613736,2.285900128,2.852719151,1.701708041,2.548408242,2.062181135,3.317985774,1.883676462,1.231348925,2.935919463,2.615839394,2.917828736,1.791481087,1.976563907,3.220787674,1.961067528,1.417508583,1.644772182,2.126129856,1.115423422,2.938235992,3.745694972,2.535807346,1.537248552,1.864537386,2.410114208,2.765802127,2.372524616,2.712037717,1.676816171,2.01754234,1.846603214,2.572723318,1.576620789,2.094420226,3.678819014,1.521674391,3.061845412,1.914409051,2.637952759,2.378008392,2.409894342,2.72602941,1.240312648,2.629533031,2.817864004,0.81323188,4.236818682,2.249630524,2.565457211,2.164745974,1.562836959,1.914345687,0.119088872,3.492241483,1.995895393,1.950305782,2.381279831,4.940830297,2.737502208,3.079123035,2.17694297,1.673763812,2.207447472,2.184308764,2.300095868,2.426392537,2.022252551,2.579738382,2.619327682,Alg13,3.044609713,2.662028402,1.909188148,2.276735123,1.322338171,2.381151569,2.663571664,2.31211277,2.697508922,3.031980271,2.300572681,1.430457898,3.842851371,2.8287477,1.327324879,2.467089228,3.380870583
0.301712503,0.518376938,1.390696328,0.669944689,0.751515969,1.273552303,1.050990526,1.144525189,1.088557335,1.357106102,1.107327074,1.084723116,1.615520814,0.886806067,0.457660644,0.966746906,0.56045244,0.815685303,1.459321895,0.546436682,0.884748269,0.441460828,0,0.45062729,2.450889972,1.045979975,1.292135938,0.842728747,1.193563327,0.962621803,0.625254384,1.494546845,1.03051853,0.581902866,0.906320484,1.188209108,1.241206049,1.807841067,1.409585168,1.504704294,0.67452769,0.835393774,0.760758459,2.543329385,1.024153797,1.725270642,0.723312413,1.288257517,2.129421951,0.490555023,1.973049246,2.288025244,0.422000034,0.947990204,1.349164072,0,0.373985392,2.6605335,0.560798761,0.714338463,1.974867422,1.848135943,1.768703531,0.243913429,1.283603587,1.12317414,0.467890252,0.88258328,1.687039137,0.845327276,0.643885537,1.184276246,0.273426776,Alpl,1.10820451,1.031433556,0.500979056,1.203047375,0.990213146,0.906456238,0.7338996,0.32420609,1.136468558,0.391915141,1.562212149,0.991584298,1.258199553,0.766988836,0.148042629,1.059032504,0.492869941
1.459701984,0.753559877,0.743364396,1.432561217,2.366049636,2.030154309,0.936009133,1.970253686,0.858689276,2.990476955,2.14993211,1.898466822,2.577842098,2.405229465,1.894166288,1.8116663,2.486102801,3.541225054,2.291177974,0.996233904,1.751103191,1.831112925,0.691597282,2.098499486,1.246403601,1.156285459,1.969100925,1.382481417,2.066476905,1.612689905,2.119670016,2.69193682,0.652929587,1.835866871,1.584522944,1.452351874,2.649640111,1.862235535,1.701497702,1.599849321,2.562971763,1.292542834,1.762394375,3.291809836,2.505333397,1.735505763,2.125485289,2.146306532,1.615798295,0.251829863,2.450665758,2.458044335,1.80419959,2.440755504,0.839446825,1.994653715,0.05599514,1.281168217,1.358809457,1.74632461,1.293824783,1.898292127,1.85638459,2.880439395,1.068062753,2.426322805,2.18085931,1.623738831,2.386059027,2.156499274,1.854083896,0.658362906,1.106069271,Amot,2.27716476,1.994214532,1.367960468,1.212687329,0.276144626,2.449224052,2.765857961,2.086981725,1.393731082,1.992698985,1.843009368,0.551779367,2.333594613,2.799110947,1.449457219,2.625901986,2.422066705
4.467182372,3.354723909,3.253485439,2.770617667,3.995339845,3.076861243,2.866445239,2.969023008,3.634401177,3.242791348,2.666231157,3.643733365,2.886519855,3.905333809,3.749951986,4.323937714,2.79471515,3.556267547,3.490703669,3.243300839,2.696903699,2.375248211,3.325799636,4.124385234,2.194276879,3.870363239,2.746646771,3.269922454,3.259406067,2.796601884,2.802402673,2.568326303,3.790915042,2.968528296,3.309432928,3.246357586,1.866640339,3.747217063,4.058379292,3.927012832,2.505711482,2.729479284,2.406046804,2.538909305,3.95583514,2.778246883,3.074943027,3.228977585,4.355348903,3.410186988,2.860706497,1.919684403,3.566330346,3.608443093,2.712600533,3.553740509,3.700518298,3.033254953,3.399692459,2.94625072,3.520458332,1.501159037,4.176998773,3.071372268,3.482119553,4.23738822,3.992679572,3.549149915,3.555528856,3.810470197,3.663074222,3.888192356,3.940252433,Amotl2,3.087314385,0.611229681,3.544810983,4.060878951,3.741395061,3.558286963,2.74934616,3.483707808,2.550647173,3.714791135,3.695955463,3.938157247,3.330698997,3.451608918,3.854780585,3.71258707,3.202151151
2.15910444,1.138058605,1.63908352,3.00319087,2.73568015,2.088001579,2.954025872,2.367190168,2.631114456,2.390116748,2.967573344,1.708267774,2.303271987,3.03622181,2.172385425,2.994476475,3.397674899,1.846991536,3.120023076,3.13969157,2.242815096,2.647764879,2.88052973,2.483892018,2.026728457,3.279773709,3.380564448,2.804157574,2.637903325,2.706618802,2.645698641,3.366484405,2.918360547,2.888416084,2.832830742,3.314262635,1.926869298,3.323357367,1.639931696,2.775147509,2.799271337,3.191616825,2.314849841,2.826050314,2.510288961,3.13794966,2.13902693,2.517528401,2.736880209,3.277115152,2.500524065,2.768791528,2.431128375,3.199559142,3.047874312,3.151771394,2.785017938,2.537460549,3.148543894,3.068540611,3.1497313,1.398900901,2.24762067,3.401084835,3.204477444,2.467235603,1.941806626,2.607314935,2.747923788,3.055350324,2.945658865,3.099538282,2.723655741,Ampd2,2.250963743,2.04759359,2.478540188,3.18187825,3.346122607,1.706028962,2.879853623,3.328953024,2.326431039,3.315901556,2.332686872,2.779374917,3.044864437,2.033247474,1.590670049,3.129264099,3.345173869
0.176030296,0.314324336,0.520844397,0.041074,0.36415382,0.248181441,1.097851858,0.76981579,0.573208403,0.732905353,0.266384048,0.51701624,0.615462897,0.031515053,0.915213987,0.880284813,0.902506521,0.804019503,0.84478171,0.606941427,0.782357163,0.017392309,0.536298991,0.812857089,0.700649614,1.009877749,0.598332468,0.461900597,0.339494153,0.611762614,0.307711826,0.334577994,0.2293172,0.382491692,0.343592896,0.380004016,0.609567617,0.588257191,0.592381959,0.438487234,0.87728627,0.806692003,0.889354454,0.677206093,0.419787358,0.503097728,0.250347997,0.701518847,0.655972889,0.760896438,0.781854343,0.335251409,0.105496267,0.541951037,0.59608463,0.102727798,0.265624173,0.609514838,0.312850722,0.474603757,0.30350846,0.187985049,0.232479715,0.414558177,0.966724741,0.364397566,0.333096927,0.247572498,0.740576368,0.33399076,0.859952917,0.622763669,0.374300654,Ankrd49,0.513073331,0.678782125,0.626953538,0.633193324,0.741516829,0.574890625,0.367504691,0.228025732,0.917332129,0.601608415,0.516113438,0.519489162,0,0,0.582178895,0.535475827,0.541449421
