RamDA_mESC_48h_A04,RamDA_mESC_48h_A05,RamDA_mESC_48h_A06,RamDA_mESC_48h_A07,RamDA_mESC_48h_A08,RamDA_mESC_48h_B01,RamDA_mESC_48h_B02,RamDA_mESC_48h_B03,RamDA_mESC_48h_B04,RamDA_mESC_48h_B05,RamDA_mESC_48h_B06,RamDA_mESC_48h_B07,RamDA_mESC_48h_B08,RamDA_mESC_48h_B09,RamDA_mESC_48h_B10,RamDA_mESC_48h_B11,RamDA_mESC_48h_C01,RamDA_mESC_48h_C02,RamDA_mESC_48h_C03,RamDA_mESC_48h_C04,RamDA_mESC_48h_C05,RamDA_mESC_48h_C07,RamDA_mESC_48h_C08,RamDA_mESC_48h_C09,RamDA_mESC_48h_C10,RamDA_mESC_48h_C11,RamDA_mESC_48h_C12,RamDA_mESC_48h_D01,RamDA_mESC_48h_D02,RamDA_mESC_48h_D03,RamDA_mESC_48h_D04,RamDA_mESC_48h_D05,RamDA_mESC_48h_D06,RamDA_mESC_48h_D07,RamDA_mESC_48h_D08,RamDA_mESC_48h_D10,RamDA_mESC_48h_D11,RamDA_mESC_48h_D12,RamDA_mESC_48h_E02,RamDA_mESC_48h_E05,RamDA_mESC_48h_E06,RamDA_mESC_48h_E07,RamDA_mESC_48h_E08,RamDA_mESC_48h_E10,RamDA_mESC_48h_E11,RamDA_mESC_48h_E12,RamDA_mESC_48h_F01,RamDA_mESC_48h_F02,RamDA_mESC_48h_F03,RamDA_mESC_48h_F04,RamDA_mESC_48h_F05,RamDA_mESC_48h_F06,RamDA_mESC_48h_F07,RamDA_mESC_48h_F08,RamDA_mESC_48h_F09,RamDA_mESC_48h_F10,RamDA_mESC_48h_F11,RamDA_mESC_48h_F12,RamDA_mESC_48h_G01,RamDA_mESC_48h_G03,RamDA_mESC_48h_G04,RamDA_mESC_48h_G05,RamDA_mESC_48h_G06,RamDA_mESC_48h_G07,X,RamDA_mESC_48h_G08,RamDA_mESC_48h_G09,RamDA_mESC_48h_G10,RamDA_mESC_48h_G11,RamDA_mESC_48h_G12,RamDA_mESC_48h_H01,RamDA_mESC_48h_H02,RamDA_mESC_48h_H03,RamDA_mESC_48h_H04,RamDA_mESC_48h_H05,RamDA_mESC_48h_H06,RamDA_mESC_48h_H07,RamDA_mESC_48h_H08,RamDA_mESC_48h_H09,RamDA_mESC_48h_H10,RamDA_mESC_48h_H11,RamDA_mESC_48h_H12,
1.254612187,0.629566597,1.011601882,1.737932398,0.462221608,1.191779996,0.935527393,0.826380802,0.649290177,0.755974049,1.018593666,1.419731391,1.229406179,0.934899357,0.687899536,1.199221346,1.453191133,0.94236143,1.182087323,0.799720623,0.775812225,1.230243455,0.724645441,1.289669989,0.892361628,0.766181585,1.461974573,0.995876977,1.414525278,0.79238756,1.014845476,0.819860037,0.765142817,0.942384784,0.18679365,0.80050855,1.265410604,1.37657406,0.975039021,1.06144572,0.947902128,0.67529309,0.471454821,1.20163691,1.144301668,1.208846795,1.50493836,0.968530228,1.337620198,0.835055276,1.111592625,0.925221867,1.081969463,0.558517835,1.042732736,0.734664279,1.311640349,0.96097839,0.841206056,1.533459087,0.634737178,1.176250652,1.126968541,0.928404981,Aatf,0.886146953,0.842785774,0.837430447,1.360297705,0.983165275,1.840899198,0.9553205,0.885117384,0.723911842,0.933561227,1.688861765,1.120390747,1.005707518,1.020509942,0.96505667,1.066116313,1.163654061,
2.673948723,2.838310114,2.733011412,2.415714849,2.137209616,1.344218254,2.584468158,1.959725579,2.163254015,1.820416778,1.860847793,2.731795987,0.908825844,2.577769268,2.537417613,2.949983967,2.372325839,2.048256272,2.740636161,3.175377636,0.711203508,1.107205377,2.830350281,3.220112639,0.862291072,2.223464451,1.940303722,2.433756989,1.168249042,1.699759869,2.511668196,2.426041244,2.447154136,2.609861033,2.444198682,3.143642635,1.449252085,2.466090191,1.815733674,2.083984051,2.468105948,2.71657711,2.624179994,2.200446883,2.998758457,2.214145261,2.971552354,2.029459278,1.930708022,3.207134901,1.963940328,2.26023645,2.152205845,3.091953095,1.803954033,1.528975428,2.231066947,2.933587557,3.173567615,1.572137638,2.540654031,3.612754378,2.079894078,2.846092548,Abhd5,2.815202963,2.816672003,2.166319942,1.378551815,1.137932873,2.304532969,2.464776165,2.476648736,2.110250321,2.765222791,1.950419052,2.161749046,2.845325737,2.338103068,1.464262985,2.160228019,2.12727381,
0.687649661,0.55727154,0.638921649,0.808653795,0.59835825,0.380157195,0.687372361,0.751499534,0.791496323,0.612022485,0.424276572,0.837868617,0.863584603,0.740520561,0.75800981,0.694799816,0.432137121,0.726868603,0.69663682,0.986967139,0.989765226,0.950945021,0.647932885,0.404174648,0.898271961,0.86608084,1.013541715,0.711567922,0.406698267,0.794346018,1.067110693,0.740145064,0.663771497,0.587610347,0.536743893,0.78588537,0.549842645,0.743683826,0.441081822,0.941203646,0.307164275,0.982599229,0.491170774,0.768623645,0.925935725,0.935279143,0.859252983,0.900559404,0.820205754,0.977889767,0.933967834,0.658295317,0.87139151,0.697542844,0.911071011,0.716519707,0.915006968,0.858633622,1.107330254,1.564568515,0.910800069,1.033733452,0.785905171,0.369571823,Abt1,0.838377207,0.69761245,0.855463004,0.472164147,0.945104024,1.260885167,0.969181705,1.22974772,0.607300497,0.725157043,0.846937386,0.854114832,0.74518764,0.64712901,0.731870712,0.696817109,0.457930027,
1.786869033,1.52113923,1.11660985,1.020660835,1.793972895,1.774642797,1.273373985,1.046148402,1.723155847,0.656964073,1.306997987,1.913253043,0.613184999,2.61774555,1.634940628,1.839199502,2.981676839,1.978050381,1.885231075,1.743836808,3.326516366,1.976750065,1.716115436,0.050062603,2.109596506,1.192299414,1.773757254,1.725964857,2.017201419,1.33663916,0,1.824521067,2.329247392,1.395764678,1.85488261,1.367206265,1.79741295,1.816139988,2.527275732,0.826214854,1.815695952,1.722717736,1.176985306,1.359899807,1.390859417,2.174447322,0.709172796,0.577938292,1.003250756,2.08247109,0.784126676,2.059741668,1.721982358,2.03383321,0.678825059,1.088183133,1.161077361,1.929066526,1.786834193,1.857699391,0.904374036,1.570131119,1.005791907,1.704442419,Abtb1,1.065482976,1.375374081,1.326019379,1.446547961,1.727711996,1.503593084,1.311430673,1.817408123,0.486065044,1.304444492,2.156207855,1.41913811,1.563815878,1.742625215,1.368373238,2.310050097,2.580262264,
2.337857517,2.172432655,1.254257115,1.598859507,0.407063973,1.698931921,2.159055041,1.475069433,1.697232763,1.612731586,1.669116554,1.302185605,0.605264155,0.988074779,2.108163127,1.323712539,1.417254385,1.253307146,2.349219294,2.056598923,0,0.227539143,1.82850458,2.064095793,0.641803512,1.342738284,0.908189744,2.59872394,0.975514189,1.959412254,1.388417415,1.784637145,2.695459312,1.629513147,1.439457897,2.524247126,0.622673158,0.779715979,0.06310931,1.343679011,1.198701076,1.806642983,1.743417706,1.48710683,2.297402985,0.985433564,2.158424617,1.135490908,1.014155503,2.584916199,1.684388349,1.319233997,1.968532308,1.820759042,0.915950347,1.855562812,1.403061237,1.903152014,2.691180222,0.989131265,1.59550374,2.099382095,1.591780396,1.932803123,Adam19,1.968070055,1.252189693,2.249714181,1.000237103,1.724458187,1.396950711,1.705317472,1.9115076,0.810254146,1.689838862,1.573653748,1.317152173,2.58263345,2.026848035,0.869581186,1.229255875,0.722497496,
0.22595291,0,0,0.009269302,0.011462117,0.25246228,0.011907653,0.011039708,0.022728749,0,0.018232574,0.019874029,0.023166274,0,0.019561373,0,0,0.488938247,0.022276611,0.007442809,0.418844236,0.010661304,0,0.507453047,0.009201198,0,0.28253028,0,0.037371338,0,0.160929712,0,0.143399376,0,0.201341226,0.015002893,0.414465924,0,0.468498961,0.019100312,0.013877805,0.023795852,0.229357094,0.108245482,0.008437514,0,0.303537134,0.28803552,0.008971748,0.017659051,0,0.174151217,0,0.32342274,0.325283178,0.121966934,0.066782086,0.0119007,0.498577409,0.013674432,0.015816152,0,0.011693292,0.090104834,Adam23,0.01418047,0.010046289,0.024794031,0.021222301,0.118956036,0,0.014656601,0.01105399,0.07094358,0,0.012771769,0.094734335,0.067111024,0,0.477761689,0.008908109,0.101713045,
2.761251927,2.82175347,1.775361542,1.920453413,0.726777431,1.357833117,3.33930408,1.120754079,2.476958816,3.17571721,3.252899059,3.187718928,2.235707904,1.293081977,2.842516044,1.856587934,1.271160823,1.458886628,3.3954524,3.05049225,0.391097841,1.195003088,1.875139762,3.007745352,1.097435086,2.376313597,2.210264209,3.615987443,2.908820108,3.374260595,1.839923921,2.71674424,4.61035982,3.098916181,2.025462219,1.701569685,0.798105445,1.227909478,1.798412473,2.559861705,2.274783751,2.757353237,1.989365433,0.964516589,2.904779638,0.792230063,1.799520277,0.961612465,0.66280086,2.559915821,3.204702916,3.581698383,3.207917781,2.197482358,0.582477512,2.76429287,1.51963702,3.316108484,3.812718943,2.703559536,2.84853676,1.880321519,1.778974005,1.909565155,Adamts9,3.123831519,3.250938029,2.662190037,1.615638457,2.678507787,4.308615617,1.311690062,2.285517255,0.523320009,1.660231791,4.375808702,0.701508125,1.818326108,2.884525596,1.388122794,3.191747331,1.631166383,
0.984350063,0.811827787,1.032135928,0.989794602,1.001585965,1.136643264,0.493104748,1.17559266,0.901056182,0.800500027,0.968263628,0.904111356,1.176371779,0.983345322,0.864175833,1.142277442,1.613282301,1.700003887,0.748491183,0.792752464,0.678460896,1.40107499,0.939242877,1.408663089,0.656905843,0.687300294,0.812107622,0.888543019,0.795625244,0.929802572,0.981786206,0.98156672,0.893795221,1.324983847,0.968391076,0.857352492,1.418765372,0.789934527,0.807648977,0.428482615,1.146937244,1.43093457,1.185368532,1.114363337,0.418396144,0.68618997,1.163482638,1.230281098,1.132703934,0.830956364,0.840921801,1.156747743,0.868026049,0.809555423,0.996180994,0.82281206,0.766128628,1.406837885,0.936179112,1.311897263,0.425176647,0.813488868,0.967766921,0.664264157,Aes,1.232023206,1.359006501,0.480338853,1.390607164,0.772932289,1.288531391,1.147876716,1.006042265,0.788109814,0.591029843,0.667537358,0.655475925,0.610384307,0.977434862,1.238136528,0.989330807,1.561120695,
1.17640791,1.970679285,1.232219296,1.813626619,1.59368798,1.123963837,1.017223615,1.532992303,1.525996555,1.250546923,1.147007034,1.998349895,2.170724279,1.56687362,1.556762042,1.831397011,1.547987306,1.630030475,1.984482565,1.881510751,0.6945407,0.806105545,2.031444945,1.85457168,1.76142094,0.939446386,1.256721669,1.734115562,1.171423888,1.490218422,2.109756313,1.540847864,1.854733657,1.816060123,2.083494158,2.271597243,1.476285864,0.954136337,1.627357552,2.082843426,2.08646974,1.763161898,2.067488061,1.503089575,1.539338953,2.021717209,1.563086815,1.257278105,1.77547215,1.93740846,2.139902291,2.333426607,1.835512777,1.348003746,1.533256012,1.791300586,2.145321471,2.179612333,2.109979239,2.153324159,2.051814445,1.790151378,1.923966213,1.548265852,Agap3,1.051949619,1.835000439,1.782176314,2.298848507,1.454792758,1.844041093,1.572369331,1.661045167,1.646411704,1.581200926,1.628412247,1.952176345,1.862027678,1.813424387,0.831124604,1.29465675,2.009168134,
1.573224414,1.227965399,0.425842691,1.416131128,1.002196502,1.091764588,1.310931875,1.19736315,0.705370909,1.126670434,0.610458319,0.90468082,1.012757211,1.211182893,0.964522751,1.121659019,1.305039774,1.570834773,1.564017032,0.89915714,1.364039735,1.277156186,1.002826558,0.816341028,1.011703923,1.413370882,1.156586427,1.282706659,0.812639526,1.023616196,1.008931133,0.960925203,1.364645045,0.595325569,1.319353001,1.650951498,1.012314758,1.305815102,0.994031904,1.466817001,0.713448188,1.435194538,1.538034891,1.002535151,1.142041562,0.851958541,1.091936202,1.384479987,1.451021002,1.720424473,1.333330586,1.504478742,1.356995595,1.353660771,0.740635762,1.39367277,1.47651812,1.041782627,1.607576774,1.563914625,1.167186613,1.997396507,1.197025617,0.997908289,Aip,1.122161101,1.02457697,1.126012537,0.951123854,1.141947419,0.670510524,1.490558695,1.371698576,1.024819741,0.904020132,1.313280675,0.858332889,0.839966748,0.883812999,1.447042823,0.929040278,1.295044998,
