X,RamDA_mESC_72h_A04,RamDA_mESC_72h_A05,RamDA_mESC_72h_A06,RamDA_mESC_72h_A07,RamDA_mESC_72h_A08,RamDA_mESC_72h_A09,RamDA_mESC_72h_A11,RamDA_mESC_72h_B01,RamDA_mESC_72h_B02,RamDA_mESC_72h_B03,RamDA_mESC_72h_B04,RamDA_mESC_72h_B05,RamDA_mESC_72h_B06,RamDA_mESC_72h_B07,RamDA_mESC_72h_B08,RamDA_mESC_72h_B09,RamDA_mESC_72h_B10,RamDA_mESC_72h_B11,RamDA_mESC_72h_B12,RamDA_mESC_72h_C01,RamDA_mESC_72h_C02,RamDA_mESC_72h_C03,RamDA_mESC_72h_C04,RamDA_mESC_72h_C05,RamDA_mESC_72h_C06,RamDA_mESC_72h_C07,RamDA_mESC_72h_C08,RamDA_mESC_72h_C09,RamDA_mESC_72h_C10,RamDA_mESC_72h_C11,RamDA_mESC_72h_C12,RamDA_mESC_72h_D01,RamDA_mESC_72h_D02,RamDA_mESC_72h_D03,RamDA_mESC_72h_D04,RamDA_mESC_72h_D05,RamDA_mESC_72h_D06,RamDA_mESC_72h_D07,RamDA_mESC_72h_D08,RamDA_mESC_72h_D09,RamDA_mESC_72h_D10,RamDA_mESC_72h_D11,RamDA_mESC_72h_D12,RamDA_mESC_72h_E01,RamDA_mESC_72h_E02,RamDA_mESC_72h_E03,RamDA_mESC_72h_E04,RamDA_mESC_72h_E05,RamDA_mESC_72h_E06,RamDA_mESC_72h_E07,RamDA_mESC_72h_E08,RamDA_mESC_72h_E09,RamDA_mESC_72h_E10,RamDA_mESC_72h_E11,RamDA_mESC_72h_E12,RamDA_mESC_72h_F01,RamDA_mESC_72h_F02,RamDA_mESC_72h_F03,RamDA_mESC_72h_F04,RamDA_mESC_72h_F05,RamDA_mESC_72h_F06,RamDA_mESC_72h_F07,RamDA_mESC_72h_F08,RamDA_mESC_72h_F09,RamDA_mESC_72h_F10,RamDA_mESC_72h_F11,RamDA_mESC_72h_F12,RamDA_mESC_72h_G01,RamDA_mESC_72h_G02,RamDA_mESC_72h_G03,RamDA_mESC_72h_G04,RamDA_mESC_72h_G05,RamDA_mESC_72h_G06,RamDA_mESC_72h_G07,RamDA_mESC_72h_G08,RamDA_mESC_72h_G09,RamDA_mESC_72h_G10,RamDA_mESC_72h_G11,RamDA_mESC_72h_G12,RamDA_mESC_72h_H01,RamDA_mESC_72h_H02,RamDA_mESC_72h_H03,RamDA_mESC_72h_H04,RamDA_mESC_72h_H05,RamDA_mESC_72h_H06,RamDA_mESC_72h_H07,RamDA_mESC_72h_H08,RamDA_mESC_72h_H09,RamDA_mESC_72h_H10,RamDA_mESC_72h_H11,RamDA_mESC_72h_H12
Aatf,0.894451771,0.943344696,0.790288589,0.334005972,0.979216126,0.905716307,0.66675838,0.980995831,0.633927893,0.898661049,0.906866842,0.909541617,1.072625865,0.723517303,0.802821882,1.023291617,0.927893034,0.597444087,0.652700261,0.969715353,1.047891791,0.847613648,0.985479333,1.167042937,0.808595324,1.066199032,0.721029887,0.729196192,0.648756273,0.449728573,0.653916665,1.274231793,0.440903756,0.464502856,0.49510395,0.514740584,0.61897549,0.810783418,1.049826341,0.309277267,0.727467989,1.161133376,0.884433306,0.200043541,0.822721156,0.477862642,0.737967189,0.886145613,0.984053934,1.220520087,1.024334169,1.007627921,0.614461818,0.479204719,0.922176292,0.942210336,0.853570361,1.005022797,1.246426642,0.813342508,1.102835058,0.985611048,0.65372048,0.922036184,0.656411805,0.746400755,0.580370277,0.820539144,0.681738798,0.802608705,0.429939359,0.525152397,0.630551527,0.584499624,0.544377253,1.12133777,0.950670316,0.445582026,1.304788236,1.173405165,0.852895873,1.257612512,0.98414207,1.548514145,0.858206867,0.9657019,0.809806964,1.26962535,0.755569304,1.014186612,0.673168455
Abhd5,3.695409458,2.613187625,1.755878981,2.189487226,3.006809307,3.619703638,2.876845528,3.401951502,3.587018529,2.406969006,3.532708338,2.545229752,3.692063685,2.489331273,1.605436669,2.856578942,2.220184188,1.619475409,2.065804402,3.084884057,2.903359753,4.291344713,3.382594007,3.760830688,3.298701951,3.244671308,3.053168867,4.172613702,3.081002094,2.352084313,2.962664157,3.694957131,2.913845324,2.647563214,2.856480928,2.539716903,3.447780683,1.898701516,2.474866539,2.955766153,2.008757352,3.737448202,3.151985628,3.037564864,3.165143075,3.704439296,3.13995154,3.24057089,3.28968273,3.300506408,1.549098634,3.522736396,2.673819908,3.055718153,2.825446667,3.615352732,3.970666369,3.001818247,3.242327661,3.787221152,3.61675488,2.323963283,2.035560076,3.153308756,3.861427594,2.39485459,3.854181475,2.22177896,3.490103929,2.564910109,2.367141707,1.955327745,3.540557631,3.092112367,1.376339907,3.334497974,2.710869556,3.311251855,3.22247704,3.406778946,3.658879355,2.872511764,2.679896612,2.697682129,3.908371755,3.3181467,3.128576371,2.504213817,3.119852749,2.566508213,3.497837877
Abt1,0.675110417,0.395687804,0.735881684,0.465763924,0.444744367,0.499781438,0.55123344,0.411121287,0.684694033,0.653053925,0.658002069,0.580185205,1.033724604,0.458820342,0.46235688,0.422588863,0.820836041,0.620876192,0.042285163,0.822721718,1.156123638,0.324857541,0.492336385,0.584320142,0.894803366,0.230422483,1.061151565,0.865638925,0.930099862,0.312889587,0.402509926,0.607109353,0.569601986,0.500373591,0.487290393,0.69542884,0.504832501,0.227279715,0.812153701,0.201011075,0.591813666,0.646160435,0.419831118,0.855303423,0.831773066,0.461019697,0.663137858,0.91197641,0.533392305,0.702102665,0.621113092,0.753467768,0.882927158,0.749055661,1.098412616,0.662275178,0.983471047,0.899633828,0.617988253,1.018809976,1.411990696,0.958062711,0.41209159,0.695232481,0.775176666,0.351610644,0.632336197,0.671623681,0.43374326,0.814068483,0.360747918,0.364326898,0.353118187,0.442338146,0.803209305,1.222712515,0.355241904,0.510520997,0.263445174,0.918607484,0.675768643,0.705992656,0.567419123,0.632271316,1.15199271,0.785935969,0.638053881,0.353354014,0.613448836,1.259116014,0.636473677
Abtb1,1.559120375,0.893240959,1.634160132,0.907608861,1.141792219,1.954520721,2.238599725,1.535035653,1.314519369,0.501302325,1.224824678,1.793349978,2.050747531,1.441192752,1.390711511,1.508150331,2.33027553,2.100762334,0,1.137563129,1.012443561,1.633158553,2.061223503,0.782870069,1.80663237,1.528431309,1.214938134,1.251798512,1.476315454,1.629376149,1.745074059,1.065890115,1.082941625,0.792304868,1.06572945,1.27577129,1.541548092,1.370703414,1.809744646,1.186967594,1.475866798,1.666686899,2.029267365,1.323389993,1.29858731,1.491911001,1.233424073,1.039686059,1.521969933,1.346979545,2.007007181,2.126790846,0.851317553,1.34519046,1.787333637,0.426614529,1.770909795,1.703465035,0.603310046,1.487772182,1.49599163,1.171400924,1.592301168,0.677235559,1.808755459,0.86288554,1.702879362,1.365267424,1.332187496,1.857727323,1.452072155,1.220115501,1.926102424,0.724807674,1.432935295,0.719511235,1.16701663,1.270509761,2.201193213,2.427361836,1.587933034,1.673114347,1.327797515,1.743631264,0.483073526,0.826602757,1.949532936,1.939211348,1.210054237,1.65335258,1.937935815
Adam19,2.969702447,2.900400124,0.972485847,2.623521399,2.326133995,3.060158511,2.512285746,2.604068284,2.591682208,2.095602587,1.703741412,1.450544494,2.602541286,2.173347101,1.986873646,2.213477074,1.541361011,1.20008457,1.928511724,1.941418607,2.335759662,2.795150726,2.756143189,2.670945354,2.768843374,2.227239946,2.749872855,3.427457543,2.873427345,1.771883998,1.968048152,2.816809693,2.67294075,2.33611603,2.515311706,2.133756491,2.552165847,2.277879678,1.972488888,2.004722139,1.131024783,3.000852896,1.962862429,2.113989378,2.667121229,2.443422977,2.78422306,2.795564186,3.038327383,2.577884568,0.819231231,2.412243883,2.083065015,1.941109305,3.201137675,2.799871963,2.651088185,1.998397753,2.036880483,2.785916328,2.750391159,1.049406622,2.447044363,2.193977683,2.562505376,1.540359622,2.67109982,2.228784491,2.079765506,2.091852347,2.491688027,2.254152256,2.769057069,2.466821287,2.09386521,2.966097415,2.989596182,2.295421897,2.800550298,3.359405736,2.770949179,2.277726358,3.009762098,2.649315043,2.837052803,2.70103725,1.982421568,3.159469749,2.617951916,2.448046695,2.745978581
Adam23,0.039533117,0.395171165,0.013413604,0.025369441,0,0,0.03413818,0,0.19488298,0.021374288,0.011172666,0.205241576,0,0.024931769,0.044119251,0,0.011217233,0.02182207,0.01391713,0.039610798,0,0,0.228091238,0,0,0.023078167,0,0,0,0.270779305,0.011591975,0.012889313,0,0.048412308,0.041894217,0,0,0.039563951,0.038954666,0,0.006186009,0,0,0,0.012915778,0,0.015161942,0.024905604,0,0.010127686,0,0.038648885,0.014024936,0,0,0.011750498,0.046806603,0.023070282,0.024924955,0.248215892,0.240049173,0.020953104,0.012895865,0,0,0,0.106337318,0,0.010951916,0.010994049,0.029381171,0.034745657,0.006482808,0.033301931,0.012914812,0,0,0.010945195,0,0,0,0.038202979,0.029901946,0.102405723,0.038303332,0,0.030443712,0,0.035160647,0.012082171,0
Adamts9,2.976605032,3.591622918,2.43457766,2.880376866,4.052154472,3.487548185,2.816034709,3.543903881,3.004885305,1.847186214,1.646406696,2.681269589,3.843731914,4.310364374,3.364858129,3.173005536,2.819804331,1.742922329,2.452632632,2.277806651,4.233057486,3.563471472,3.355793299,3.387406618,3.760668047,2.76999021,4.259490786,4.524366603,3.976769937,2.573269057,1.91605438,2.967120211,3.113221713,4.032883439,3.363994045,4.196662479,2.902115713,3.497918881,1.342096397,3.738664901,3.004011923,4.387348866,1.673749614,2.764209146,2.901884243,3.078687565,3.049003515,4.438578541,4.092259014,3.163342819,2.411371359,2.835839394,2.859702659,1.979898262,4.59693553,3.834615229,3.044238805,3.484586218,4.173545142,3.827118566,3.792728335,1.058102713,3.506479137,3.775327784,3.227485101,1.778813363,3.515864199,3.401626805,2.944362217,4.404048957,4.23419642,3.569241279,3.62772292,3.795065628,3.648303566,3.855432598,3.464908182,4.432286694,4.64725494,3.174185802,3.610558725,3.86526156,4.852012464,3.035567597,2.841149042,3.787107251,1.909666094,3.15346942,3.749795695,2.048199359,4.555596365
Aes,0.729121835,0.478465543,0.761558946,0.726084251,0.840886081,0.818324279,1.0484056,1.189482437,0.41649232,1.291167423,0.089906214,1.200055047,0.398709523,0.797414121,0.828668938,0.841817989,1.105181922,0.699927425,0.536142116,0.708051463,0.806793289,0.385751045,0.288353478,0.96528173,0.920245267,0.928193886,0.525714738,0.379997159,0.488483319,0.414868623,0.824738999,0.425636894,0.337249007,0.677782312,0.363038963,0.832717836,0.457259185,0.845890456,0.534589129,0.399870432,1.161251279,0.631007668,0.891988921,1.099268301,0.290581767,0.519766169,0.397716546,0.651442526,0.926878466,0.469709401,1.33804259,0.663526017,0.822178721,1.279066392,0.711791107,0.468107162,0.747530939,0.411657397,1.083088468,0.473253463,0.368746819,1.123517484,0.069081547,0.811672608,0.335748082,1.262071269,0.315937978,1.018737737,0.643359912,1.13888901,0.669076866,1.297248179,0.558886619,0.468075321,1.107249278,0.568494152,0.582124972,0.274954608,0.519131343,0.76928693,0.681972089,0.227762708,0.543521804,0.37760943,0.318759461,0.37576767,0.58026118,0.344255035,0.344306234,0.716482812,0.642390185
Agap3,1.641468845,2.021056193,0.914416854,1.469538423,1.544362543,1.693300722,1.411460448,2.009039201,1.77747167,1.688342983,1.45684764,1.560776858,1.723524173,1.219553045,1.560239419,2.092697335,1.201124861,1.399965868,2.041565723,2.085133054,1.690950894,2.097709435,1.408932875,1.740585444,2.201169576,2.169977367,1.439855375,1.569178221,2.104240678,2.216490918,1.258943645,1.871972156,2.270821239,1.5665105,2.238523092,0.715998756,1.424661372,1.137991139,1.050253323,2.016078894,1.048431712,2.104564651,2.061108605,0.793346179,1.737145833,1.559235373,1.773380837,2.013725368,2.013950889,2.159320549,1.46434769,1.769179892,1.365767663,1.326935888,1.689517378,1.701094203,1.487312587,1.900482143,1.9976772,1.28187711,2.183262986,1.658277595,1.719763313,2.008768189,1.573333501,1.294868032,1.870258976,1.261894395,1.27897674,1.437070389,1.584921069,1.872037995,1.116818897,1.543268825,1.95582093,1.574679772,1.546811553,1.52565111,1.774913196,1.377352454,1.618677382,1.320238474,1.280600251,2.017638312,1.701601463,1.864992996,1.608983181,0.894515691,1.225248293,1.914948228,1.573727863
Aip,1.048382349,1.504750585,0.753959981,1.235097254,1.018233735,0.825699647,1.14937759,0.686251588,1.19721437,1.098761215,1.398173679,1.383330527,1.035779121,1.481163878,1.526292279,1.891563319,1.780571715,0.942997057,1.456075004,1.308819903,1.092699528,1.599443358,0.791646048,1.534853322,1.287854887,0.461575069,1.502023876,1.329128311,1.747755312,0.856071606,0.815704449,1.506519292,0.857698497,0.740413587,1.39508318,1.040956502,1.10555903,0.831977992,1.219309565,0.718025621,1.172847777,1.185254611,0.641928947,1.255671237,1.463765221,1.681995165,1.343855988,1.507893442,1.245552003,0.730213034,0.676945839,1.418051814,1.251174267,0.813749405,1.28158664,0.974091355,1.856732155,1.155025956,1.027175534,1.526810165,1.976190208,1.013962866,0.964066195,0.597007304,0.925609597,1.354373069,1.329620689,1.232532164,0.893256586,1.653658322,0.566554776,0.76598028,1.349450585,0.648493736,0.717897575,0.556208365,1.348978857,1.367635516,1.27489689,1.969366782,1.091714039,1.046549018,0.931480817,0.733506072,1.354869621,1.715014434,0.615322709,1.667538946,0.999927477,0.939353779,1.303272694
