X,RamDA_mESC_00h_A04,RamDA_mESC_00h_A05,RamDA_mESC_00h_A06,RamDA_mESC_00h_A07,RamDA_mESC_00h_A08,RamDA_mESC_00h_A09,RamDA_mESC_00h_A12,RamDA_mESC_00h_B01,RamDA_mESC_00h_B02,RamDA_mESC_00h_B03,RamDA_mESC_00h_B04,RamDA_mESC_00h_B05,RamDA_mESC_00h_B06,RamDA_mESC_00h_B07,RamDA_mESC_00h_B08,RamDA_mESC_00h_B09,RamDA_mESC_00h_B10,RamDA_mESC_00h_B11,RamDA_mESC_00h_B12,RamDA_mESC_00h_C01,RamDA_mESC_00h_C02,RamDA_mESC_00h_C03,RamDA_mESC_00h_C04,RamDA_mESC_00h_C05,RamDA_mESC_00h_C06,RamDA_mESC_00h_C07,RamDA_mESC_00h_C08,RamDA_mESC_00h_C09,RamDA_mESC_00h_C10,RamDA_mESC_00h_C11,RamDA_mESC_00h_D01,RamDA_mESC_00h_D02,RamDA_mESC_00h_D03,RamDA_mESC_00h_D04,RamDA_mESC_00h_D05,RamDA_mESC_00h_D06,RamDA_mESC_00h_D07,RamDA_mESC_00h_D08,RamDA_mESC_00h_D09,RamDA_mESC_00h_D10,RamDA_mESC_00h_D11,RamDA_mESC_00h_D12,RamDA_mESC_00h_E01,RamDA_mESC_00h_E02,RamDA_mESC_00h_E03,RamDA_mESC_00h_E04,RamDA_mESC_00h_E05,RamDA_mESC_00h_E06,RamDA_mESC_00h_E07,RamDA_mESC_00h_E08,RamDA_mESC_00h_E09,RamDA_mESC_00h_E10,RamDA_mESC_00h_E11,RamDA_mESC_00h_E12,RamDA_mESC_00h_F01,RamDA_mESC_00h_F02,RamDA_mESC_00h_F03,RamDA_mESC_00h_F04,RamDA_mESC_00h_F05,RamDA_mESC_00h_F06,RamDA_mESC_00h_F07,RamDA_mESC_00h_F08,RamDA_mESC_00h_F09,RamDA_mESC_00h_F10,RamDA_mESC_00h_F11,RamDA_mESC_00h_F12,RamDA_mESC_00h_G01,RamDA_mESC_00h_G02,RamDA_mESC_00h_G03,RamDA_mESC_00h_G04,RamDA_mESC_00h_G05,RamDA_mESC_00h_G06,RamDA_mESC_00h_G07,RamDA_mESC_00h_G08,RamDA_mESC_00h_G09,RamDA_mESC_00h_G10,RamDA_mESC_00h_G11,RamDA_mESC_00h_G12,RamDA_mESC_00h_H01,RamDA_mESC_00h_H02,RamDA_mESC_00h_H03,RamDA_mESC_00h_H04,RamDA_mESC_00h_H05,RamDA_mESC_00h_H06,RamDA_mESC_00h_H07,RamDA_mESC_00h_H08,RamDA_mESC_00h_H09,RamDA_mESC_00h_H10,RamDA_mESC_00h_H11,RamDA_mESC_00h_H12
Aatf,1.352430425,0.817898734,1.462948552,0.793174214,0.932234322,0.847830524,1.007773748,1.08724302,0.906523923,1.139813059,1.429488317,0.883881319,0.715279845,0.643903064,1.123954012,1.058538963,1.091887786,1.537076822,1.21150831,0.665325048,1.065084244,1.143041355,0.855166414,1.148176559,0.871403338,0.831879438,1.183785095,1.114656327,1.138563836,1.356907939,1.251218174,0.798848788,1.493443117,0.818628267,1.280585924,1.053502051,1.095301623,1.279471003,1.072133676,1.298668919,0.817975716,0.830774086,1.814579505,1.135010133,1.148424494,0.744848695,0.912021644,1.06579734,1.422955438,0.91626863,1.092811047,1.235176082,1.202759114,1.542625517,1.187544447,0.812285631,0.976968366,1.082697888,0.865209498,0.593520294,0.660384144,1.242019409,1.020917807,1.032293837,1.164663288,0.580842613,0.997346389,0.878104058,1.092614062,0.859103628,1.347130278,0.563073856,0.944284138,0.95891039,1.443703267,1.149145266,0.988424425,1.144763549,1.360563837,1.197924346,0.816072832,1.128262516,1.133274128,1.371725006,1.451220068,0.996369569,1.319057884,1.279790692,1.222310548,0.966431115
Abt1,1.319812025,0.994801612,0.987404399,0.962712659,0.656695208,0.954688557,0.994227178,0.565698542,0.896294592,0.759135778,0.677229743,0.910418077,0.692576434,0.934282579,0.658428291,1.059197514,0.696758504,1.169593037,1.031822444,0.891341896,0.696901702,0.992671596,0.594155234,0.934359834,0.755120361,0.887853648,0.97722188,0.897186436,1.10719006,0.784223402,0.507420816,0.81886771,0.897427593,1.016349064,0.847522369,0.711653014,0.768259544,0.643894029,1.706299859,0.547744208,0.551405665,1.065981342,0.876785385,0.753262747,0.952514899,0.955253206,1.079576895,0.61902264,1.343853903,1.165456832,0.779341814,0.997254592,0.916842709,0.937679602,0.995076636,0.546075041,0.599068204,0.862196011,0.576635227,0.539517104,0.991084828,0.931391181,0.865789576,0.987960293,1.121383373,1.088087583,1.020045198,1.223285424,1.125872139,0.591901187,0.662878661,0.975374641,1.340533042,0.976803219,0.797661104,0.749497172,0.808056196,0.70981071,0.835937977,0.479451676,0.675077055,0.842369019,1.146865066,1.168461485,0.814538164,1.219215297,0.770192286,0.759053373,0.722871376,0.91352223
Akt1,0.747313298,1.048582077,0.72553109,0.795836212,0.358918942,0.827714867,0.890728207,0.835567626,0.806566467,0.561960688,0.515779111,0.842542028,0.975063981,0.252383201,0.707733126,0.574601568,1.028150697,1.519051246,1.434698424,0.356599172,0.890875,0.677132137,1.152416162,0.779019064,1.496741608,1.334602772,0.490375445,1.258380226,1.280364827,0.970413126,0.553864618,1.499326559,0.570852617,0.767469749,0.853303081,1.344247135,0.981343554,1.04986049,0.855835206,0.725839754,1.825670199,0.725501629,1.159494764,0.639603104,1.070772176,1.283237182,1.200557447,1.391390763,1.04758985,0.989733777,0.973374428,1.560399588,0.525953338,1.343652524,0.717681349,1.617543972,0.797959463,0.509276112,0.749866897,0.759908692,1.154921582,0.283500299,0.525005724,0.714948321,0.666071129,1.094413549,1.397407981,1.315638873,0.387888885,0.498042519,0.756666524,0.958390636,0.99502305,0.945711369,0.947995317,0.902195017,1.173329692,0.503208504,1.129081949,0.655000139,0.478283243,1.152253826,1.361584285,0.431857058,1.313866308,1.762038317,0.859121706,0.705780485,0.795827112,0.644832872
Alpl,1.438819204,1.71584989,2.655799183,0.902307614,2.031912212,2.280728993,1.796484425,2.521530407,2.689771024,1.978893352,1.904490179,2.387931073,2.030748345,1.796968384,1.448877954,1.560728536,1.807939754,2.218576301,1.842574333,1.385163722,1.471148732,2.796098771,2.06208583,1.953155879,1.336561899,1.660174725,1.781476527,2.186663659,2.32360827,2.106083197,2.089256227,1.65748204,2.135067516,2.220865775,2.194772597,1.730335805,2.002945236,2.337830303,2.063620865,2.133870252,1.511178022,2.021076261,1.175179375,0.545097213,0.670297094,1.840138272,2.671557604,2.495026839,1.963195718,0.865257426,1.159779061,0.958947969,1.753172438,1.808484159,2.206606759,2.200883545,1.570469766,1.112963546,1.409821394,1.363672565,1.75934434,1.540592916,2.240554218,1.310017747,2.381330568,1.070592496,1.716287018,2.139792161,1.765963926,1.130101987,1.983784523,2.740864233,1.587366916,1.56731204,1.214154497,2.054410853,1.719430954,1.67402278,1.99297666,1.764442832,2.049230976,1.24335663,1.830039742,1.870019234,1.152173595,2.055640933,2.097238332,1.92780989,1.902329031,1.830193048
Amot,0.07775274,0.187416052,0.03863919,0.306868422,0,0,0.124560317,0,0.059422413,0,0.029954227,0.115610099,0.182560551,0,0.024478937,0,0.240760451,0.339525646,0.193994033,0.006186228,0.19886257,0.084187427,0.3799778,0.109575134,0.006676708,0,0,0.108674537,0,0.013818911,0.14225128,0.173487876,0,0.379853401,0.278441461,0.498287785,0.226706784,0.057487132,0.355957209,0.019566452,0,0,0.136525277,0.058633705,0,0.145006255,0.045719461,0.101110386,0.499220767,0.277963019,0,0,0.046168812,0.298553882,0.095334695,0.371995032,0,0.084365974,0.012387708,0.167207473,0.03536466,0,0.03628954,0,0.062633162,0,0.612577233,0.095885233,0,0,0.292115814,0,0,0,0.098752845,0,0.184606876,0,0.137603442,0.087720314,0,0.155957432,0,0.104305816,0.175054609,0.129898927,0.182092128,0.017796637,0.005314767,0
Amotl2,2.858550517,1.256696289,1.208751657,2.745795849,1.719665272,2.42088921,2.070325252,1.120204613,2.001748162,2.510218529,1.157648414,1.808326584,1.454113785,1.541970524,1.804937841,1.966148294,1.567684406,1.830408748,1.844412352,2.217528056,1.917366713,2.166685567,1.450439011,1.996530626,1.780538595,2.913180099,2.188994009,2.740941503,1.904965469,1.804040265,1.970604397,1.845857364,1.391268808,2.400826431,1.5512655,0.859390774,0.753224974,2.104969188,2.634246255,2.030347924,2.685929367,3.388636425,2.018344408,2.784325009,1.008801876,2.8083445,2.792510719,1.844724039,1.833099237,2.522917905,2.791152724,1.815329823,2.652405625,1.668690893,1.410988626,1.855509253,1.37158131,2.825520521,1.661566823,3.014361193,2.183067998,0.911486074,1.484827344,2.155041835,2.305200805,3.329636075,0.775471315,1.810206499,1.214615479,3.018927426,3.339572471,2.975177537,2.17980162,1.491617274,2.857220729,2.100591863,1.590394178,2.54461292,1.954950073,2.535033186,1.600401034,2.735882876,1.788144155,2.579227657,0.236067857,2.099686674,2.770151807,2.701235495,2.788153514,2.013847106
Ampd2,0.641806347,1.252037071,1.21360516,1.819297789,0.885905793,1.85037917,0.249829461,1.448080018,0.88543554,1.122477088,1.324714971,1.927805218,1.135736947,1.861242842,0.56388349,1.786047513,1.922813081,2.046299353,1.088671415,1.391826397,1.368925437,1.823551789,0.97499961,1.875016399,1.405547396,1.700464541,1.396887725,2.033158579,1.687695573,1.675000199,1.097456598,1.885212526,1.779832521,0.532559046,1.600375712,2.00968119,1.720738668,1.881931459,2.06295757,1.807189932,1.648500154,1.612496791,1.997122924,1.81212525,1.336432898,1.137567633,2.489765535,2.216662,1.234669975,2.221570864,2.406237332,2.252185583,1.958194881,2.24662158,0.69965823,1.384953899,2.272128762,1.706379695,1.436488419,1.456773805,1.798095543,2.046061632,1.279598719,1.499311558,0.880436025,2.016981442,1.586155992,1.728553876,1.168671796,1.142466152,1.197081167,0.843544691,0.96828609,1.475049979,1.546524965,0.974519754,1.205791412,1.873804488,1.409679391,1.377175513,1.298111633,1.78598846,1.252737717,2.215629506,1.687072969,1.248919458,1.643008427,0.785143083,1.785650946,1.419814874
Ankrd49,0.200473862,0.216164486,0.281392751,0,0.371132756,0.294280147,0.158206714,0.32280284,0.353703228,0.346283775,0.349964623,0.256786264,0.135037448,0.713427466,0.357393482,0.625362663,0.784252174,0.220969095,0.218889465,0.188610409,0.481991011,0.239496082,0.060688496,0,0.223410517,0.100416988,0.549004552,0.677201942,0.194400854,0.542371212,0.370222913,0.089872813,0.404212397,0.251211243,0,0.337032832,0.489465266,0.158203535,0.694146382,0.909783558,0.426337159,0.240243315,0.064225361,0,0.020731517,0.709980962,0.098848,0.278000774,0.466795082,0.634336758,0.840554306,0.509712435,0.604846899,0.536684049,0.651308642,0,0.559233929,0.405398858,0.049431352,0.676870952,0.546451525,0.246714856,0.251619382,0.192862844,0.39249522,0.022591775,0.226010881,0.078043035,0.061566486,0.407110511,0.683520868,0.267013962,0.340294431,0.129274927,0.632613287,0.219603185,0.489865022,0.494258642,0.245179503,0.311850421,0.338600674,0.300885606,0.209343445,0.471220306,0.135848807,0.761103659,0.655029386,0.397961054,0.520372537,0.600742156
Anxa2,1.381326729,1.51302634,1.053201958,1.647422236,1.586035244,1.800634071,0.174571267,0.519335328,0.688245239,0.297504262,1.485969324,0.758317359,1.282123401,1.579412857,1.343480048,1.811278405,1.333131412,1.377268404,2.408224229,1.328578411,1.078116926,1.861947499,1.223487748,1.819364351,1.149679921,0.777965996,0.900522671,1.560663041,0.880871366,1.102057351,0.537060103,1.645854084,0.588776168,0.59613694,1.870553752,1.39310161,1.938383949,1.832404315,1.014101183,1.256557464,0.994989876,0.124374159,1.238904592,0.990511522,2.151210402,1.311201583,0.718204407,1.003946259,1.223408571,1.619073095,1.379692363,1.634229323,1.101961965,1.724941212,0.990449959,1.436158179,0.983465085,0.476338036,0.917942856,0.861742361,0.543059818,1.397648515,2.014986246,1.487439999,1.249911253,1.908307319,0.406619296,0.476887621,0.084918926,0.711232263,1.347983661,0.928202983,0.739168369,1.266038741,1.687509423,1.447709586,1.233296767,0.663767194,1.107039754,0.925893654,2.010794635,0.472890773,0.62362448,1.344678769,1.122294613,1.116640219,1.167972222,0.578305537,0.980348737,0.378685608
Anxa5,0.635755101,0.495127077,0.05159552,0.420594293,0.332685395,0.49857248,0.332715697,0.307546228,1.135360321,0.3043469,0.761028354,0.145560464,1.210312274,0.628957268,1.61819719,1.257916352,0.459261432,0.614832607,1.268070151,1.194972164,0.653900709,1.631829891,0.128827488,0,0.431999515,0.338395738,1.465076537,0.626370263,0.200971267,0.770588954,0.614601336,0.562054696,0.232527039,1.237150579,0.894648713,0.493108278,1.310377662,0.265205238,1.156329432,0.509163323,1.669797124,0.385312615,0.904620888,0.3033421,0.473453527,0.627624578,0.09648647,0.413143553,1.00073289,0.686129947,0.918121469,1.039333921,1.122640925,0.377040738,0.867762985,1.326042651,0.767903299,0.36890666,0.216754291,0.395047906,1.266472253,1.240666144,0.780883307,1.439587417,0,0.609198611,0.110385471,0.47751282,0.480185245,0.521486938,1.667106027,1.397586162,0.195731073,1.380881734,0.716323111,0.127587527,1.202544486,0.112670502,0.721556029,0.393046519,0.999564079,0.120631367,1.044691372,0.351019006,0.476266757,0.525356523,1.024680019,0.30604474,0.743187185,1.060090994
