X,RamDA_mESC_12h_A04,RamDA_mESC_12h_A05,RamDA_mESC_12h_A06,RamDA_mESC_12h_A08,RamDA_mESC_12h_A09,RamDA_mESC_12h_A12,RamDA_mESC_12h_B02,RamDA_mESC_12h_B05,RamDA_mESC_12h_B06,RamDA_mESC_12h_B07,RamDA_mESC_12h_B08,RamDA_mESC_12h_B09,RamDA_mESC_12h_B10,RamDA_mESC_12h_B11,RamDA_mESC_12h_B12,RamDA_mESC_12h_C02,RamDA_mESC_12h_C03,RamDA_mESC_12h_C04,RamDA_mESC_12h_C05,RamDA_mESC_12h_C07,RamDA_mESC_12h_C09,RamDA_mESC_12h_C10,RamDA_mESC_12h_C11,RamDA_mESC_12h_C12,RamDA_mESC_12h_D02,RamDA_mESC_12h_D04,RamDA_mESC_12h_D05,RamDA_mESC_12h_D07,RamDA_mESC_12h_D08,RamDA_mESC_12h_D09,RamDA_mESC_12h_D10,RamDA_mESC_12h_D11,RamDA_mESC_12h_D12,RamDA_mESC_12h_E01,RamDA_mESC_12h_E02,RamDA_mESC_12h_E05,RamDA_mESC_12h_E07,RamDA_mESC_12h_E08,RamDA_mESC_12h_E09,RamDA_mESC_12h_E10,RamDA_mESC_12h_E11,RamDA_mESC_12h_E12,RamDA_mESC_12h_F01,RamDA_mESC_12h_F02,RamDA_mESC_12h_F03,RamDA_mESC_12h_F06,RamDA_mESC_12h_F07,RamDA_mESC_12h_F10,RamDA_mESC_12h_F11,RamDA_mESC_12h_F12,RamDA_mESC_12h_G01,RamDA_mESC_12h_G03,RamDA_mESC_12h_G05,RamDA_mESC_12h_G06,RamDA_mESC_12h_G07,RamDA_mESC_12h_G08,RamDA_mESC_12h_G09,RamDA_mESC_12h_G12,RamDA_mESC_12h_H01,RamDA_mESC_12h_H02,RamDA_mESC_12h_H05,RamDA_mESC_12h_H06,RamDA_mESC_12h_H07,RamDA_mESC_12h_H08,RamDA_mESC_12h_H09,RamDA_mESC_12h_H10,RamDA_mESC_12h_H11,RamDA_mESC_12h_H12
Aatf,1.490055235,1.787222405,1.423057524,1.426372614,2.075179388,1.111845338,1.372574147,1.0212785,1.505343152,1.649856984,1.826315372,1.256845671,1.49716292,1.41851745,2.008894632,1.459843256,1.49830986,1.774091665,1.391752079,0.973393456,1.11550491,1.65625583,1.517370456,1.774734973,1.246806315,1.427505376,1.682712776,1.750805804,0.93679743,1.576913604,1.385802355,0.914825202,1.596598737,1.672989844,1.418520918,1.422105033,1.627225636,1.460289841,1.588965675,1.016503852,1.687025324,1.724233508,1.922225707,1.635735486,1.583799367,1.510351664,1.512578192,1.301949267,1.619655185,1.506363398,1.780475409,1.577805647,1.500723737,1.125883672,1.127239946,1.461861144,1.461751744,1.565926488,1.336972775,1.473381246,1.642067429,1.544492366,1.881997478,1.774023432,1.841892089,1.173434123,0.956807775,1.895569971
Abt1,1.044664003,1.254228304,1.506705606,1.05266839,1.158946435,0.786766912,0.762883451,0.72863369,1.010636799,1.284369377,1.009322725,0.79809127,0.790080307,0.786509097,1.142725018,0.565654884,1.292339789,0.899967264,0.924983678,0.437324992,1.139254648,1.0114998,0.785045651,0.517140439,1.145915211,1.417339329,1.242309308,0.816638123,0.998148463,1.287734766,0.726961986,1.146963544,0.857973399,1.117384669,0.908501656,0.812568906,0.957434266,0.948484304,0.9360283,1.134063242,1.030319391,1.05785303,1.062654539,0.882857146,1.213353036,1.527700573,0.674682941,0.632318132,0.790263066,1.025934699,1.000745331,1.003243193,0.737357539,1.131165181,0.593730897,1.102452297,1.227198353,1.528829963,0.930591286,1.017368212,1.063975,1.137503433,1.432674429,0.953070958,1.055068344,0.976910135,1.199845111,1.213047433
Akt1,1.697588874,1.80741517,1.372943271,1.453395757,1.15085105,1.257843382,1.923067768,1.459992931,1.688704677,1.723825397,2.052825867,1.964949934,1.544725125,1.151786349,2.196305858,2.185604516,2.506908397,2.20172962,1.52209174,1.517122645,1.404468586,1.849493678,0.94375337,1.729183784,1.735689994,1.58974523,1.785446586,2.324245764,0.571605193,1.762183867,0.961805816,1.394808513,1.330260895,0.903197541,1.662855873,1.612457129,2.205822747,2.077191634,1.796893442,1.782226139,2.136143069,1.463332597,1.889134183,2.052769408,1.236182582,1.233295846,1.896004015,1.739295986,1.482544537,1.311368999,2.265219014,1.476637103,1.353334677,2.091588749,1.567005222,1.630558746,1.418374501,1.986208143,1.956966732,0.822972889,1.390737119,2.019031248,1.825948135,1.756461748,2.193514444,2.004972415,1.368521062,1.589017136
Alpl,2.143157848,2.072311961,0.653170532,1.185859201,1.661916541,0.731845304,1.180679339,1.025416465,1.988645575,0.083610359,1.548384138,1.192286871,1.609785793,0.852586223,2.028876693,1.592466492,2.262333043,1.940109934,2.084182495,0.801417187,1.828334833,1.538929889,0.458983762,1.221161146,0.238667381,1.002722499,0.904531245,2.057133066,0.929189545,2.297343551,1.128925463,0.938508644,2.325205476,0.887476484,1.538513703,0.757169691,0.887995437,1.75912648,0.814904509,1.511202138,1.512869083,1.056645427,1.23864963,0.824105752,2.2988573,0.377140028,1.750674995,1.797720525,1.421977515,2.094535627,1.507690683,0.399462859,1.430051122,1.360930269,1.963264361,1.72866331,1.151400866,2.584636945,0.573474545,2.470337517,0.75031987,1.361695496,1.413443197,0.62915643,1.821462401,1.977930535,0.911935564,2.009232694
Amot,0.149886146,0.817645793,1.374669121,0.171701774,1.079269689,0.38502535,1.843062999,0.488987864,0.197755168,1.523691272,2.00670488,1.589288081,1.845942148,1.793861458,1.443639076,1.707921267,0.267793406,1.820011066,1.509427452,2.162313163,1.068977158,1.85546816,2.499531902,1.358663217,1.014952125,0.700882911,1.482020422,2.476817783,5.61E-09,1.95160968,1.74586335,1.40314961,2.266945225,1.022585066,1.270560992,1.29794152,1.584163589,1.019087761,2.385085608,0.190441085,2.860789765,0.407897175,0.920679362,1.737078078,0.75164859,0.780395183,1.606447689,1.200876755,1.746541267,2.067645571,1.434029944,0.057722824,1.535193745,1.481536327,1.46026734,1.107261068,1.344326675,0.808647252,1.327516553,1.937472668,0.062404099,2.069478494,0.784079674,1.35676475,2.036275466,0.243063188,0.645936143,0.429202186
Amotl2,1.55387331,3.712748872,3.814809827,3.880983719,3.815169356,3.407704791,4.00047274,3.988159004,3.146522658,3.107540955,3.147504648,3.80591479,3.711914887,4.497989156,3.054257151,2.937739446,3.071863065,2.998202899,2.5479562,4.011450424,3.210685696,4.020934116,1.835634675,2.945354553,3.953312276,3.743812373,2.323787872,3.442120834,3.371538419,3.440769865,3.639292979,3.072016185,3.804566123,3.300969088,4.414279476,3.635960956,4.19524059,3.407874986,3.116426776,3.34439616,2.242254083,1.677262389,3.364986726,3.236774166,3.928836005,2.877495066,2.865760489,2.087856478,3.020540626,1.954009304,3.543287011,2.651709421,3.196899884,3.633959347,2.482065099,2.370409875,2.784602827,2.544228755,2.925599718,3.578634966,4.405622658,3.485715178,4.139278596,3.416310422,3.067503772,3.74987206,3.142055265,3.933095496
Ampd2,1.411409111,1.334707417,1.11066384,1.618915178,1.874480379,1.016524641,2.17093483,2.74467019,2.245521338,2.740766452,2.370271551,2.015238088,2.423657961,2.677636177,2.306568704,1.773929102,2.162581525,1.573273557,2.025537472,1.757218125,2.253847209,2.533202085,1.790344409,1.889341066,1.891399377,2.376590928,1.091775275,2.695368271,1.547599592,1.990440465,2.221708737,1.674449155,2.02841217,1.56446032,2.651667923,2.344058887,2.876393717,1.639616543,1.464013865,1.472406812,3.043212857,2.064467786,2.132753914,2.108544603,2.237455262,0.795444598,2.430752009,2.286691781,2.274082898,1.803846336,2.518665785,1.171111231,1.634229359,2.232084467,1.368079984,1.488853287,1.341569572,1.742559878,1.954436777,1.68006282,2.61172899,1.86999561,2.338457865,1.962537803,1.76435947,2.068449517,2.500673148,2.747188097
Ankrd49,0.459862439,0.89147565,0.475402831,0.721073392,0.992271379,0.116379475,0.477143976,0.84117629,0.647164921,1.041240652,0.57513093,0.437086762,0.507132165,0.747501439,0.526287803,0.335814325,1.361726277,0.571552991,0.381226445,0.038023106,0.843846305,0.418799108,0.706419613,0.768553598,0.212537199,0.750671586,0.813748524,0.186598686,0.267589672,0.303830315,0.438022778,0.539153764,0.651658465,0.124797253,0.321633801,0.802365274,0.59450314,0.544923794,0.467848945,0.432860501,0.499028039,0.809641075,0.583405,0.731144242,0.254824943,0.441072073,0.513702962,0.867416652,0.539677284,0.737665937,0.703131951,0.35355404,0.837703513,0.771970034,0.430941333,0.579892189,0.907488408,0.484262444,0.445945761,0.422200513,1.033867732,0.159066089,0.443036142,0.750662515,0.509569475,0.143763547,0.850658449,0.790636327
Anxa2,0,1.278966001,1.888455348,3.124940556,0.701668108,1.572769023,1.563024865,2.154248524,1.601813139,1.037422797,3.276031886,1.323826778,1.042902182,0.802855988,1.141109662,1.166665044,1.368734252,0.917900434,1.064929685,1.115857896,0.83318965,2.441262212,2.065227356,1.261077877,1.8510446,0.790554927,0.963456817,1.10088249,2.9175739,1.28465822,1.490324506,2.594991753,2.031273518,1.8587603,2.331958201,1.083983905,1.258222002,0.864902283,1.768498731,1.99137492,2.074143737,1.1657318,1.338974113,1.037903733,0.631753092,1.864225432,1.588630761,1.553634627,1.199962216,2.505597254,1.917182054,1.91414751,1.17317076,0.405056334,0.730519282,1.159825596,2.940677712,1.065010813,1.346841511,0.858042834,1.987501915,1.241430047,0.460733845,1.606836976,1.023816503,2.020068653,1.153089602,1.541014313
Anxa5,0.05573002,0.192678879,0.671844595,1.068432031,0,0.145320243,0.258520938,0.550450237,0.375859908,0.419666808,0.592280634,0.566560597,1.512414876,0.408631224,0.997375678,0.502640599,0.423885877,0,0.241441413,0.823470548,0.292312971,0.665953697,0.689033107,0.191863302,0.99209631,0.186274445,0.575203995,0.882776168,0,0.108975539,0.421193408,0.425727914,0.638903905,0.579624769,0.34265001,1.273811365,0.671233862,1.363751091,0.810051636,1.028959484,0.663741269,1.289643301,0.590330648,0.503555365,0.663989974,0.527983617,0.540400456,1.419904822,0.664696129,0.341324922,1.294577658,1.326480406,0.225657008,0,0.739960884,1.231933413,1.499489659,0.196416669,0.321069599,0.333983907,0.810926498,1.116249839,0.029458923,0.847441315,0.112678093,0.637443167,0.844282848,0.106086073
