X,RamDA_mESC_24h_A04,RamDA_mESC_24h_A05,RamDA_mESC_24h_A06,RamDA_mESC_24h_A08,RamDA_mESC_24h_A09,RamDA_mESC_24h_A10,RamDA_mESC_24h_A11,RamDA_mESC_24h_A12,RamDA_mESC_24h_B01,RamDA_mESC_24h_B02,RamDA_mESC_24h_B03,RamDA_mESC_24h_B04,RamDA_mESC_24h_B05,RamDA_mESC_24h_B06,RamDA_mESC_24h_B07,RamDA_mESC_24h_B08,RamDA_mESC_24h_B09,RamDA_mESC_24h_B10,RamDA_mESC_24h_B11,RamDA_mESC_24h_B12,RamDA_mESC_24h_C01,RamDA_mESC_24h_C02,RamDA_mESC_24h_C03,RamDA_mESC_24h_C04,RamDA_mESC_24h_C05,RamDA_mESC_24h_C06,RamDA_mESC_24h_C07,RamDA_mESC_24h_C08,RamDA_mESC_24h_C09,RamDA_mESC_24h_C10,RamDA_mESC_24h_C11,RamDA_mESC_24h_C12,RamDA_mESC_24h_D01,RamDA_mESC_24h_D02,RamDA_mESC_24h_D03,RamDA_mESC_24h_D04,RamDA_mESC_24h_D05,RamDA_mESC_24h_D06,RamDA_mESC_24h_D07,RamDA_mESC_24h_D08,RamDA_mESC_24h_D09,RamDA_mESC_24h_D10,RamDA_mESC_24h_D11,RamDA_mESC_24h_D12,RamDA_mESC_24h_E01,RamDA_mESC_24h_E02,RamDA_mESC_24h_E03,RamDA_mESC_24h_E04,RamDA_mESC_24h_E05,RamDA_mESC_24h_E06,RamDA_mESC_24h_E07,RamDA_mESC_24h_E08,RamDA_mESC_24h_E09,RamDA_mESC_24h_E10,RamDA_mESC_24h_E11,RamDA_mESC_24h_E12,RamDA_mESC_24h_F01,RamDA_mESC_24h_F02,RamDA_mESC_24h_F03,RamDA_mESC_24h_F05,RamDA_mESC_24h_F06,RamDA_mESC_24h_F07,RamDA_mESC_24h_F08,RamDA_mESC_24h_F09,RamDA_mESC_24h_F10,RamDA_mESC_24h_F11,RamDA_mESC_24h_F12,RamDA_mESC_24h_G01,RamDA_mESC_24h_G02,RamDA_mESC_24h_G03,RamDA_mESC_24h_G04,RamDA_mESC_24h_G05,RamDA_mESC_24h_G06,RamDA_mESC_24h_G07,RamDA_mESC_24h_G08,RamDA_mESC_24h_G09,RamDA_mESC_24h_G11,RamDA_mESC_24h_G12,RamDA_mESC_24h_H01,RamDA_mESC_24h_H02,RamDA_mESC_24h_H03,RamDA_mESC_24h_H04,RamDA_mESC_24h_H05,RamDA_mESC_24h_H06,RamDA_mESC_24h_H07,RamDA_mESC_24h_H08,RamDA_mESC_24h_H09,RamDA_mESC_24h_H10,RamDA_mESC_24h_H11,RamDA_mESC_24h_H12
Aatf,0.962318762,1.10110075,1.160724564,0.702420824,1.691180715,1.621188272,1.529346885,0.88704439,1.036052801,1.280513588,1.355602069,1.35752173,1.457098995,1.836524239,1.102382522,1.823193564,1.303733544,0.942816942,1.380100775,1.472336832,1.519767978,1.175425106,0.969061872,1.423649977,1.794791344,0.860461994,1.161934913,1.519314663,1.566239808,0.891483461,0.919289523,0.657407108,1.339640883,1.649654305,0.988688065,1.387050514,1.456087989,1.202903256,1.259816466,1.589253309,1.411504175,1.190262617,1.212233037,2.039461976,0.734214415,1.346004248,0.954453278,1.826008627,1.673819756,1.491388129,1.42169683,1.8057106,1.399590328,1.332042629,1.104602765,1.251240229,1.361447369,1.630547133,1.179297806,1.076022413,1.260862748,0.911242127,0.865703533,1.085597417,1.322076869,1.434194629,1.145672893,1.719876478,1.326554139,0.976580653,1.33773839,1.2453436,0.759183852,1.099583482,1.112354077,1.333040546,1.406136904,1.763976144,1.269684969,1.543308283,1.762530857,1.973915913,0.878765142,1.38760135,1.605552557,0.825370262,0.994630612,1.638337105,1.280174588,1.258770622
Abt1,1.158101155,0.918862325,0.951212869,0.628909845,0.936642803,0.93688609,1.355755986,0.931261272,0.81949211,0.933485813,0.863648839,0.954724768,0.843497794,1.049930923,1.198020577,0.769084203,0.920845865,1.366702674,0.775986053,0.908366083,1.094925528,1.12721129,0.564482547,1.080740985,1.008114233,0.776080469,0.957947841,0.746145145,1.300394834,1.146217019,0.288193619,0.904818913,1.315567951,1.056077928,0.780428584,0.673755643,1.046811061,0.903726113,0.925757096,0.827264625,0.807909167,1.147530275,1.227917496,1.204938596,1.07176402,0.492700478,0.766573671,1.132386017,0.909709071,1.324848754,0.791272129,0.9443218,0.624370523,0.984555955,0.745252446,0.802673814,0.712535069,0.871315056,0.52770908,0.43299366,0.879281387,1.458049308,1.264793751,0.842925917,1.197474375,1.393595223,0.654369901,1.02443021,0.912156069,0.99235585,0.72810122,1.269091356,1.048348408,0.992371691,1.089523637,1.288455751,0.989170219,1.205073664,0.926501844,0.689808353,1.169009644,1.115726347,0.862631391,0.53469203,0.935296474,0.616049055,0.298622476,1.336774919,1.091212189,0.993183802
Akt1,2.413285985,1.760577013,2.214029792,2.120740924,2.539368114,2.174966894,1.997550076,2.036819333,2.172161317,1.155079637,2.010038238,2.014655046,2.555389911,2.340314315,2.031231243,1.295790846,2.578015481,2.04102718,2.491324111,2.42959744,2.553673593,2.584708199,2.860403099,1.800118931,0.827075115,1.918755649,1.308091144,2.77658708,2.482334783,1.28324187,2.619888823,2.05213514,2.63278583,2.438597191,2.949675457,2.109748582,1.804724004,2.376291159,1.596809958,1.978679342,1.695213027,2.171083571,1.861839573,1.1899591,1.626196685,2.468059489,2.229359319,1.681456948,1.498680427,1.64544299,2.028846153,2.449954556,2.617095283,2.099338385,1.630992314,1.591120916,1.182054656,0.683531784,2.178280844,2.126895057,2.719159864,1.314538664,1.338141557,1.893733053,2.419939135,2.155491629,1.477375855,2.294547999,0.98629243,1.630704272,2.278267837,2.575737711,3.06757027,2.14045987,1.439377524,2.833456104,2.057871321,1.729528597,2.40773977,2.261332124,2.435072262,2.710408976,2.548275794,2.218374537,3.529041789,2.224516755,1.43143715,2.721692545,3.03978151,1.964243333
Alpl,0.301712503,0.518376938,1.390696328,0.669944689,0.751515969,1.273552303,1.050990526,1.144525189,1.088557335,1.357106102,1.107327074,1.084723116,1.615520814,0.886806067,0.457660644,0.966746906,0.56045244,0.815685303,1.459321895,0.546436682,0.884748269,0.441460828,0,0.45062729,2.450889972,1.045979975,1.292135938,0.842728747,1.193563327,0.962621803,0.625254384,1.494546845,1.03051853,0.581902866,0.906320484,1.188209108,1.241206049,1.807841067,1.409585168,1.504704294,0.67452769,0.835393774,0.760758459,2.543329385,1.024153797,1.725270642,0.723312413,1.288257517,2.129421951,0.490555023,1.973049246,2.288025244,0.422000034,0.947990204,1.349164072,0,0.373985392,2.6605335,0.560798761,0.714338463,1.974867422,1.848135943,1.768703531,0.243913429,1.283603587,1.12317414,0.467890252,0.88258328,1.687039137,0.845327276,0.643885537,1.184276246,0.273426776,1.10820451,1.031433556,0.500979056,1.203047375,0.990213146,0.906456238,0.7338996,0.32420609,1.136468558,0.391915141,1.562212149,0.991584298,1.258199553,0.766988836,0.148042629,1.059032504,0.492869941
Amot,1.459701984,0.753559877,0.743364396,1.432561217,2.366049636,2.030154309,0.936009133,1.970253686,0.858689276,2.990476955,2.14993211,1.898466822,2.577842098,2.405229465,1.894166288,1.8116663,2.486102801,3.541225054,2.291177974,0.996233904,1.751103191,1.831112925,0.691597282,2.098499486,1.246403601,1.156285459,1.969100925,1.382481417,2.066476905,1.612689905,2.119670016,2.69193682,0.652929587,1.835866871,1.584522944,1.452351874,2.649640111,1.862235535,1.701497702,1.599849321,2.562971763,1.292542834,1.762394375,3.291809836,2.505333397,1.735505763,2.125485289,2.146306532,1.615798295,0.251829863,2.450665758,2.458044335,1.80419959,2.440755504,0.839446825,1.994653715,0.05599514,1.281168217,1.358809457,1.74632461,1.293824783,1.898292127,1.85638459,2.880439395,1.068062753,2.426322805,2.18085931,1.623738831,2.386059027,2.156499274,1.854083896,0.658362906,1.106069271,2.27716476,1.994214532,1.367960468,1.212687329,0.276144626,2.449224052,2.765857961,2.086981725,1.393731082,1.992698985,1.843009368,0.551779367,2.333594613,2.799110947,1.449457219,2.625901986,2.422066705
Amotl2,4.467182372,3.354723909,3.253485439,2.770617667,3.995339845,3.076861243,2.866445239,2.969023008,3.634401177,3.242791348,2.666231157,3.643733365,2.886519855,3.905333809,3.749951986,4.323937714,2.79471515,3.556267547,3.490703669,3.243300839,2.696903699,2.375248211,3.325799636,4.124385234,2.194276879,3.870363239,2.746646771,3.269922454,3.259406067,2.796601884,2.802402673,2.568326303,3.790915042,2.968528296,3.309432928,3.246357586,1.866640339,3.747217063,4.058379292,3.927012832,2.505711482,2.729479284,2.406046804,2.538909305,3.95583514,2.778246883,3.074943027,3.228977585,4.355348903,3.410186988,2.860706497,1.919684403,3.566330346,3.608443093,2.712600533,3.553740509,3.700518298,3.033254953,3.399692459,2.94625072,3.520458332,1.501159037,4.176998773,3.071372268,3.482119553,4.23738822,3.992679572,3.549149915,3.555528856,3.810470197,3.663074222,3.888192356,3.940252433,3.087314385,0.611229681,3.544810983,4.060878951,3.741395061,3.558286963,2.74934616,3.483707808,2.550647173,3.714791135,3.695955463,3.938157247,3.330698997,3.451608918,3.854780585,3.71258707,3.202151151
Ampd2,2.15910444,1.138058605,1.63908352,3.00319087,2.73568015,2.088001579,2.954025872,2.367190168,2.631114456,2.390116748,2.967573344,1.708267774,2.303271987,3.03622181,2.172385425,2.994476475,3.397674899,1.846991536,3.120023076,3.13969157,2.242815096,2.647764879,2.88052973,2.483892018,2.026728457,3.279773709,3.380564448,2.804157574,2.637903325,2.706618802,2.645698641,3.366484405,2.918360547,2.888416084,2.832830742,3.314262635,1.926869298,3.323357367,1.639931696,2.775147509,2.799271337,3.191616825,2.314849841,2.826050314,2.510288961,3.13794966,2.13902693,2.517528401,2.736880209,3.277115152,2.500524065,2.768791528,2.431128375,3.199559142,3.047874312,3.151771394,2.785017938,2.537460549,3.148543894,3.068540611,3.1497313,1.398900901,2.24762067,3.401084835,3.204477444,2.467235603,1.941806626,2.607314935,2.747923788,3.055350324,2.945658865,3.099538282,2.723655741,2.250963743,2.04759359,2.478540188,3.18187825,3.346122607,1.706028962,2.879853623,3.328953024,2.326431039,3.315901556,2.332686872,2.779374917,3.044864437,2.033247474,1.590670049,3.129264099,3.345173869
Ankrd49,0.176030296,0.314324336,0.520844397,0.041074,0.36415382,0.248181441,1.097851858,0.76981579,0.573208403,0.732905353,0.266384048,0.51701624,0.615462897,0.031515053,0.915213987,0.880284813,0.902506521,0.804019503,0.84478171,0.606941427,0.782357163,0.017392309,0.536298991,0.812857089,0.700649614,1.009877749,0.598332468,0.461900597,0.339494153,0.611762614,0.307711826,0.334577994,0.2293172,0.382491692,0.343592896,0.380004016,0.609567617,0.588257191,0.592381959,0.438487234,0.87728627,0.806692003,0.889354454,0.677206093,0.419787358,0.503097728,0.250347997,0.701518847,0.655972889,0.760896438,0.781854343,0.335251409,0.105496267,0.541951037,0.59608463,0.102727798,0.265624173,0.609514838,0.312850722,0.474603757,0.30350846,0.187985049,0.232479715,0.414558177,0.966724741,0.364397566,0.333096927,0.247572498,0.740576368,0.33399076,0.859952917,0.622763669,0.374300654,0.513073331,0.678782125,0.626953538,0.633193324,0.741516829,0.574890625,0.367504691,0.228025732,0.917332129,0.601608415,0.516113438,0.519489162,0,0,0.582178895,0.535475827,0.541449421
Anxa2,1.469407848,3.196461245,1.27912645,0.75574139,1.38794024,1.006016584,0.766314252,1.400551212,1.494164585,0.212820907,0.779336078,0.242877521,1.230709655,0.735473771,0.563490688,1.859684632,0.608701382,0.436042609,1.726687267,1.584222748,0.294267044,1.515093348,0.823032432,0.155278337,2.519675829,0.760250036,0.355488148,1.221067213,2.160662114,1.600388044,0.910427588,1.51261646,0.411912702,1.125331037,0.664527955,1.394949989,2.082493834,0.746372433,1.640899752,0.576257379,0,2.055557528,1.844879184,1.419876362,0,0.469328608,0.514753709,1.324773788,0.342817663,1.318300953,2.164526732,0.290751435,1.092106035,1.049581453,1.803347223,0.548918097,0.797975562,0.40464277,1.389739402,0.217761002,1.60394047,1.422986258,1.226011029,0.741171101,0.986328728,0.776213355,0.31817512,0.776489181,1.241448579,1.191569637,1.536093818,0.15163136,0.825430635,1.484293067,1.710176202,0.579150471,1.049156943,1.485571469,0.778375302,0.646964706,0.844896235,0.730028898,1.280726162,0.809907676,0.550384682,1.558199381,0.423089158,1.22205858,0.484203002,1.444874929
Anxa5,2.323484539,1.643164269,2.654155406,2.062683701,0.71990245,1.298520238,2.067796756,3.049162858,1.727426976,1.291622253,2.962758337,1.224447739,1.304269598,0.986137306,2.012404601,2.317647084,1.936570547,1.427947055,1.867549845,1.20167213,2.081661125,2.030249813,2.823731366,2.235935933,0.947452632,1.860414945,1.746683265,2.280571555,1.993429959,1.926887708,1.33848285,2.267736816,1.384439648,1.744682895,2.207317845,1.339639252,1.34050906,0.842087599,1.19240481,1.76440096,1.765236783,2.849814103,1.143476263,1.121213375,2.541692203,2.201210169,2.599922904,1.633792312,1.891481234,3.208418798,2.099967935,1.448164001,0.760820733,2.610175927,1.579087728,2.137495207,1.816236615,1.004284879,2.923802712,1.782596418,1.945777967,1.758624073,1.865852602,1.490162373,1.893280141,1.705269809,2.510036471,1.613156665,1.211577415,2.153915862,1.852012258,0.233347659,0.820309326,0.710355974,0.941835039,2.523413834,1.991245949,2.066749538,2.116773313,1.543863723,2.789676896,0.611406496,1.247647863,2.391731785,1.776140432,2.217321925,1.332619102,2.253634229,1.469874713,3.143986537
