X,RamDA_mESC_48h_A04,RamDA_mESC_48h_A05,RamDA_mESC_48h_A06,RamDA_mESC_48h_A07,RamDA_mESC_48h_A08,RamDA_mESC_48h_B01,RamDA_mESC_48h_B02,RamDA_mESC_48h_B03,RamDA_mESC_48h_B04,RamDA_mESC_48h_B05,RamDA_mESC_48h_B06,RamDA_mESC_48h_B07,RamDA_mESC_48h_B08,RamDA_mESC_48h_B09,RamDA_mESC_48h_B10,RamDA_mESC_48h_B11,RamDA_mESC_48h_C01,RamDA_mESC_48h_C02,RamDA_mESC_48h_C03,RamDA_mESC_48h_C04,RamDA_mESC_48h_C05,RamDA_mESC_48h_C07,RamDA_mESC_48h_C08,RamDA_mESC_48h_C09,RamDA_mESC_48h_C10,RamDA_mESC_48h_C11,RamDA_mESC_48h_C12,RamDA_mESC_48h_D01,RamDA_mESC_48h_D02,RamDA_mESC_48h_D03,RamDA_mESC_48h_D04,RamDA_mESC_48h_D05,RamDA_mESC_48h_D06,RamDA_mESC_48h_D07,RamDA_mESC_48h_D08,RamDA_mESC_48h_D10,RamDA_mESC_48h_D11,RamDA_mESC_48h_D12,RamDA_mESC_48h_E02,RamDA_mESC_48h_E05,RamDA_mESC_48h_E06,RamDA_mESC_48h_E07,RamDA_mESC_48h_E08,RamDA_mESC_48h_E10,RamDA_mESC_48h_E11,RamDA_mESC_48h_E12,RamDA_mESC_48h_F01,RamDA_mESC_48h_F02,RamDA_mESC_48h_F03,RamDA_mESC_48h_F04,RamDA_mESC_48h_F05,RamDA_mESC_48h_F06,RamDA_mESC_48h_F07,RamDA_mESC_48h_F08,RamDA_mESC_48h_F09,RamDA_mESC_48h_F10,RamDA_mESC_48h_F11,RamDA_mESC_48h_F12,RamDA_mESC_48h_G01,RamDA_mESC_48h_G03,RamDA_mESC_48h_G04,RamDA_mESC_48h_G05,RamDA_mESC_48h_G06,RamDA_mESC_48h_G07,RamDA_mESC_48h_G08,RamDA_mESC_48h_G09,RamDA_mESC_48h_G10,RamDA_mESC_48h_G11,RamDA_mESC_48h_G12,RamDA_mESC_48h_H01,RamDA_mESC_48h_H02,RamDA_mESC_48h_H03,RamDA_mESC_48h_H04,RamDA_mESC_48h_H05,RamDA_mESC_48h_H06,RamDA_mESC_48h_H07,RamDA_mESC_48h_H08,RamDA_mESC_48h_H09,RamDA_mESC_48h_H10,RamDA_mESC_48h_H11,RamDA_mESC_48h_H12
Aatf,1.254612187,0.629566597,1.011601882,1.737932398,0.462221608,1.191779996,0.935527393,0.826380802,0.649290177,0.755974049,1.018593666,1.419731391,1.229406179,0.934899357,0.687899536,1.199221346,1.453191133,0.94236143,1.182087323,0.799720623,0.775812225,1.230243455,0.724645441,1.289669989,0.892361628,0.766181585,1.461974573,0.995876977,1.414525278,0.79238756,1.014845476,0.819860037,0.765142817,0.942384784,0.18679365,0.80050855,1.265410604,1.37657406,0.975039021,1.06144572,0.947902128,0.67529309,0.471454821,1.20163691,1.144301668,1.208846795,1.50493836,0.968530228,1.337620198,0.835055276,1.111592625,0.925221867,1.081969463,0.558517835,1.042732736,0.734664279,1.311640349,0.96097839,0.841206056,1.533459087,0.634737178,1.176250652,1.126968541,0.928404981,0.886146953,0.842785774,0.837430447,1.360297705,0.983165275,1.840899198,0.9553205,0.885117384,0.723911842,0.933561227,1.688861765,1.120390747,1.005707518,1.020509942,0.96505667,1.066116313,1.163654061
Abt1,0.687649661,0.55727154,0.638921649,0.808653795,0.59835825,0.380157195,0.687372361,0.751499534,0.791496323,0.612022485,0.424276572,0.837868617,0.863584603,0.740520561,0.75800981,0.694799816,0.432137121,0.726868603,0.69663682,0.986967139,0.989765226,0.950945021,0.647932885,0.404174648,0.898271961,0.86608084,1.013541715,0.711567922,0.406698267,0.794346018,1.067110693,0.740145064,0.663771497,0.587610347,0.536743893,0.78588537,0.549842645,0.743683826,0.441081822,0.941203646,0.307164275,0.982599229,0.491170774,0.768623645,0.925935725,0.935279143,0.859252983,0.900559404,0.820205754,0.977889767,0.933967834,0.658295317,0.87139151,0.697542844,0.911071011,0.716519707,0.915006968,0.858633622,1.107330254,1.564568515,0.910800069,1.033733452,0.785905171,0.369571823,0.838377207,0.69761245,0.855463004,0.472164147,0.945104024,1.260885167,0.969181705,1.22974772,0.607300497,0.725157043,0.846937386,0.854114832,0.74518764,0.64712901,0.731870712,0.696817109,0.457930027
Akt1,2.85595238,2.743271372,2.760896924,2.959478301,2.419112897,2.084042584,2.767994239,2.440301025,3.135903856,2.785539992,1.822015174,2.925291241,3.176103856,2.285996994,2.707895556,2.88437662,2.938531703,2.527422775,2.909182762,2.471381475,0.884875312,2.978825151,2.701551854,2.904119096,3.048325951,3.04417777,2.686089235,2.386046457,1.696821903,2.524219571,3.070634064,2.582147446,2.555904637,3.414835312,2.37055598,3.222955867,2.751431538,2.158180588,2.73635258,2.992484588,3.111923855,2.706283113,3.365243859,2.523774659,2.375552513,2.019872621,2.411407655,3.294063265,2.914626891,2.736891299,3.094132348,3.087876532,2.912363249,2.606968794,2.904626184,2.842178909,2.706884366,3.021694192,2.989397593,2.782285321,2.612975176,2.575539799,3.069334691,2.709643832,3.04611906,3.573599297,2.63226296,2.572823036,3.248938137,2.615946867,3.048818881,3.042944094,2.237368313,2.755274222,2.450689891,2.595870629,3.329709476,3.430892825,2.583466673,1.811961887,3.39885169
Alpl,0.312886751,0,0,0,0.258272647,0,0,0.076836511,0,0,0,0,0,0,0,0.130101956,0.112433636,0.190508257,0,0.262835648,1.958907031,0.609768719,0,0,0,0,0.395370629,0,0.261470007,0,0.168780453,0,0,0,0.023031199,0,0,0.0475964,0.583884658,0,0,0.281823555,0,0.168783871,0,0.288563816,0,0,0,0.015749854,0.190144538,0.200510101,0.091033032,0.096614948,0.181805714,0.095238015,0.101752757,0,0,0.387398787,0.089266391,0,0.096997738,0,0.098072196,0,0.160847677,0.059752598,0.156926872,0.455566759,0,0,0.115079294,0,0,0.104305274,0,0,0.409112384,0,0.216711772
Amot,0.940849028,0.757719399,2.088992257,1.885774624,1.992555168,1.913415865,0.796128587,2.537379305,2.847023516,1.14120553,1.131560325,1.298403677,1.616025804,0.662125877,0.468649404,2.136242059,3.000884656,1.75834883,0.229479601,1.011747171,0.492347859,1.03631868,1.366470346,1.17414601,1.933028503,0.932864229,2.021793545,0.963545366,1.835277772,1.014199056,1.278950956,0.676413928,1.068741679,0.849172227,2.007571833,0.972557251,1.676579499,0.955490566,0.514063967,1.901073995,0.529002754,1.521140769,1.659796212,1.661316961,0.484584096,0.6506502,0.809046977,2.387062956,2.404242912,0.336301703,0.818358766,1.642353942,1.180058384,0.778103058,1.742492648,0.757401719,0.312399818,2.02910214,0.088547889,2.22503299,0.597835684,0.692546205,1.065024431,2.588735156,0.495047781,1.384321191,0.66122637,1.343445369,0.610381589,0.938677645,1.084056442,0.448891561,2.18727094,1.211980644,0.74048432,2.731615797,1.271112232,1.166552603,2.072523523,1.990659499,2.849023173
Amotl2,4.41136922,4.998808055,3.496922499,3.603536427,3.828729958,3.39591377,4.694638759,3.87974311,3.852779659,3.173810337,3.719455078,4.552844439,3.944147137,5.18962223,4.449502003,4.402845874,3.278777846,4.069295434,4.258415225,5.263399753,1.03515554,4.05461443,3.868099232,5.760722086,3.401469728,4.495535254,4.371090278,3.900734236,3.243394488,4.585223893,4.870858393,2.913045116,4.49016491,3.860819031,4.061083811,5.716687891,3.69829993,4.99319969,3.796691868,3.911369654,4.658883194,5.251399383,4.067639614,4.729097327,4.670895337,5.555445389,4.095906122,2.750538055,4.09314049,4.695839765,5.61653787,4.082425221,3.885614031,3.601084683,4.09843245,4.800299614,4.847868206,4.378719992,4.140462814,3.195120899,5.585109204,4.676643248,3.640636991,3.092610005,4.065219719,4.109861749,3.66520363,3.170586188,3.451515067,3.848452951,4.845438401,4.635805475,4.515949982,4.714481424,4.017723164,3.119210442,4.3254363,4.18842783,1.756743854,4.446867481,1.741371977
Ampd2,3.730826969,4.209074471,2.637874199,2.068189121,2.045596341,1.618376169,3.71558367,1.442589763,3.303307152,2.63058178,2.371391859,3.070828642,2.439187667,3.125865679,3.21703731,2.47638985,2.603209954,2.011376231,3.79270226,4.423195678,0.92750489,1.843864473,4.017214143,3.545237219,3.138617297,2.688092813,2.280609888,4.573187877,1.222331063,4.431092715,3.875050327,3.645149471,2.112025228,4.596253506,1.967379185,3.20768123,1.92702431,2.618320955,2.186999357,3.814634014,3.544515054,3.089318825,3.095298255,2.235067267,3.898215098,3.470946276,2.727384617,1.626569967,2.162305817,3.785049141,4.234944877,4.048562273,2.502776824,2.443777878,2.20995887,4.181171776,3.676370479,2.723839754,4.592989494,3.013019779,3.774047393,3.710726249,2.699636624,2.609232972,3.283709324,2.041802165,3.354758702,2.84886628,3.925299625,2.879267729,2.974671499,3.961394209,2.639226185,3.491380073,2.801280247,2.012054379,3.970201766,3.794146433,0.592247936,2.810936145,2.335118804
Ankrd49,0.440376527,0.696761977,0.795129715,0.375786244,0.628986367,0.417959751,0.491223226,0.999758442,0.179316048,0.448521023,0.90281925,0.98262412,0.448782498,0.514271581,0.532170761,0.774299235,1.073414361,0.314473897,0.321886697,0.556382536,0.993081893,0.499146536,0.565208912,0.761308052,0.345284298,0.315385413,0.581410084,0.320819101,0.58921396,0.771745117,0.953596116,0.563991685,0.515456134,0.451270435,0.519478042,0.95374499,0.545204422,1.048394235,0.585697883,0.448438315,0.912443977,0.876472677,0.63975006,0.983034124,0.714465023,0.343610896,0.586320647,0.681614151,0.383108522,0.493029969,0.631380347,0.604503013,0.310482342,0.523642995,0.859837786,0.424138957,0.817841285,0.719517217,0.550916802,0.864945172,0.389019096,0.894121165,0.808931404,0.325739103,0.687915712,0.46948636,0.682325327,0.940112853,0.428725688,0.66715836,0.475705375,0.450683021,0.529743091,0.051928914,0.576858514,0.184552857,0.473097816,0.471764384,0.308677763,0.512859907,0.820924612
Anxa2,0.377067934,3.97089398,0.063360254,1.235373248,2.140827651,0.096437361,2.973260341,0,0.088384,0.734591716,0,1.938448526,0.845618392,2.304899603,1.12538476,0,0,1.501270121,1.604125494,2.54305608,1.430843876,2.719090231,2.221235873,1.560231154,0.2534606,2.922907917,1.263122256,2.881630156,0.451636534,2.783958432,1.656334358,2.286976168,3.16394713,2.935719298,0.344509884,1.641086427,2.204859986,0.082581217,1.130707632,1.106604339,1.689605587,1.495174036,2.513054822,0.791714554,3.593059153,0.266433468,1.179739869,0.753184896,0.189595776,3.645090312,3.976139341,1.9688675,1.631497085,0.712146325,1.316578224,3.025966993,2.292311192,2.54833604,4.435238158,0.792904944,0.952026949,2.56301705,0,1.885776537,3.532083528,3.634121907,3.234023414,0.109365181,0.914928169,1.135466367,2.636600385,2.205249319,0.425706376,3.184170096,0,0,1.550603558,0.715393948,1.66739191,0.824369019,2.764086737
Anxa5,1.895315737,3.324948988,1.802575367,3.364565541,1.935441038,1.258554451,2.921067173,1.293535835,2.998488958,0.702092162,0.616359638,2.597530698,2.525911253,2.327757216,2.456985229,1.376666766,1.137647473,2.996628176,1.942519254,2.363345748,1.079121592,2.28893521,2.493022902,2.689384926,1.851875406,1.537406897,2.206558337,2.80204229,0.298552293,2.77529118,2.858961449,2.733323686,2.719831604,2.808801381,0.956657222,2.778263698,2.717981835,2.184740092,2.287843972,2.873381585,3.290780398,2.8322125,3.770228303,1.71321494,3.670472399,2.590691615,2.975705984,1.576957774,3.28214548,3.758479344,3.476795027,3.450597908,2.129702641,3.018230995,2.083822283,1.927862946,2.912719182,1.933415243,3.395807996,2.387672914,1.670252702,2.439890228,0.597156566,1.932594602,2.462305536,3.239588248,3.247584599,0.520648786,1.942681916,3.377118044,2.649761438,2.262819222,1.650150752,3.077337839,1.90155563,0.15539062,1.156835835,2.945192183,2.65662759,1.992049354,2.898680402
