X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Ahcy,0.074842419,0.051474439,0.044501569,0.066523136,0.026552656,0.066523136,0.059746582,0.029873291,0.050240687,0.033031814,0.033031814,0.045436641,0.038473263,0.029977004,0.01751822,0.035402621,0.047861187
Aqp3,0.003544997,0.031906629,0.024518253,0.02005353,0.007314627,0.016288528,0.004349303,0.018645871,0.004996037,0.020193013,0.009551877,0.022718321,0.012430258,0.000367492,0.007468323,0.063813258,0.014936646
Atp12a,0.0078125,0.000224655,0.000290334,0.000306888,9.88E-05,0.000292353,0.000255392,0.000250136,0.000142673,0.000261663,0.000203879,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.000483231
Bmp4,0.003569654,0.006992383,0.007139308,0.024860515,0.012048522,0.503477775,0.097733705,0.308854659,0.027872766,0.038473263,0.203063099,0.386891248,0.524858342,1.958840595,0.270743761,0.111878134,0.477972659
Cdx2,0.0119239,0.01175974,0.012006837,0.011048543,0.006872258,0.000292353,0.009854511,0.006236706,0.001249009,0.000261663,0.004044004,0.000235824,0.001847769,0.000367492,0.000228582,0.017824433,0.004002175
Creb312,0.000354974,0.000224655,0.00579892,0.004549741,9.88E-05,0.01573368,0.000255392,0.000250136,0.000142673,0.0078125,0.000203879,0.000235824,0.00579892,0.000367492,0.000228582,0.003330605,0.009854511
Cebpa,0.000354974,0.000224655,0.000290334,0.000306888,9.88E-05,0.000292353,0.000255392,0.000250136,0.000142673,0.000261663,0.000203879,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.000483231
Dab2,0.000354974,0.000224655,0.000290334,0.000306888,9.88E-05,0.000292353,0.002220346,0.000250136,0.003632051,0.004128977,0.00837323,0.00227487,0.000263483,0.000367492,0.008060025,0.01286861,0.009585039
DppaI,0.000354974,0.000224655,0.000290334,0.000306888,9.88E-05,0.000292353,0.009854511,0.000250136,0.002314634,0.004245058,0.004677651,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.00275258
Eomes,0.000354974,0.000294387,0.002595089,0.000306888,0.000153977,0.013048249,0.002849649,0.000250136,0.000142673,0.002182201,0.000203879,0.000235824,0.000263483,0.000367492,0.006638164,0.007704943,0.001214855
Esrrb,0.030606884,0.012006837,0.01332242,0.016630784,0.012387252,0.021944451,0.022173802,0.028066637,0.010934265,0.03018551,0.02664484,0.01135916,0.015303442,0.055552668,0.024603374,0.002559362,0.00506578
Fgf4,0.120742041,0.05366034,0.133971683,0.122427537,0.0343154,0.230046913,0.063592481,0.12200397,0.05536047,0.072795849,0.066063628,0.281264621,0.258816231,0.205897754,0.176165094,0.213158723,0.15442733
Fgfr2,0.000354974,0.000224655,0.010452559,0.000306888,0.000193551,0.001797242,0.000255392,0.000250136,0.000142673,0.000261663,0.000203879,0.000235824,0.000263483,0.000367492,0.000228582,0.000342882,0.000483231
Fn1,0.074325445,0.105112052,0.0625,0.074325445,0.039968299,0.112656308,0.115422789,0.114625505,0.076680311,0.132127255,0.151774361,0.060790934,0.162667732,0.115823508,0.099098017,0.120742041,0.198196034
Gata3,0.036651092,0.102948877,0.033725882,0.097395572,0.017640069,0.01135916,0.000255392,0.000250136,0.011965297,0.02351948,0.05440941,0.051474439,0.001390674,0.003721242,0.032690154,0.017701311,0.042836963
