X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Ahcy,0.013602353,0.025826572,0.027016788,0.026278013,0.023438109,0.018389168,0.048361406,0.015788304,0.012691444,0.012048522,0.015843117,0.025120343,0.017762765,0.048027349,0.019236631,0.017397213,0.019640834,0.018710605,0.015570942,0.012691444,0.017337023,0.017762765,0.018971795,0.028755864,0.01903766,0.028359974,0.0238478,0.05041511,0.03552553,0.01845301,0.021868529,0.012048522,0.033146492,0.042247214,0.014377932,0.029769937,0.021344379,0.017098339
Aqp3,0.000124635,0.000167332,0.000142179,0.000218512,0.000188258,0.000200376,0.000342882,0.000168496,0.004274585,0.033146492,0.000201072,0.000105169,9.28E-05,0.001899717,0.001004017,0.000389794,0.000232578,0.000455583,0.000119145,0.000724865,0.000112328,7.23E-05,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.002338826,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.000265316,0.028359974
Atp12a,0.000124635,0.000167332,0.000142179,0.000218512,0.000188258,0.000200376,0.000342882,0.000168496,0.000123774,8.25E-05,0.000201072,0.000105169,9.28E-05,0.000164457,0.001004017,0.000115086,0.000232578,0.000455583,0.000119145,0.00012039,0.000112328,7.23E-05,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.000224655,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.000265316,0.000254508
Bmp4,0.000124635,0.000167332,0.000142179,0.000218512,0.000188258,0.000200376,0.000342882,0.000168496,0.000123774,8.25E-05,0.000201072,0.000105169,9.28E-05,0.000164457,0.001004017,0.000115086,0.000232578,0.000455583,0.000119145,0.060371021,0.000112328,0.0168046,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.000224655,0.00020177,0.016862941,0.033146492,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.000265316,0.000254508
Cdx2,0.000247549,0.00397453,0.010598471,0.001736021,0.002463628,0.006236706,0.011438169,0.009453079,0.007758535,0.007016659,0.009099481,0.001293056,0.000966462,0.000164457,0.033031814,0.003582047,0.011202775,0.016288528,0.006236706,0.006479059,0.000112328,0.000818347,0.000147193,0.001688549,0.01027299,0.000227791,0.000156668,0.00198039,0.008286623,0.000182477,0.004629269,0.187504874,0.000287331,0.000275626,0.00182233,0.00026902,0.000265316,0.000254508
Creb312,0.041521432,0.025120343,0.111878134,0.074842419,0.014229216,0.037812315,0.032352029,0.034554083,0.004910208,0.003365415,0.032352029,0.028855697,0.010635267,0.007238969,0.183010712,0.036524289,0.100133735,0.055552668,0.038875364,0.02179287,0.078563336,0.025826572,0.062068281,0.032352029,0.099787298,0.071297732,0.05041511,0.055552668,0.059746582,0.066063628,0.044347605,0.226094844,0.045594386,0.124567533,0.089003137,0.044194174,0.070316155,0.072293011
Cebpa,0.000124635,0.000167332,0.000142179,0.000218512,0.000188258,0.000200376,0.000342882,0.000168496,0.000123774,8.25E-05,0.000201072,0.000105169,9.28E-05,0.000164457,0.001004017,0.000115086,0.000232578,0.000455583,0.000673983,0.00012039,0.000112328,7.23E-05,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.000224655,0.004114692,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.002631316,0.000265316,0.000254508
Dab2,0.042101049,0.099098017,0.133046273,0.028359974,0.10330629,0.071051061,0.007041019,0.008229383,0.016630784,0.052374196,0.000201072,0.010709241,0.002205009,0.009752582,0.366021424,0.046552421,0.00786684,0.011125392,0.01020203,0.005336095,0.008200912,0.035280138,0.392292049,0.329876978,0.066292984,0.159320078,0.173138684,0.236514412,0.192776353,0.019777447,0.461691155,0.171347851,0.364755086,0.078836088,0.026460791,0.119908015,0.055168937,0.103664943
DppaI,0.000124635,0.000167332,0.001608576,0.000218512,0.000188258,0.000200376,0.000342882,0.000829771,0.000123774,8.25E-05,0.000201072,0.000105169,9.28E-05,0.00364466,0.001004017,0.000115086,0.000232578,0.000455583,0.000119145,0.016064279,0.00666121,7.23E-05,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.000224655,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.002036066,0.000254508
Eomes,0.010452559,0.000463546,0.003747125,0.003307599,0.00020177,0.003412394,0.002820174,0.006546774,0.000734984,8.25E-05,0.000201072,0.000105169,0.000116693,0.001847769,0.001004017,0.001867081,0.000943297,0.009957505,0.003734161,0.016176014,0.00587987,0.009786441,0.012006837,0.015625,0.004726539,0.000227791,0.005048253,0.016862941,0.008116087,0.002338826,0.000655553,0.015040538,0.003892735,0.011164017,0.001553782,0.004910208,0.008315392,0.003150944
Esrrb,0.000635421,0.000167332,0.002371474,0.002686605,0.000188258,0.00275258,0.000342882,0.000168496,0.000832651,0.007065464,0.004456108,0.000105169,9.28E-05,0.000164457,0.001004017,0.002129898,0.000232578,0.007089993,0.003682752,0.009685216,0.000112328,0.001636694,0.000147193,0.001500855,0.00020177,0.00182233,0.006215129,0.000224655,0.00020177,0.003670011,0.008116087,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.017457612,0.000254508
Fgf4,0.000124635,0.000167332,0.000142179,0.000218512,0.000188258,0.000200376,0.000342882,0.000168496,0.000123774,8.25E-05,0.000201072,0.000105169,9.28E-05,0.000164457,0.001004017,0.000115086,0.000232578,0.000455583,0.000119145,0.00012039,0.000112328,7.23E-05,0.000147193,0.000111552,0.00020177,0.000227791,0.000156668,0.000224655,0.00020177,0.000182477,0.000149766,0.001718065,0.000287331,0.000275626,0.000258061,0.00026902,0.000265316,0.000254508
Fgfr2,0.06886907,0.027680235,0.067451765,0.045752678,0.017277041,0.039692218,0.004549741,0.02547101,0.033492921,0.022173802,0.019777447,0.012560172,0.012473412,0.01159784,0.059954007,0.027299153,0.039554894,0.049036506,0.032690154,0.01573368,0.042393885,0.018389168,0.015197734,0.009618316,0.024774504,0.03794359,0.025559439,0.027584469,0.023765293,0.066063628,0.037034149,0.048529305,0.043737058,0.046876218,0.035896824,0.060371021,0.061213769,0.048697786
Fn1,0.006848482,0.008698606,0.00393342,0.006172198,0.003786288,0.007572577,0.032577055,0.026369244,0.010972226,0.005391865,0.025382887,0.011398596,0.012913286,0.017824433,0.010308656,0.001141384,0.05041511,0.022097087,0.010416396,0.019505165,0.008608634,0.009718841,0.000147193,0.002137292,0.026737345,0.013230396,0.003022588,0.000224655,0.015463385,0.069348092,0.002463628,0.018010724,0.00800435,0.005819053,0.018325546,0.019236631,0.013048249,0.013792234
